latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-8.5576,125.5554,314.6,2.7,1.6,2023-03-11,0211,Terra,MODIS,32,61.03,297.7,27.4,D,2
-8.9555,126.1274,318.9,1.6,1.2,2023-03-14,0509,Aqua,MODIS,72,61.03,299.1,18.3,D,0
-9.0879,125.9936,311.9,1.6,1.2,2023-03-14,0509,Aqua,MODIS,0,61.03,298.5,9,D,0
-8.5574,125.5582,310.2,4,1.9,2023-03-16,0220,Terra,MODIS,0,61.03,289.3,43.8,D,2
-9.0326,125.842,315,1,1,2023-03-19,0523,Aqua,MODIS,63,61.03,300,5.6,D,0
-8.5618,125.5657,304.4,3.1,1.7,2023-04-04,0213,Terra,MODIS,26,61.03,280.7,19.6,D,2
-8.9492,126.0954,310.6,1.4,1.2,2023-04-04,0511,Aqua,MODIS,61,61.03,293.1,8,D,0
-8.9509,126.0827,310.5,1.4,1.2,2023-04-04,0511,Aqua,MODIS,60,61.03,293.3,8,D,0
-8.6135,125.8842,318.3,1.2,1.1,2023-04-13,0149,Terra,MODIS,42,61.03,299.1,9.6,D,2
-8.5617,125.5573,311.4,3.2,1.7,2023-04-16,0214,Terra,MODIS,0,61.03,291.2,28.7,D,2
-8.5634,125.5637,311.4,3.2,1.7,2023-04-16,0214,Terra,MODIS,26,61.03,291.1,29,D,2
-8.5651,125.5856,310.1,3.2,1.7,2023-04-16,0214,Terra,MODIS,19,61.03,291.3,27,D,2
-9.0672,125.9481,311.5,2.2,1.4,2023-05-17,0554,Aqua,MODIS,59,61.03,296.8,17,D,0
-9.0994,125.9468,318,1.3,1.1,2023-05-19,0150,Terra,MODIS,69,61.03,298.2,15.9,D,0
-8.9517,126.0877,315,1.2,1.1,2023-05-26,0540,Aqua,MODIS,66,61.03,297.5,10.8,D,0
-8.9495,126.0928,315.4,1.2,1.1,2023-05-26,0540,Aqua,MODIS,68,61.03,297.7,11,D,0
-9.0261,126.0694,312.5,1.1,1.1,2023-06-16,0538,Aqua,MODIS,58,61.03,298,8.4,D,0
-8.6468,126.3043,308.8,1.2,1.1,2023-06-16,0539,Aqua,MODIS,52,61.03,295.6,6.7,D,0
-8.8769,126.0384,310.5,1.1,1,2023-06-18,0524,Aqua,MODIS,58,61.03,297.6,7.5,D,0
-9.0768,125.9907,317.6,1.1,1,2023-06-18,0524,Aqua,MODIS,71,61.03,299.2,12.2,D,0
-8.8756,126.0478,311.2,1.1,1,2023-06-18,0524,Aqua,MODIS,60,61.03,298.1,7.9,D,0
-8.546,126.3694,312.2,1,1,2023-06-18,0524,Aqua,MODIS,55,61.03,300.4,5.6,D,0
-8.5601,126.0746,325.5,1.1,1,2023-06-18,0524,Aqua,MODIS,73,61.03,305,15.2,D,0
-8.6518,125.8326,311.8,1.2,1.1,2023-06-24,0148,Terra,MODIS,52,61.03,295.6,6.3,D,0
-8.6191,125.9705,316,1.1,1,2023-06-25,0524,Aqua,MODIS,45,61.03,299.6,7.8,D,0
-8.6527,125.5316,305.1,1.1,1,2023-07-13,1354,Terra,MODIS,63,61.03,291.4,7.6,N,0
-9.1896,125.0318,324.1,1.1,1,2023-07-18,0146,Terra,MODIS,79,61.03,292.5,21,D,0
-8.4851,126.3709,316.1,1,1,2023-07-21,0534,Aqua,MODIS,67,61.03,301.5,6.7,D,0
-8.9886,125.1751,336.5,1.1,1.1,2023-08-01,0129,Terra,MODIS,88,61.03,304.4,33.4,D,0
-8.9902,125.1852,320,1.1,1.1,2023-08-01,0129,Terra,MODIS,46,61.03,303.6,9.8,D,0
-8.9996,125.1839,320,1.1,1.1,2023-08-01,0129,Terra,MODIS,51,61.03,300.7,9.8,D,0
-9.3907,125.2105,311,1.2,1.1,2023-08-02,0545,Aqua,MODIS,0,61.03,298.7,5.6,D,0
-8.5359,125.8483,318.9,1,1,2023-08-06,0136,Terra,MODIS,58,61.03,299.3,10.5,D,0
-8.5372,125.8573,331.6,1,1,2023-08-06,0136,Terra,MODIS,85,61.03,299.1,25.1,D,0
-9.4237,124.1031,332.7,1,1,2023-08-06,0137,Terra,MODIS,86,61.03,304.5,25.7,D,0
-9.4041,124.0973,326.7,1.6,1.2,2023-08-07,0558,Aqua,MODIS,80,61.03,305.4,30.2,D,0
-9.4025,124.0905,322.9,1.6,1.2,2023-08-07,0558,Aqua,MODIS,69,61.03,305.7,22.3,D,0
-9.413,124.0813,336,1,1,2023-08-09,0544,Aqua,MODIS,87,61.03,303.6,28.2,D,0
-8.6303,126.1915,312.7,1.3,1.1,2023-08-09,0544,Aqua,MODIS,21,61.03,297,7,D,0
-8.5246,125.8457,312.7,1.6,1.2,2023-08-13,0515,Aqua,MODIS,32,61.03,297.7,11.3,D,0
-9.1311,125.1706,313.9,1,1,2023-08-18,0136,Terra,MODIS,48,61.03,298.2,7.4,D,0
-8.5618,126.3084,318,1,1,2023-08-18,0528,Aqua,MODIS,66,61.03,302.1,8.3,D,0
-9.0346,125.8306,321.9,1.1,1,2023-08-18,0528,Aqua,MODIS,74,61.03,301,14.3,D,0
-9.0359,125.8211,315.9,1.1,1,2023-08-18,0528,Aqua,MODIS,63,61.03,301.1,8.4,D,0
-8.6367,126.2348,318.4,1,1,2023-08-18,0528,Aqua,MODIS,67,61.03,304.1,8.5,D,0
