latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.0345,1.0628,320.1,1.7,1.3,2023-01-01,1032,Terra,MODIS,63,61.03,308.1,12.4,D,0
10.0332,1.0722,320.3,1.7,1.3,2023-01-01,1032,Terra,MODIS,64,61.03,307.8,13.7,D,0
9.9337,0.9727,325.2,1.7,1.3,2023-01-01,1032,Terra,MODIS,73,61.03,307.2,25,D,0
9.9313,0.9876,319.2,1.7,1.3,2023-01-01,1032,Terra,MODIS,60,61.03,307.5,11.6,D,0
10.3261,0.4483,319.5,1.5,1.2,2023-01-01,1032,Terra,MODIS,49,61.03,306.3,12.5,D,0
9.8987,0.8264,318.2,1.6,1.3,2023-01-01,1032,Terra,MODIS,45,61.03,306,10.9,D,0
9.7323,0.7928,323,1.6,1.3,2023-01-01,1032,Terra,MODIS,69,61.03,307.9,17,D,0
9.7235,0.7767,320.9,1.6,1.3,2023-01-01,1032,Terra,MODIS,49,61.03,307.4,12.7,D,0
9.7212,0.7911,330.6,1.6,1.3,2023-01-01,1032,Terra,MODIS,80,61.03,308.9,35.1,D,0
9.7208,0.7852,328.5,1.6,1.3,2023-01-01,1032,Terra,MODIS,78,61.03,308.7,28.8,D,0
9.6666,0.9119,318.3,1.7,1.3,2023-01-01,1032,Terra,MODIS,58,61.03,306.6,11.8,D,0
9.6483,0.9546,325,1.7,1.3,2023-01-01,1032,Terra,MODIS,73,61.03,307.5,26.6,D,0
9.646,0.9695,321.9,1.7,1.3,2023-01-01,1032,Terra,MODIS,68,61.03,307.5,19.9,D,0
9.6607,0.8055,320.5,1.6,1.3,2023-01-01,1032,Terra,MODIS,64,61.03,308.2,14.2,D,0
9.6043,0.871,327.7,1.7,1.3,2023-01-01,1032,Terra,MODIS,77,61.03,307.4,30.9,D,0
9.5773,1.0356,322.4,1.7,1.3,2023-01-01,1032,Terra,MODIS,69,61.03,307.2,21.7,D,0
9.6049,0.8646,324,1.7,1.3,2023-01-01,1032,Terra,MODIS,72,61.03,307.1,24.1,D,0
9.5791,1.0294,318.2,1.7,1.3,2023-01-01,1032,Terra,MODIS,58,61.03,306.2,14.2,D,0
9.5127,1.081,323.9,1.7,1.3,2023-01-01,1032,Terra,MODIS,72,61.03,306.6,26.3,D,0
9.3674,0.9818,318.6,1.7,1.3,2023-01-01,1032,Terra,MODIS,61,61.03,304.4,18,D,0
10.255,0.914,321.1,1.6,1.3,2023-01-01,1032,Terra,MODIS,66,61.03,303.8,13.8,D,0
10.3297,0.4546,320.5,1.5,1.2,2023-01-01,1032,Terra,MODIS,63,61.03,306.7,13.9,D,0
8.7884,0.6347,320.8,1.6,1.3,2023-01-01,1033,Terra,MODIS,66,61.03,307.7,17.1,D,0
8.7799,0.5445,320.3,1.6,1.3,2023-01-01,1033,Terra,MODIS,65,61.03,306.8,15.3,D,0
7.4142,0.66,313.5,1.8,1.3,2023-01-01,1033,Terra,MODIS,51,61.03,299.4,17.5,D,0
7.2242,0.6975,311.8,1.8,1.3,2023-01-01,1033,Terra,MODIS,31,61.03,300.5,12.8,D,0
7.1987,0.7098,312.1,1.8,1.3,2023-01-01,1033,Terra,MODIS,34,61.03,300.2,11.8,D,0
6.6726,0.694,314.2,1.8,1.3,2023-01-01,1033,Terra,MODIS,54,61.03,301.6,14.5,D,0
6.9262,0.8897,318.6,1.9,1.3,2023-01-01,1033,Terra,MODIS,64,61.03,304.7,18,D,0
6.9313,0.8848,321,1.9,1.3,2023-01-01,1033,Terra,MODIS,72,61.03,304.6,25,D,0
6.6536,1.0174,313.5,1.9,1.4,2023-01-01,1033,Terra,MODIS,51,61.03,301.9,12.5,D,0
6.5997,1.2759,316.9,2,1.4,2023-01-01,1033,Terra,MODIS,62,61.03,302.6,19.2,D,0
6.6825,0.6857,315.7,1.8,1.3,2023-01-01,1033,Terra,MODIS,61,61.03,301.8,16.3,D,0
9.1824,1.21,314.7,1.8,1.3,2023-01-01,1033,Terra,MODIS,40,61.03,303.4,11.2,D,0
8.907,0.8323,319.7,1.7,1.3,2023-01-01,1033,Terra,MODIS,53,61.03,307.2,12.1,D,0
6.6725,0.6874,317.2,1.7,1.3,2023-01-01,1317,Aqua,MODIS,60,61.03,305.1,13.9,D,0
6.2445,1.5838,321.1,1.5,1.2,2023-01-01,1317,Aqua,MODIS,58,61.03,305.3,12.7,D,2
6.3459,1.0229,319.2,1.6,1.2,2023-01-01,1317,Aqua,MODIS,64,61.03,305,14.5,D,0
6.5116,1.0638,318.1,1.6,1.2,2023-01-01,1317,Aqua,MODIS,31,61.03,305.3,10.2,D,0
6.5327,0.967,317.4,1.6,1.2,2023-01-01,1317,Aqua,MODIS,48,61.03,304.9,10.5,D,0
6.773,1.426,325.2,1.5,1.2,2023-01-01,1317,Aqua,MODIS,74,61.03,306.5,21.5,D,0
6.7795,0.8583,322.8,1.6,1.2,2023-01-01,1317,Aqua,MODIS,71,61.03,307.4,17.3,D,0
6.7728,0.8149,321.6,1.6,1.3,2023-01-01,1317,Aqua,MODIS,69,61.03,309.2,14.8,D,0
6.8726,0.7943,322.7,1.6,1.3,2023-01-01,1317,Aqua,MODIS,60,61.03,307.7,22.3,D,0
6.8727,0.7876,317.9,1.6,1.3,2023-01-01,1317,Aqua,MODIS,27,61.03,307.1,13.4,D,0
6.9329,0.8808,323.2,1.6,1.2,2023-01-01,1317,Aqua,MODIS,68,61.03,308.8,17.5,D,0
6.9685,0.8167,326.3,1.6,1.2,2023-01-01,1317,Aqua,MODIS,75,61.03,306.1,29.2,D,0
6.9663,0.8022,326.4,1.6,1.3,2023-01-01,1317,Aqua,MODIS,75,61.03,305.5,29.5,D,0
6.9681,0.8114,334.1,1.6,1.2,2023-01-01,1317,Aqua,MODIS,83,61.03,306.6,50.4,D,0
7.1572,1.461,327.3,1.4,1.2,2023-01-01,1317,Aqua,MODIS,70,61.03,308.6,23.5,D,0
7.1643,1.4664,327,1.4,1.2,2023-01-01,1317,Aqua,MODIS,73,61.03,308.3,22.1,D,0
7.2058,1.5251,322.8,1.4,1.2,2023-01-01,1317,Aqua,MODIS,65,61.03,308.4,14.5,D,0
7.1486,0.7911,323.1,1.6,1.2,2023-01-01,1317,Aqua,MODIS,68,61.03,308.9,20,D,0
7.1506,0.8004,321,1.6,1.2,2023-01-01,1317,Aqua,MODIS,62,61.03,307.9,17.4,D,0
7.4158,0.6549,324.6,1.6,1.3,2023-01-01,1317,Aqua,MODIS,72,61.03,303.3,32,D,0
7.5386,1.2245,324.9,1.5,1.2,2023-01-01,1317,Aqua,MODIS,71,61.03,310.2,16.4,D,0
7.5447,0.8901,316.7,1.6,1.2,2023-01-01,1317,Aqua,MODIS,41,61.03,306.3,13.6,D,0
7.5425,0.8762,316.4,1.6,1.2,2023-01-01,1317,Aqua,MODIS,35,61.03,305.8,13.2,D,0
7.6287,1.0725,324.7,1.5,1.2,2023-01-01,1317,Aqua,MODIS,71,61.03,304.2,26,D,0
7.647,1.0212,323.7,1.5,1.2,2023-01-01,1317,Aqua,MODIS,67,61.03,302.3,24.6,D,0
7.6557,1.0061,322.6,1.5,1.2,2023-01-01,1317,Aqua,MODIS,47,61.03,307.3,21.9,D,0
7.6937,1.1076,318,1.5,1.2,2023-01-01,1317,Aqua,MODIS,33,61.03,306.4,10.5,D,0
7.6854,1.0547,318.5,1.5,1.2,2023-01-01,1317,Aqua,MODIS,44,61.03,302.7,15.8,D,0
8.3497,0.7335,346.8,1.6,1.2,2023-01-01,1318,Aqua,MODIS,92,61.03,306.6,89,D,0
8.5715,1.2851,322.6,1.4,1.2,2023-01-01,1318,Aqua,MODIS,63,61.03,309.6,11.1,D,0
8.5956,1.0523,323.7,1.5,1.2,2023-01-01,1318,Aqua,MODIS,65,61.03,311.7,14.6,D,0
8.6071,0.6164,333.4,1.6,1.2,2023-01-01,1318,Aqua,MODIS,78,61.03,307.5,40,D,0
8.618,0.6144,326.8,1.6,1.2,2023-01-01,1318,Aqua,MODIS,64,61.03,308.8,24.3,D,0
8.6685,0.5044,326.3,1.6,1.2,2023-01-01,1318,Aqua,MODIS,54,61.03,310.7,17.9,D,0
8.6717,0.5118,330.1,1.6,1.2,2023-01-01,1318,Aqua,MODIS,76,61.03,311.3,28.8,D,0
8.6782,0.4814,324.1,1.6,1.2,2023-01-01,1318,Aqua,MODIS,54,61.03,311,13.2,D,0
8.8007,0.7627,320.8,1.5,1.2,2023-01-01,1318,Aqua,MODIS,42,61.03,306.6,12.6,D,0
8.8395,0.5656,324.9,1.6,1.2,2023-01-01,1318,Aqua,MODIS,58,61.03,311.9,15.1,D,0
8.8505,0.5638,326.7,1.6,1.2,2023-01-01,1318,Aqua,MODIS,69,61.03,312.1,19.4,D,0
8.9014,0.8227,329.6,1.5,1.2,2023-01-01,1318,Aqua,MODIS,75,61.03,309.7,22.6,D,0
8.8963,0.8307,324.8,1.5,1.2,2023-01-01,1318,Aqua,MODIS,66,61.03,312.7,12,D,0
8.8942,0.8173,323.7,1.5,1.2,2023-01-01,1318,Aqua,MODIS,62,61.03,309.8,10.4,D,0
8.9636,0.6242,323.8,1.5,1.2,2023-01-01,1318,Aqua,MODIS,44,61.03,311.7,11.6,D,0
8.9615,0.6105,327.4,1.5,1.2,2023-01-01,1318,Aqua,MODIS,67,61.03,310.8,20.4,D,0
8.965,0.6186,325.6,1.5,1.2,2023-01-01,1318,Aqua,MODIS,67,61.03,310.8,15.8,D,0
9.0259,0.6511,323.4,1.5,1.2,2023-01-01,1318,Aqua,MODIS,61,61.03,312.1,11.9,D,0
9.193,0.9197,323.9,1.5,1.2,2023-01-01,1318,Aqua,MODIS,58,61.03,309.7,14.3,D,0
9.1967,0.9136,324.1,1.5,1.2,2023-01-01,1318,Aqua,MODIS,64,61.03,308.7,15.9,D,0
9.3577,0.8354,324.7,1.5,1.2,2023-01-01,1318,Aqua,MODIS,63,61.03,311,15.2,D,0
