latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-19.7316,-175.0672,316.8,1,1,2023-01-02,1314,Aqua,MODIS,92,61.03,289.9,14.4,N,1
-19.7279,-175.0698,311.3,1.1,1,2023-01-12,2133,Terra,MODIS,36,61.03,293.9,5.6,D,1
-19.7334,-175.0657,309.4,1,1,2023-01-18,1307,Aqua,MODIS,66,61.03,292.7,8.3,N,1
-19.7343,-175.0785,311,1.1,1,2023-01-29,2145,Terra,MODIS,0,61.03,295,7.3,D,1
-19.73,-175.0661,306.4,1.1,1,2023-02-22,1319,Aqua,MODIS,44,61.03,291.7,7.2,N,1
-19.7306,-175.0763,311,1.1,1,2023-03-13,2143,Terra,MODIS,37,61.03,297,5.7,D,1
-19.732,-175.0662,315.2,1.1,1,2023-03-13,2143,Terra,MODIS,45,61.03,297.2,9.3,D,1
-19.7281,-175.0705,305.3,1,1,2023-04-28,1313,Aqua,MODIS,27,61.03,292.7,5.5,N,1
-19.7337,-175.0715,313.5,1,1,2023-05-18,0138,Aqua,MODIS,44,61.03,295,9,D,1
-19.7297,-175.072,305.3,1.1,1,2023-06-11,1003,Terra,MODIS,26,61.03,284.4,7.6,N,1
-19.7326,-175.0748,315.4,1,1,2023-07-25,0144,Aqua,MODIS,48,61.03,294.1,11.2,D,1
-21.2517,-175.1527,314.8,1,1,2023-10-20,0146,Aqua,MODIS,44,61.03,299.7,4.2,D,0
-21.2109,-175.1889,331.3,1,1,2023-10-20,0146,Aqua,MODIS,63,61.03,301,22.5,D,0
-19.731,-175.0715,307.2,1,1,2023-12-01,0950,Terra,MODIS,52,61.03,291.4,7,N,1
-19.7302,-175.0666,311.4,1,1,2023-12-07,2130,Terra,MODIS,0,61.03,295.8,5.8,D,1
