latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.6413,-61.3611,310,2.4,1.5,2023-01-12,1450,Terra,MODIS,16,61.03,295.2,21.8,D,2
10.3264,-61.3985,318.7,1,1,2023-01-28,1743,Aqua,MODIS,71,61.03,302.3,8.1,D,0
10.4076,-61.4071,325.8,1,1,2023-01-28,1743,Aqua,MODIS,79,61.03,305.4,14.1,D,2
10.6293,-61.4539,312.4,1,1,2023-02-09,1423,Terra,MODIS,64,61.03,298.9,6.5,D,2
10.6468,-61.4322,314.9,1.1,1.1,2023-02-13,1735,Aqua,MODIS,56,61.03,294.9,10.3,D,2
10.5053,-61.3968,310.7,1.2,1.1,2023-02-14,1432,Terra,MODIS,22,61.03,295,7.3,D,2
10.206,-61.4404,329.2,1.1,1,2023-02-18,1750,Aqua,MODIS,82,61.03,307.4,18.5,D,2
10.2264,-61.4206,321.4,1.1,1,2023-02-18,1750,Aqua,MODIS,73,61.03,306.3,10.1,D,0
10.2053,-61.5733,326,1.1,1,2023-02-18,1750,Aqua,MODIS,79,61.03,306,15.8,D,0
10.3546,-61.4253,320.6,1.1,1,2023-02-18,1750,Aqua,MODIS,72,61.03,306.8,9,D,0
10.4551,-61.4364,325,1.1,1,2023-02-18,1750,Aqua,MODIS,78,61.03,309.3,10.7,D,0
10.4537,-61.446,331.4,1.1,1,2023-02-18,1750,Aqua,MODIS,84,61.03,307.5,19.7,D,2
10.4643,-61.4377,322,1.1,1,2023-02-18,1750,Aqua,MODIS,19,61.03,308.3,6.8,D,2
10.507,-61.4498,321.9,1.1,1,2023-02-18,1750,Aqua,MODIS,57,61.03,306.8,8.5,D,0
10.5056,-61.4594,345.5,1.1,1,2023-02-18,1750,Aqua,MODIS,70,61.03,308.4,45.5,D,0
10.1258,-61.4115,324.5,1.1,1,2023-02-27,1739,Aqua,MODIS,79,61.03,300.1,15.3,D,0
10.3013,-61.3578,316.7,1.1,1,2023-02-27,1739,Aqua,MODIS,69,61.03,298.7,7.6,D,0
10.6712,-61.5271,310.1,1.7,1.3,2023-03-01,1725,Aqua,MODIS,0,61.03,293.3,14.5,D,2
10.2781,-61.4172,341.5,1.2,1.1,2023-03-04,1754,Aqua,MODIS,91,61.03,302.7,43.5,D,2
10.5141,-61.4629,343.7,1.2,1.1,2023-03-04,1754,Aqua,MODIS,0,61.03,301.6,47.2,D,0
10.6451,-61.4866,313.4,1,1,2023-03-05,1426,Terra,MODIS,19,61.03,299.3,6.8,D,2
10.5076,-61.4389,317,1,1,2023-03-12,1419,Terra,MODIS,60,61.03,298.8,6.2,D,0
10.1133,-61.4149,319.5,1,1,2023-03-13,1742,Aqua,MODIS,60,61.03,304.3,6.1,D,0
10.1163,-61.525,320.9,1,1,2023-03-13,1742,Aqua,MODIS,56,61.03,302.1,9.2,D,0
10.378,-61.4365,342.6,1,1,2023-03-13,1742,Aqua,MODIS,91,61.03,304.7,37.4,D,2
10.1994,-61.4242,321.4,2,1.4,2023-03-15,1444,Terra,MODIS,76,61.03,299.2,32.8,D,0
10.1095,-61.5759,320.9,1.6,1.2,2023-03-15,1728,Aqua,MODIS,74,61.03,302.2,21.4,D,2
10.1073,-61.5898,320.1,1.6,1.2,2023-03-15,1728,Aqua,MODIS,73,61.03,301.1,19.8,D,0
10.5387,-61.4196,331.1,1.1,1,2023-03-17,1427,Terra,MODIS,84,61.03,299.9,22.8,D,2
10.2004,-61.569,327.3,1.2,1.1,2023-03-18,1757,Aqua,MODIS,78,61.03,306.7,18.2,D,0
10.2358,-61.383,328.7,1.2,1.1,2023-03-18,1757,Aqua,MODIS,74,61.03,308,19.7,D,0
10.2297,-61.4274,326,1.2,1.1,2023-03-18,1757,Aqua,MODIS,67,61.03,309.4,14.4,D,0
