latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.6219,10.8787,305.8,1.2,1.1,2023-01-18,1222,Aqua,MODIS,56,61.03,294.9,5.1,D,0
36.2398,9.8717,311.9,1.1,1.1,2023-01-22,1005,Terra,MODIS,72,61.03,281.1,16.6,D,0
33.8324,10.1041,320,1.2,1.1,2023-02-22,1003,Terra,MODIS,76,61.03,294.2,18.5,D,0
34.6848,8.8124,313.4,1.8,1.3,2023-03-03,1222,Aqua,MODIS,62,61.03,297.4,15.9,D,0
36.2353,8.7325,311.2,1.3,1.1,2023-03-23,1014,Terra,MODIS,53,61.03,296.5,8.5,D,0
36.2372,8.7268,309.7,1.3,1.1,2023-03-23,1014,Terra,MODIS,35,61.03,296.3,7.3,D,0
36.4616,10.0354,315.8,1.8,1.3,2023-04-10,0926,Terra,MODIS,58,61.03,304,11.3,D,0
34.7346,10.5206,310.1,1.9,1.3,2023-04-17,0154,Aqua,MODIS,79,61.03,281.7,33.7,N,0
34.723,10.517,319.9,1.9,1.3,2023-04-17,0154,Aqua,MODIS,99,61.03,281.5,54.2,N,0
36.8721,8.9964,313.6,1.1,1.1,2023-04-24,1257,Aqua,MODIS,49,61.03,298.7,7.6,D,0
36.7034,9.3694,322.7,1,1,2023-04-26,1243,Aqua,MODIS,58,61.03,307.4,5.9,D,0
35.8532,9.319,309.6,1.1,1,2023-05-12,0959,Terra,MODIS,69,61.03,289.4,9,D,0
36.678,9.9641,320.3,1.1,1,2023-05-24,0959,Terra,MODIS,50,61.03,298,11.5,D,0
31.7032,9.2393,324.2,1,1,2023-06-22,2107,Terra,MODIS,100,61.03,298.9,20.6,N,0
37.2579,9.7293,306.2,2,1.4,2023-06-24,0205,Aqua,MODIS,42,61.03,291.2,19.3,N,0
37.2557,9.7287,321.6,1,1,2023-06-24,0949,Terra,MODIS,74,61.03,302.2,8.4,D,0
33.6496,10.8889,313.1,1.9,1.3,2023-06-28,0917,Terra,MODIS,19,61.03,302.2,17.5,D,3
36.5532,10.082,333.2,1,1,2023-06-28,1239,Aqua,MODIS,71,61.03,315.3,8.4,D,0
37.2308,9.889,313.8,1.1,1,2023-07-01,0940,Terra,MODIS,52,61.03,302.3,11.2,D,3
34.6527,10.9891,312.7,4.8,2,2023-07-04,1334,Aqua,MODIS,50,61.03,299.5,83.4,D,3
34.6526,10.9806,310.9,4.8,2,2023-07-04,1334,Aqua,MODIS,44,61.03,299.1,73.8,D,3
36.5538,10.0815,332.6,1.1,1,2023-07-05,1238,Aqua,MODIS,67,61.03,316.7,6.8,D,0
37.065,9.6551,327.9,2.5,1.5,2023-07-10,0915,Terra,MODIS,81,61.03,309.2,30.7,D,2
36.7035,10.3137,309.4,1,1,2023-07-12,0135,Aqua,MODIS,74,61.03,298.8,6.1,N,0
36.3543,10.2007,331,1.1,1,2023-07-12,1237,Aqua,MODIS,36,61.03,316.8,7,D,2
35.122,8.9768,334.9,1,1,2023-07-17,1250,Aqua,MODIS,48,61.03,321.2,8.6,D,0
35.1188,8.9554,337.7,1,1,2023-07-17,1250,Aqua,MODIS,76,61.03,320.3,14.5,D,0
35.1204,8.9661,357.5,1,1,2023-07-17,1250,Aqua,MODIS,98,61.03,324.5,54.3,D,0
36.9557,8.6868,330.1,1.3,1.1,2023-07-18,2050,Terra,MODIS,79,61.03,297.5,38.9,N,0
36.9461,8.6904,332.1,1.3,1.1,2023-07-18,2050,Terra,MODIS,100,61.03,300.1,42.3,N,0
36.9485,8.7039,313.8,1.3,1.1,2023-07-18,2050,Terra,MODIS,53,61.03,283.3,15.7,N,2
36.9581,8.7006,322.3,1.3,1.1,2023-07-18,2050,Terra,MODIS,63,61.03,298.1,26.6,N,0
36.9452,8.6969,325.2,1.1,1,2023-07-19,0134,Aqua,MODIS,89,61.03,296.3,24.9,N,0
36.9468,8.6851,313,1.1,1,2023-07-19,0134,Aqua,MODIS,50,61.03,295,11.8,N,0
36.9415,8.6924,346.3,2.4,1.5,2023-07-19,1028,Terra,MODIS,88,61.03,309.1,155.3,D,0
36.9355,8.719,324,2.5,1.5,2023-07-19,1028,Terra,MODIS,77,61.03,307.6,34.9,D,0
36.9462,8.6877,335.1,2.4,1.5,2023-07-19,1028,Terra,MODIS,57,61.03,309.1,86.8,D,0
36.9405,8.714,327.4,2.5,1.5,2023-07-19,1028,Terra,MODIS,37,61.03,308.4,49.5,D,0
36.6627,10.6312,340.8,1.1,1,2023-07-19,1236,Aqua,MODIS,81,61.03,317.9,20.9,D,0
36.9301,8.7019,348.9,1.2,1.1,2023-07-19,1236,Aqua,MODIS,91,61.03,310,59.7,D,0
36.9278,8.6889,348.7,1.2,1.1,2023-07-19,1236,Aqua,MODIS,91,61.03,311.5,59.7,D,0
36.9425,8.6864,310,1.8,1.3,2023-07-19,2130,Terra,MODIS,73,61.03,299.7,15.4,N,0
36.6659,8.8803,338.3,1.2,1.1,2023-07-22,1304,Aqua,MODIS,77,61.03,321.7,12,D,0
36.9337,8.688,352.8,1,1,2023-07-24,1249,Aqua,MODIS,94,61.03,325.8,47.8,D,0
36.8758,10.2266,336,1,1,2023-07-24,1249,Aqua,MODIS,72,61.03,323.3,10.1,D,2
36.9393,8.9768,341.2,1,1,2023-07-24,1249,Aqua,MODIS,80,61.03,323.3,22,D,0
37.0597,9.6906,337.5,1,1,2023-07-24,1249,Aqua,MODIS,60,61.03,324.2,8.8,D,0
37.0581,9.6795,344.3,1,1,2023-07-24,1249,Aqua,MODIS,86,61.03,326,20.8,D,2
36.9403,8.732,374.3,1,1,2023-07-24,1249,Aqua,MODIS,100,61.03,323.4,109.4,D,0
36.9386,8.721,494.6,1,1,2023-07-24,1249,Aqua,MODIS,100,61.03,400.1,1436.4,D,0
36.937,8.71,495.1,1,1,2023-07-24,1249,Aqua,MODIS,100,61.03,400.1,1476.6,D,0
36.9353,8.699,414.1,1,1,2023-07-24,1249,Aqua,MODIS,0,61.03,400.1,326.8,D,0
36.9491,8.73,442.8,1,1,2023-07-24,1249,Aqua,MODIS,100,61.03,323.6,599.9,D,0
36.9475,8.719,499.3,1,1,2023-07-24,1249,Aqua,MODIS,100,61.03,400.1,1534.3,D,2
36.9458,8.7079,456.4,1,1,2023-07-24,1249,Aqua,MODIS,100,61.03,400.1,763.5,D,0
36.9442,8.6969,402.2,1,1,2023-07-24,1249,Aqua,MODIS,76,61.03,335.6,208,D,0
36.9585,8.7183,323.9,2.4,1.5,2023-07-24,2138,Terra,MODIS,100,61.03,302.9,60.5,N,2
36.9566,8.692,314.2,2.4,1.5,2023-07-24,2138,Terra,MODIS,84,61.03,301.8,24.9,N,0
36.9317,8.7207,319.5,2.4,1.5,2023-07-24,2138,Terra,MODIS,98,61.03,302.3,47,N,0
36.4295,9.0499,311.9,4.2,1.9,2023-07-25,0228,Aqua,MODIS,82,61.03,297.5,66.8,N,0
36.9424,8.7314,309.8,3.8,1.8,2023-07-25,0228,Aqua,MODIS,68,61.03,298.1,31.9,N,0
36.4404,9.0077,320.2,4.1,1.9,2023-07-25,0228,Aqua,MODIS,100,61.03,298.8,121.2,N,0
36.932,8.7363,310,3.8,1.8,2023-07-25,0228,Aqua,MODIS,69,61.03,297.7,32.9,N,0
36.9303,8.7335,337.2,1.2,1.1,2023-07-25,0938,Terra,MODIS,81,61.03,299.2,38.8,D,0
36.9319,8.7202,362.4,1.2,1.1,2023-07-25,0938,Terra,MODIS,100,61.03,306.2,114.6,D,0
36.428,9.0273,334.4,1.2,1.1,2023-07-25,0939,Terra,MODIS,75,61.03,315.4,16.2,D,0
35.9232,9.7658,346.1,1.1,1,2023-07-25,0939,Terra,MODIS,88,61.03,318,37.6,D,0
35.9154,9.7521,334.9,1.1,1,2023-07-25,0939,Terra,MODIS,71,61.03,316.7,15.4,D,0
35.914,9.7641,392.5,1.1,1,2023-07-25,0939,Terra,MODIS,100,61.03,325.1,218.6,D,0
35.9125,9.776,360.5,1.1,1,2023-07-25,0939,Terra,MODIS,100,61.03,319.1,75.2,D,0
35.9067,9.7694,342.6,1.1,1,2023-07-25,0939,Terra,MODIS,84,61.03,317.6,31,D,0
35.3723,8.9331,333.5,1.2,1.1,2023-07-25,0939,Terra,MODIS,70,61.03,316.3,16,D,0
35.3708,8.946,342.9,1.2,1.1,2023-07-25,0939,Terra,MODIS,85,61.03,315.9,34.8,D,0
35.3677,8.939,338.8,1.2,1.1,2023-07-25,0939,Terra,MODIS,80,61.03,315.6,27.7,D,0
35.3661,8.9517,329.9,1.2,1.1,2023-07-25,0939,Terra,MODIS,57,61.03,315.3,11.5,D,0
36.4312,9.0006,344.2,1.2,1.1,2023-07-25,0939,Terra,MODIS,88,61.03,318,33.4,D,0
36.4505,9.0042,353.4,1.2,1.1,2023-07-25,0939,Terra,MODIS,95,61.03,321.4,57.4,D,0
36.4489,9.017,343,1.2,1.1,2023-07-25,0939,Terra,MODIS,87,61.03,320.1,29.6,D,0
36.4473,9.0304,338.4,1.2,1.1,2023-07-25,0939,Terra,MODIS,68,61.03,314.7,20.6,D,0
36.4408,9.0028,357,1.2,1.1,2023-07-25,0939,Terra,MODIS,98,61.03,325.7,69.5,D,0
36.4393,9.0155,360.6,1.2,1.1,2023-07-25,0939,Terra,MODIS,100,61.03,323.7,81.7,D,0
