latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.7777,39.6961,301.9,2.2,1.4,2023-01-01,1008,Aqua,MODIS,50,61.03,289.1,16,D,0
37.0311,40.4549,303.3,1.9,1.4,2023-01-01,1008,Aqua,MODIS,56,61.03,289.1,13.7,D,0
37.0268,40.4339,307.3,1.9,1.4,2023-01-01,1008,Aqua,MODIS,65,61.03,289.3,20.4,D,0
37.0274,40.2533,304.8,2,1.4,2023-01-01,1008,Aqua,MODIS,45,61.03,288.8,15.7,D,0
37.0308,40.2449,306.5,2,1.4,2023-01-01,1008,Aqua,MODIS,64,61.03,289,20.4,D,0
37.1423,40.7163,309.9,1.8,1.3,2023-01-01,1008,Aqua,MODIS,69,61.03,290.9,22.4,D,0
37.1381,40.6962,304.8,1.8,1.3,2023-01-01,1008,Aqua,MODIS,60,61.03,290.3,14.5,D,0
37.1023,40.2212,302.2,2,1.4,2023-01-01,1008,Aqua,MODIS,51,61.03,289.1,14.1,D,0
37.1052,40.2156,300.5,2,1.4,2023-01-01,1008,Aqua,MODIS,37,61.03,289.2,11.5,D,0
37.1529,40.3806,300.9,1.9,1.4,2023-01-01,1008,Aqua,MODIS,42,61.03,289.8,10.2,D,0
37.1864,40.4803,303.9,1.9,1.3,2023-01-01,1008,Aqua,MODIS,57,61.03,289.9,13.9,D,0
37.0541,39.7349,300.7,2.1,1.4,2023-01-01,1008,Aqua,MODIS,40,61.03,288.9,13,D,0
37.145,40.0403,303.8,2,1.4,2023-01-01,1008,Aqua,MODIS,57,61.03,290,15.7,D,0
37.1475,40.0319,300.2,2,1.4,2023-01-01,1008,Aqua,MODIS,32,61.03,289.7,10,D,0
37.2289,40.0514,305,2,1.4,2023-01-01,1008,Aqua,MODIS,60,61.03,289,18,D,0
37.1656,42.3571,300.6,1.5,1.2,2023-01-01,1008,Aqua,MODIS,34,61.03,289.2,6.1,D,0
37.304,39.7061,311.7,2.1,1.4,2023-01-01,1008,Aqua,MODIS,68,61.03,288.9,32.2,D,0
37.7095,40.5594,305.7,1.8,1.3,2023-01-01,1008,Aqua,MODIS,62,61.03,287.4,18.2,D,0
37.1627,42.3633,302,1.5,1.2,2023-01-01,1008,Aqua,MODIS,47,61.03,289.6,7,D,0
37.7083,39.1592,300.2,2.2,1.4,2023-01-01,1008,Aqua,MODIS,28,61.03,288.4,14.1,D,0
40.2423,41.4677,302.1,1.4,1.2,2023-01-01,1009,Aqua,MODIS,48,61.03,284.6,12.8,D,0
38.5923,26.9003,303.3,1.4,1.2,2023-01-01,1147,Aqua,MODIS,56,61.03,288.2,9,D,0
37.5625,39.416,300.6,1.1,1.1,2023-01-02,0749,Terra,MODIS,40,61.03,285.6,5.7,D,0
37.2119,39.8597,307.6,1.1,1,2023-01-02,0749,Terra,MODIS,66,61.03,285,10.5,D,0
37.3834,40.1711,300.3,1.1,1,2023-01-02,0749,Terra,MODIS,34,61.03,284.7,6,D,0
37.1199,40.2668,309.4,1.2,1.1,2023-01-02,1050,Aqua,MODIS,69,61.03,290.1,12.1,D,0
37.0603,39.7531,302.9,1.2,1.1,2023-01-02,1050,Aqua,MODIS,54,61.03,290.6,5.9,D,0
36.9199,38.6183,300.3,1.1,1,2023-01-02,1050,Aqua,MODIS,34,61.03,288.4,4.3,D,0
37.1514,40.4566,303.3,1.2,1.1,2023-01-02,1050,Aqua,MODIS,51,61.03,290.4,5.8,D,0
37.1498,40.4428,307.9,1.2,1.1,2023-01-02,1050,Aqua,MODIS,66,61.03,291.7,10.2,D,0
37.1452,40.4015,309.7,1.2,1.1,2023-01-02,1050,Aqua,MODIS,55,61.03,291.1,10.7,D,0
37.1707,40.5382,308.7,1.3,1.1,2023-01-02,1050,Aqua,MODIS,68,61.03,291.1,10.5,D,0
37.1534,40.3859,312.1,1.2,1.1,2023-01-02,1050,Aqua,MODIS,61,61.03,291.2,12.6,D,0
37.1472,40.3312,317,1.2,1.1,2023-01-02,1050,Aqua,MODIS,77,61.03,291.6,19,D,0
37.1806,40.5365,305.5,1.3,1.1,2023-01-02,1050,Aqua,MODIS,35,61.03,291.5,7.2,D,0
37.1383,40.1673,302.5,1.2,1.1,2023-01-02,1050,Aqua,MODIS,27,61.03,290.5,5,D,0
37.1367,40.1538,310.3,1.2,1.1,2023-01-02,1050,Aqua,MODIS,70,61.03,291.3,11.3,D,0
37.1212,40.0209,312.2,1.2,1.1,2023-01-02,1050,Aqua,MODIS,72,61.03,292.3,12.5,D,0
37.1197,40.0077,306.2,1.2,1.1,2023-01-02,1050,Aqua,MODIS,63,61.03,291.7,7.5,D,0
37.1559,40.2327,320,1.2,1.1,2023-01-02,1050,Aqua,MODIS,80,61.03,290.7,23.5,D,0
37.1543,40.2193,300.8,1.2,1.1,2023-01-02,1050,Aqua,MODIS,41,61.03,289.2,4.8,D,0
37.0814,39.6054,304,1.1,1.1,2023-01-02,1050,Aqua,MODIS,58,61.03,289.5,7,D,0
37.1562,40.1502,305,1.2,1.1,2023-01-02,1050,Aqua,MODIS,35,61.03,290.7,6.4,D,0
37.236,40.7571,317.2,1.3,1.1,2023-01-02,1050,Aqua,MODIS,77,61.03,292.2,20.2,D,0
37.2133,40.2028,304.4,1.2,1.1,2023-01-02,1050,Aqua,MODIS,59,61.03,290.7,6.7,D,0
37.1962,40.3223,304.1,1.2,1.1,2023-01-02,1050,Aqua,MODIS,58,61.03,291.8,6,D,0
36.757,39.4439,302.3,1.1,1.1,2023-01-02,1050,Aqua,MODIS,52,61.03,290.9,5.3,D,2
36.7641,39.1183,303.6,1.1,1,2023-01-02,1050,Aqua,MODIS,56,61.03,291,5.5,D,0
