latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.3944,53.1919,313.1,1,1,2023-01-01,0707,Terra,MODIS,55,61.03,281.9,13,D,2
39.3961,53.1805,308.7,1,1,2023-01-01,0707,Terra,MODIS,64,61.03,282.9,9.8,D,2
38.2483,58.3879,301.6,1.1,1.1,2023-01-02,0912,Aqua,MODIS,48,61.03,288.9,3.8,D,0
39.3945,53.1805,304.8,2,1.4,2023-01-02,0913,Aqua,MODIS,43,61.03,286.8,16,D,2
39.3974,53.1726,300.8,2,1.4,2023-01-02,0913,Aqua,MODIS,37,61.03,286.7,9.4,D,2
40.1788,52.8375,301.9,1.3,1.1,2023-01-03,0651,Terra,MODIS,50,61.03,282.3,8.4,D,2
38.8558,54.2332,301,1.1,1,2023-01-03,0651,Terra,MODIS,44,61.03,285.1,5.2,D,0
37.0852,60.6971,304.4,2.9,1.6,2023-01-03,0954,Aqua,MODIS,59,61.03,289.9,23.6,D,0
38.4357,64.3395,308.9,1.8,1.3,2023-01-04,0554,Terra,MODIS,68,61.03,282.1,24.8,D,0
37.1404,60.7832,324.4,1.3,1.1,2023-01-04,0859,Aqua,MODIS,83,61.03,290.8,31.8,D,0
37.1756,60.9211,314,1.3,1.1,2023-01-04,0859,Aqua,MODIS,74,61.03,292.1,15.7,D,0
37.2222,61.0678,327.5,1.2,1.1,2023-01-04,0859,Aqua,MODIS,85,61.03,291.5,34.9,D,0
37.2319,61.065,300.7,1.2,1.1,2023-01-04,0859,Aqua,MODIS,39,61.03,290,4.4,D,0
37.2287,60.9882,304.8,1.3,1.1,2023-01-04,0859,Aqua,MODIS,52,61.03,290.4,7,D,0
37.2262,60.9744,302.1,1.3,1.1,2023-01-04,0859,Aqua,MODIS,25,61.03,290.8,4.7,D,0
37.2034,60.8489,302.3,1.3,1.1,2023-01-04,0859,Aqua,MODIS,52,61.03,291,6,D,0
37.2508,60.9965,308.6,1.3,1.1,2023-01-04,0859,Aqua,MODIS,67,61.03,292.1,10.2,D,0
37.2483,60.9826,302.9,1.3,1.1,2023-01-04,0859,Aqua,MODIS,38,61.03,291.7,5.1,D,0
37.1623,60.4523,308.8,1.3,1.1,2023-01-04,0859,Aqua,MODIS,68,61.03,292.5,11.2,D,0
37.1596,60.4376,331.7,1.3,1.1,2023-01-04,0859,Aqua,MODIS,88,61.03,293.4,46,D,0
37.373,61.4018,304.7,1.2,1.1,2023-01-04,0859,Aqua,MODIS,59,61.03,292.2,5,D,0
37.2046,60.3933,303.4,1.3,1.2,2023-01-04,0859,Aqua,MODIS,51,61.03,291.9,5.7,D,0
37.3286,60.8505,309.7,1.3,1.1,2023-01-04,0859,Aqua,MODIS,69,61.03,291.5,12.5,D,0
37.321,60.8083,306.6,1.3,1.1,2023-01-04,0859,Aqua,MODIS,52,61.03,290.5,8.8,D,0
