latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
3.2543,33.6879,327.9,4.7,2,2023-01-01,0717,Terra,MODIS,75,61.03,300.7,161.1,D,0
3.2543,33.6958,332.3,4.7,2,2023-01-01,0717,Terra,MODIS,81,61.03,300.8,213,D,0
3.2485,33.7295,325.4,4.7,2,2023-01-01,0717,Terra,MODIS,71,61.03,299.7,133.3,D,0
3.2488,33.7375,321.6,4.7,2,2023-01-01,0717,Terra,MODIS,63,61.03,299.6,95.6,D,0
1.5985,34.3526,318.7,3.9,1.8,2023-01-01,0718,Terra,MODIS,62,61.03,301.2,66,D,0
1.5891,34.357,319.1,3.9,1.8,2023-01-01,0718,Terra,MODIS,62,61.03,301.5,68.5,D,0
0.9595,30.496,319.6,1,1,2023-01-01,1137,Aqua,MODIS,73,61.03,302.4,8.5,D,0
0.9582,30.4869,329,1,1,2023-01-01,1137,Aqua,MODIS,83,61.03,302.8,18.9,D,0
0.9721,30.3919,318.2,1,1,2023-01-01,1137,Aqua,MODIS,55,61.03,302.3,7.6,D,0
1.6272,34.3744,393.5,1.3,1.1,2023-01-01,1137,Aqua,MODIS,100,61.03,317.8,280.9,D,0
1.6903,34.3817,332,1.3,1.1,2023-01-01,1137,Aqua,MODIS,66,61.03,308.4,24,D,0
1.8019,34.453,328.7,1.3,1.1,2023-01-01,1137,Aqua,MODIS,72,61.03,305.7,19.5,D,0
1.7893,34.2929,325.2,1.3,1.1,2023-01-01,1137,Aqua,MODIS,51,61.03,309,13.6,D,0
1.7877,34.2817,337.9,1.3,1.1,2023-01-01,1137,Aqua,MODIS,84,61.03,310.3,39.1,D,0
1.7862,34.2706,324.6,1.3,1.1,2023-01-01,1137,Aqua,MODIS,46,61.03,307,14.2,D,0
1.8111,34.2329,347.4,1.3,1.1,2023-01-01,1137,Aqua,MODIS,92,61.03,307.5,64.5,D,0
1.8095,34.2218,360.7,1.3,1.1,2023-01-01,1137,Aqua,MODIS,100,61.03,309,108.1,D,0
1.4803,31.9408,316.3,1,1,2023-01-01,1137,Aqua,MODIS,51,61.03,303.8,7.1,D,0
1.8211,34.2315,322.5,1.3,1.1,2023-01-01,1137,Aqua,MODIS,53,61.03,305.5,14,D,0
1.8194,34.2204,327.3,1.3,1.1,2023-01-01,1137,Aqua,MODIS,70,61.03,306.4,21.9,D,0
1.5713,31.8023,318.5,1,1,2023-01-01,1137,Aqua,MODIS,57,61.03,306.5,7.6,D,0
1.6666,31.8923,343.5,1,1,2023-01-01,1137,Aqua,MODIS,91,61.03,304.6,40.9,D,0
