latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
24.0611,54.3098,301.1,1.7,1.3,2023-01-09,1841,Terra,MODIS,37,61.03,288.1,12.2,N,0
23.9534,53.7825,317.4,1,1,2023-01-10,0954,Aqua,MODIS,58,61.03,301.5,7.6,D,0
24.0589,54.3283,302.3,3,1.7,2023-01-10,1744,Terra,MODIS,48,61.03,287.4,29.3,N,0
24.0531,54.2994,300.1,3.1,1.7,2023-01-10,1744,Terra,MODIS,17,61.03,287.3,23.3,N,0
24.0596,54.3231,307.9,3,1.7,2023-01-10,1744,Terra,MODIS,73,61.03,287.4,46.8,N,0
24.0676,54.3132,302.2,1.5,1.2,2023-01-10,2202,Aqua,MODIS,47,61.03,287.5,10.5,N,0
24.0658,54.3281,319.4,1.5,1.2,2023-01-10,2202,Aqua,MODIS,99,61.03,288.3,34.1,N,0
24.0585,54.3206,335.1,1.1,1,2023-01-11,1825,Terra,MODIS,100,61.03,288.3,40.5,N,0
24.0572,54.3105,301.5,1.1,1,2023-01-11,1825,Terra,MODIS,42,61.03,286.5,6.3,N,0
24.0662,54.3213,310,1.9,1.3,2023-01-11,2245,Aqua,MODIS,79,61.03,284.6,30.5,N,0
24.0593,54.3209,321.9,1,1,2023-01-18,1818,Terra,MODIS,100,61.03,288.1,21,N,0
24.0679,54.3269,301.3,3.9,1.8,2023-01-19,1900,Terra,MODIS,39,61.03,285.3,47.1,N,0
24.124,52.7482,315.6,2.6,1.5,2023-01-30,0725,Terra,MODIS,18,61.03,293.6,35.2,D,0
24.1171,52.7411,311.9,2.6,1.5,2023-01-30,0725,Terra,MODIS,57,61.03,294.6,28.2,D,2
24.1122,52.7658,316.2,2.6,1.6,2023-01-30,0725,Terra,MODIS,68,61.03,294.2,41.8,D,2
23.8388,53.6773,315.2,3.1,1.7,2023-01-30,0725,Terra,MODIS,66,61.03,294.3,45.8,D,0
23.8386,53.6706,316.1,3.1,1.7,2023-01-30,0725,Terra,MODIS,68,61.03,294.4,52,D,0
24.1173,52.7598,317,3.4,1.7,2023-01-30,0920,Aqua,MODIS,57,61.03,298,50.5,D,0
24.1105,52.7274,319.1,3.4,1.7,2023-01-30,0920,Aqua,MODIS,66,61.03,299.1,65.6,D,2
24.1126,52.7565,321.4,3.4,1.7,2023-01-30,0920,Aqua,MODIS,53,61.03,299,69.6,D,0
24.1056,52.7241,316.4,3.4,1.7,2023-01-30,0920,Aqua,MODIS,13,61.03,299.3,45.6,D,2
24.122,52.7579,303.9,1.5,1.2,2023-01-31,2210,Aqua,MODIS,58,61.03,287.2,13.5,N,0
22.9087,53.9479,302.4,1.4,1.2,2023-02-01,1805,Terra,MODIS,49,61.03,289.8,11.2,N,0
22.9149,53.9549,303.2,2,1.4,2023-02-02,1846,Terra,MODIS,39,61.03,290.1,18,N,0
22.9096,53.9426,303.3,2,1.4,2023-02-02,1846,Terra,MODIS,54,61.03,289.6,19.7,N,0
22.9113,53.9585,316.9,1,1,2023-02-03,0654,Terra,MODIS,44,61.03,301.5,3.8,D,0
23.5479,53.3262,344.2,1.4,1.2,2023-02-09,1839,Terra,MODIS,100,61.03,286.2,89.4,N,0
23.5463,53.3126,308.6,1.4,1.2,2023-02-09,1839,Terra,MODIS,75,61.03,285,18.7,N,2
23.8426,53.6632,308.6,1,1,2023-02-12,2228,Aqua,MODIS,75,61.03,285.6,11.1,N,0
23.8411,53.6731,313.4,1,1,2023-02-12,2228,Aqua,MODIS,87,61.03,284.6,15,N,0
24.1199,52.7015,347.5,1.9,1.3,2023-02-14,1848,Terra,MODIS,100,61.03,290,144.3,N,0
24.1181,52.6833,323.3,1.9,1.3,2023-02-14,1848,Terra,MODIS,100,61.03,290.2,53,N,0
24.1365,52.7053,309.9,1.3,1.1,2023-02-14,2215,Aqua,MODIS,79,61.03,290.1,13,N,0
24.1349,52.7177,303.2,1.3,1.1,2023-02-14,2215,Aqua,MODIS,18,61.03,289.7,7.5,N,2
24.1281,52.6915,345,1.3,1.1,2023-02-14,2215,Aqua,MODIS,100,61.03,291.6,73.2,N,0
24.1265,52.7039,360.5,1.3,1.1,2023-02-14,2215,Aqua,MODIS,100,61.03,295.2,123.4,N,0
23.3178,54.1776,320.3,1.1,1,2023-02-14,2215,Aqua,MODIS,100,61.03,288.7,22.5,N,0
23.3164,54.1879,312.6,1.1,1,2023-02-14,2215,Aqua,MODIS,85,61.03,286.9,15,N,0
24.1287,52.6929,317.7,1,1,2023-02-15,0656,Terra,MODIS,59,61.03,298.3,7.8,D,0
23.3141,54.1799,305.6,2.3,1.5,2023-02-15,1751,Terra,MODIS,65,61.03,288.6,28.3,N,0
24.1273,52.7026,308.1,2.3,1.5,2023-02-15,2257,Aqua,MODIS,74,61.03,285.6,33.8,N,0
24.1364,52.6995,303.5,1.1,1,2023-02-16,1832,Terra,MODIS,56,61.03,291.1,5.9,N,0
25.3301,55.6528,319.2,3.2,1.7,2023-02-17,1735,Terra,MODIS,98,61.03,290.8,96.6,N,0
25.3356,55.6766,304.6,3.2,1.7,2023-02-17,1735,Terra,MODIS,61,61.03,289.7,37.5,N,0
25.3292,55.6464,314.9,3.2,1.7,2023-02-17,1735,Terra,MODIS,90,61.03,290.8,76.2,N,0
24.1369,52.7039,301.5,1.4,1.2,2023-02-17,2244,Aqua,MODIS,41,61.03,288.4,8.6,N,0
24.758,55.3797,320.3,1.1,1,2023-02-18,0940,Aqua,MODIS,54,61.03,305.3,6,D,0
24.7564,55.3691,320.6,1.1,1,2023-02-18,0940,Aqua,MODIS,48,61.03,304.7,6.1,D,0
23.3135,54.1856,300.4,1.1,1.1,2023-02-19,2231,Aqua,MODIS,27,61.03,284.5,8,N,0
24.0638,54.319,303.5,1.1,1,2023-02-23,1825,Terra,MODIS,55,61.03,287.6,8.1,N,0
23.846,53.6477,302.4,1,1,2023-02-23,1825,Terra,MODIS,49,61.03,289.4,6.1,N,2
24.1323,52.7047,300.4,1,1,2023-02-23,1825,Terra,MODIS,16,61.03,289.8,4.5,N,0
24.131,52.695,304.6,1,1,2023-02-23,1825,Terra,MODIS,61,61.03,291,7.1,N,0
23.8486,53.667,302.5,4.8,2,2023-02-24,1906,Terra,MODIS,50,61.03,284.2,60.9,N,0
23.847,53.6607,320.7,1.7,1.3,2023-02-24,2246,Aqua,MODIS,100,61.03,288.1,43.2,N,0
23.8439,53.6769,304.2,1.7,1.3,2023-02-24,2246,Aqua,MODIS,53,61.03,284.6,15.8,N,0
23.8496,53.6544,307.9,1.7,1.3,2023-02-24,2246,Aqua,MODIS,73,61.03,288.4,21.6,N,0
23.8467,53.6706,316.6,1.7,1.3,2023-02-24,2246,Aqua,MODIS,93,61.03,286.1,36.4,N,0
23.8449,53.6651,317.2,1.2,1.1,2023-02-25,1809,Terra,MODIS,95,61.03,291.6,19.6,N,0
23.8431,53.6535,326.1,1.2,1.1,2023-02-25,1809,Terra,MODIS,100,61.03,293.4,31.8,N,2
23.9533,53.7809,320.9,1.1,1.1,2023-02-27,0657,Terra,MODIS,58,61.03,302.5,9.1,D,0
24.1319,52.7073,306.8,1.1,1.1,2023-02-28,2219,Aqua,MODIS,69,61.03,291.1,8.8,N,0
24.1166,52.7504,300.3,1.1,1.1,2023-02-28,2219,Aqua,MODIS,23,61.03,289.8,5,N,0
24.1355,52.704,302,1.1,1,2023-03-02,1818,Terra,MODIS,46,61.03,290.6,4.3,N,0
25.2657,56.0038,327.2,1.1,1.1,2023-03-06,0650,Terra,MODIS,73,61.03,309.4,14.3,D,0
25.3052,55.4406,303.8,1.3,1.1,2023-03-07,1827,Terra,MODIS,57,61.03,292.9,8.2,N,2
25.3094,55.4445,302.1,1,1,2023-03-07,2220,Aqua,MODIS,47,61.03,290.4,5.3,N,2
23.5502,53.3259,312.9,3.2,1.7,2023-03-08,2303,Aqua,MODIS,86,61.03,285.1,76.3,N,0
23.5516,53.3212,307.8,3.2,1.7,2023-03-08,2303,Aqua,MODIS,72,61.03,286.3,59.7,N,0
22.9139,53.96,304.3,1.4,1.2,2023-03-09,2207,Aqua,MODIS,59,61.03,292.1,11.5,N,0
