latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-31.7179,-55.9788,321.3,1.1,1.1,2023-01-03,1345,Terra,MODIS,37,61.03,306.6,8.3,D,2
-34.7957,-54.9203,316.3,1.4,1.2,2023-01-03,1346,Terra,MODIS,34,61.03,301.8,8.7,D,2
-34.718,-55.9651,317,1.2,1.1,2023-01-03,1346,Terra,MODIS,35,61.03,301.5,7.8,D,2
-34.3752,-55.2341,320.7,1.3,1.1,2023-01-03,1346,Terra,MODIS,61,61.03,300,14.9,D,2
-34.5281,-56.2795,319.3,1.2,1.1,2023-01-03,1346,Terra,MODIS,47,61.03,304.3,5.7,D,2
-34.7196,-55.9517,315.9,1.2,1.1,2023-01-03,1346,Terra,MODIS,27,61.03,301,6.5,D,2
-34.728,-56.2211,320.7,1.2,1.1,2023-01-03,1346,Terra,MODIS,56,61.03,301.6,9,D,2
-34.3821,-55.2394,326.2,1.1,1.1,2023-01-05,1736,Aqua,MODIS,48,61.03,309,9.5,D,2
-34.7909,-54.9204,322.8,1.1,1.1,2023-01-05,1736,Aqua,MODIS,49,61.03,308.4,7.5,D,2
-34.7221,-55.9672,323.6,1.2,1.1,2023-01-05,1736,Aqua,MODIS,23,61.03,308.2,8.8,D,2
-34.7314,-56.2239,326.3,1.3,1.1,2023-01-05,1736,Aqua,MODIS,62,61.03,309.3,9.4,D,2
-34.5252,-56.285,324.8,1.3,1.1,2023-01-05,1736,Aqua,MODIS,33,61.03,311.3,6,D,2
-34.0679,-55.6666,330.7,1.2,1.1,2023-01-05,1736,Aqua,MODIS,68,61.03,316.2,11,D,0
-31.743,-56.0081,328.3,1.2,1.1,2023-01-05,1737,Aqua,MODIS,34,61.03,312.8,10.7,D,0
-34.6775,-56.4697,327.9,1.5,1.2,2023-01-07,1315,Terra,MODIS,76,61.03,303.1,31.4,D,0
-34.6805,-56.4539,323.2,1.5,1.2,2023-01-07,1315,Terra,MODIS,66,61.03,301,22.4,D,0
-31.8425,-56.4272,369.3,1.9,1.3,2023-01-07,1723,Aqua,MODIS,100,61.03,315.6,235.6,D,0
-31.8443,-56.4475,338.4,1.9,1.3,2023-01-07,1723,Aqua,MODIS,76,61.03,311.9,53.3,D,0
-31.8372,-56.4122,338.8,1.9,1.3,2023-01-07,1723,Aqua,MODIS,83,61.03,317.6,48.7,D,0
-31.8392,-56.4323,370.4,1.9,1.3,2023-01-07,1723,Aqua,MODIS,100,61.03,316.9,244.7,D,0
-33.0552,-58.0286,323.7,1.2,1.1,2023-01-08,1355,Terra,MODIS,61,61.03,308.3,10.9,D,0
-34.6903,-56.455,319.9,1.6,1.2,2023-01-08,1356,Terra,MODIS,54,61.03,299.8,17.2,D,0
-34.7534,-55.8516,370.9,1.3,1.1,2023-01-08,1805,Aqua,MODIS,94,61.03,308,154.6,D,0
-34.7609,-55.8351,338.1,1.3,1.1,2023-01-08,1805,Aqua,MODIS,74,61.03,305.2,40.2,D,0
-34.7634,-55.849,342.8,1.3,1.1,2023-01-08,1805,Aqua,MODIS,84,61.03,308.3,52,D,2
-34.8002,-56.0547,343.9,1.3,1.1,2023-01-08,1805,Aqua,MODIS,90,61.03,304.2,55.3,D,0
-34.8026,-56.0683,324.4,1.3,1.1,2023-01-08,1805,Aqua,MODIS,59,61.03,304.2,16.4,D,2
-34.7559,-55.8655,330.3,1.3,1.1,2023-01-08,1805,Aqua,MODIS,77,61.03,304.4,24.3,D,0
-34.6954,-56.4557,329.8,1.2,1.1,2023-01-08,1805,Aqua,MODIS,71,61.03,303,22.2,D,0
-33.6415,-55.8064,333.8,1.3,1.2,2023-01-08,1805,Aqua,MODIS,74,61.03,313.5,19.3,D,0
-34.6927,-56.4363,307.2,1,1,2023-01-09,0507,Aqua,MODIS,71,61.03,290.7,8.2,N,0
-34.692,-56.4486,315.1,2.6,1.5,2023-01-09,1259,Terra,MODIS,32,61.03,297.8,19.5,D,0
-34.6909,-56.4322,303.5,1.4,1.2,2023-01-10,0239,Terra,MODIS,56,61.03,291.5,9.6,N,0
-32.3734,-54.1643,323.3,1.2,1.1,2023-01-10,1339,Terra,MODIS,46,61.03,305.4,7.3,D,2
-34.3768,-55.236,322,1.1,1.1,2023-01-10,1340,Terra,MODIS,59,61.03,301.6,8.9,D,2
-34.3341,-57.4505,321.7,1.9,1.3,2023-01-13,1405,Terra,MODIS,68,61.03,303,21.4,D,0
-34.3359,-57.4302,319.2,1.9,1.3,2023-01-13,1405,Terra,MODIS,62,61.03,301.8,15.4,D,0
-33.2725,-54.4358,331.8,1.4,1.2,2023-01-14,1726,Aqua,MODIS,74,61.03,314.3,18.8,D,0
-33.2741,-54.4504,329.2,1.4,1.2,2023-01-14,1726,Aqua,MODIS,68,61.03,315,12.4,D,0
-33.3618,-56.595,320,2.1,1.4,2023-01-15,0248,Terra,MODIS,100,61.03,293.3,53.8,N,0
-33.3615,-56.5887,327.2,2.1,1.4,2023-01-15,0248,Terra,MODIS,100,61.03,293.8,75.9,N,0
-33.3573,-56.573,313,2.1,1.4,2023-01-15,0248,Terra,MODIS,86,61.03,292.7,35.8,N,0
-33.3563,-56.5839,330.3,3.2,1.7,2023-01-15,0427,Aqua,MODIS,100,61.03,292.4,162,N,0
-33.3624,-56.5547,311.4,3.1,1.7,2023-01-15,0427,Aqua,MODIS,82,61.03,291.5,60.9,N,0
-33.3545,-56.5877,325.6,3.2,1.7,2023-01-15,0427,Aqua,MODIS,100,61.03,292,130.9,N,0
-33.364,-56.5508,306.2,3.1,1.7,2023-01-15,0427,Aqua,MODIS,67,61.03,291.2,42.7,N,0
-32.9139,-54.0263,325,1.7,1.3,2023-01-15,1348,Terra,MODIS,41,61.03,309.4,14.9,D,0
-34.3359,-56.7268,330.7,1.2,1.1,2023-01-15,1349,Terra,MODIS,73,61.03,312.8,14.3,D,2
-34.7296,-56.2135,323,1.3,1.1,2023-01-15,1349,Terra,MODIS,37,61.03,306.7,7.9,D,2
-34.3344,-56.74,334.2,1.2,1.1,2023-01-15,1349,Terra,MODIS,79,61.03,315.7,19.6,D,2
-34.3338,-56.734,340.6,1.2,1.1,2023-01-15,1349,Terra,MODIS,86,61.03,314.8,32,D,2
-33.4298,-56.6603,334.4,1.2,1.1,2023-01-15,1349,Terra,MODIS,77,61.03,316.5,22.1,D,0
-33.4286,-56.6542,333.6,1.2,1.1,2023-01-15,1349,Terra,MODIS,76,61.03,316.2,17.8,D,0
-34.4809,-56.3643,404.9,1.3,1.1,2023-01-15,1808,Aqua,MODIS,100,61.03,322,402.1,D,0
-34.4911,-56.3615,336.2,1.3,1.1,2023-01-15,1808,Aqua,MODIS,79,61.03,308.5,29.4,D,0
-34.4783,-56.35,339.9,1.3,1.1,2023-01-15,1808,Aqua,MODIS,84,61.03,312.6,38.7,D,0
-34.4835,-56.3785,340.5,1.3,1.1,2023-01-15,1808,Aqua,MODIS,84,61.03,313.9,43.3,D,0
-33.4306,-56.6564,333.2,1.3,1.1,2023-01-15,1808,Aqua,MODIS,58,61.03,319.6,12.9,D,0
-32.9169,-54.0437,327.6,2,1.4,2023-01-15,1808,Aqua,MODIS,35,61.03,308.5,24.2,D,0
-33.4204,-56.659,347.8,1.3,1.1,2023-01-15,1808,Aqua,MODIS,90,61.03,318.9,49.8,D,0
-30.8005,-57.7423,335.3,1.3,1.1,2023-01-15,1809,Aqua,MODIS,74,61.03,315.3,18.3,D,0
-33.9185,-55.9139,321.8,1.8,1.3,2023-01-16,0151,Terra,MODIS,100,61.03,293.5,45.6,N,0
-33.9129,-55.921,315.5,1.8,1.3,2023-01-16,0151,Terra,MODIS,91,61.03,292.8,31.3,N,0
-32.9105,-53.976,306.2,1.2,1.1,2023-01-16,0509,Aqua,MODIS,67,61.03,286,11.2,N,0
-32.9202,-53.9777,300.4,1.2,1.1,2023-01-16,0509,Aqua,MODIS,27,61.03,286,6.8,N,0
-33.4429,-54.1901,308.8,1.7,1.3,2023-01-17,0232,Terra,MODIS,76,61.03,289.6,20.2,N,0
-32.8637,-55.5844,308,1.4,1.2,2023-01-17,0232,Terra,MODIS,73,61.03,293.2,12,N,0
-32.8533,-55.587,304.8,1.4,1.2,2023-01-17,0232,Terra,MODIS,62,61.03,293.2,8.4,N,0
-30.4738,-56.5258,309.1,1.4,1.2,2023-01-17,0233,Terra,MODIS,77,61.03,294.7,13.1,N,0
-34.7678,-56.0165,321.3,1,1,2023-01-17,1333,Terra,MODIS,45,61.03,306.5,7,D,2
-34.7236,-56.0604,326.9,1,1,2023-01-17,1755,Aqua,MODIS,54,61.03,310.5,8.7,D,0
-34.435,-57.7272,339.5,1,1,2023-01-17,1755,Aqua,MODIS,79,61.03,313.3,25.4,D,0
-34.4366,-57.7381,331.2,1,1,2023-01-17,1755,Aqua,MODIS,56,61.03,312.3,12.5,D,0
-33.1043,-54.2224,340.8,1.2,1.1,2023-01-17,1755,Aqua,MODIS,84,61.03,312.7,35.9,D,0
-33.0945,-54.2248,336.7,1.2,1.1,2023-01-17,1755,Aqua,MODIS,79,61.03,310.5,27.6,D,0
-33.0967,-54.2378,327,1.2,1.1,2023-01-17,1755,Aqua,MODIS,37,61.03,309.1,10.1,D,0
-32.3801,-56.8369,337.2,1,1,2023-01-17,1756,Aqua,MODIS,71,61.03,321.8,11.4,D,0
-32.3818,-56.8477,337.5,1,1,2023-01-17,1756,Aqua,MODIS,75,61.03,319.5,12.5,D,0
-30.4792,-56.5382,352.6,1.1,1,2023-01-17,1756,Aqua,MODIS,94,61.03,321.7,38.8,D,0
-30.4699,-56.5401,341,1.1,1,2023-01-17,1756,Aqua,MODIS,71,61.03,322.1,14.4,D,0
-34.3733,-55.2365,320.2,1.2,1.1,2023-01-22,1342,Terra,MODIS,50,61.03,302.4,7.4,D,2
-34.7831,-55.9808,364.9,1.5,1.2,2023-01-22,1811,Aqua,MODIS,100,61.03,311.5,150.5,D,2
-34.7861,-55.9968,375.4,1.5,1.2,2023-01-22,1811,Aqua,MODIS,100,61.03,313.9,212,D,2
-34.7265,-56.4349,332.7,1.4,1.2,2023-01-22,1811,Aqua,MODIS,60,61.03,312,26.5,D,0
-33.9866,-56.2595,333.7,1.5,1.2,2023-01-22,1811,Aqua,MODIS,76,61.03,313.9,23.1,D,0
-32.3416,-53.6971,318.6,1.6,1.2,2023-01-23,0145,Terra,MODIS,97,61.03,291.7,33.4,N,0
-32.3434,-53.7141,312.8,1.6,1.2,2023-01-23,0145,Terra,MODIS,86,61.03,290.8,23.9,N,0
-32.3408,-53.7071,302.6,1.3,1.1,2023-01-23,0512,Aqua,MODIS,50,61.03,288.8,8.6,N,0
-32.3425,-53.6937,306.9,1.3,1.1,2023-01-23,0512,Aqua,MODIS,70,61.03,290.1,12.3,N,0
-32.341,-53.699,311.8,1.3,1.1,2023-01-23,0512,Aqua,MODIS,83,61.03,290.2,16.3,N,0
-34.7017,-55.6608,328.2,2.5,1.5,2023-01-23,1715,Aqua,MODIS,76,61.03,309.8,55.6,D,0
-34.7038,-55.6883,333.7,2.5,1.5,2023-01-23,1715,Aqua,MODIS,82,61.03,309.7,82.7,D,0
-34.7091,-55.6674,323.1,2.5,1.5,2023-01-23,1715,Aqua,MODIS,22,61.03,309.5,28.5,D,0
-34.6953,-55.6687,330.7,2.5,1.5,2023-01-23,1715,Aqua,MODIS,79,61.03,309.2,62.7,D,0
-34.6974,-55.6962,324.4,2.5,1.5,2023-01-23,1715,Aqua,MODIS,48,61.03,309.1,35,D,0
-33.3622,-54.3508,325.7,1,1,2023-01-24,1326,Terra,MODIS,55,61.03,309.7,9.9,D,0
