latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.0517,67.2665,302.5,1.4,1.2,2023-01-01,0829,Aqua,MODIS,52,61.03,287.7,7.9,D,0
39.6146,64.1967,303.4,1,1,2023-01-04,0859,Aqua,MODIS,54,61.03,289.5,5,D,0
39.6228,64.2541,304.8,1,1,2023-01-04,0859,Aqua,MODIS,60,61.03,288.7,5.7,D,0
39.5814,63.7182,301,1,1,2023-01-04,0859,Aqua,MODIS,44,61.03,288,4.8,D,0
39.7153,64.3794,301.4,1,1,2023-01-04,0859,Aqua,MODIS,46,61.03,286.1,4.5,D,0
39.3107,63.9457,303.3,1,1,2023-01-04,0859,Aqua,MODIS,56,61.03,287.5,5.5,D,0
40.1907,63.8322,301.5,1,1,2023-01-04,0859,Aqua,MODIS,47,61.03,288.8,3.9,D,0
39.6245,64.2655,305.8,1,1,2023-01-04,0859,Aqua,MODIS,62,61.03,289.6,6.2,D,0
40.1881,68.4182,302.4,1.9,1.4,2023-01-05,0634,Terra,MODIS,52,61.03,284.6,16.9,D,0
39.5808,63.7207,300.3,1.1,1.1,2023-01-05,0635,Terra,MODIS,33,61.03,285.5,6,D,0
40.4168,63.6405,300.6,1.9,1.3,2023-01-07,0929,Aqua,MODIS,40,61.03,288.1,9.2,D,0
40.4408,63.3527,313.7,1.8,1.3,2023-01-07,0929,Aqua,MODIS,74,61.03,288.2,30.4,D,0
40.8608,69.5277,308.5,1.3,1.1,2023-01-07,1723,Terra,MODIS,75,61.03,278.6,19.2,N,2
43.5964,59.9665,354.5,1,1,2023-01-18,0906,Aqua,MODIS,98,61.03,275.8,80.1,D,0
43.5907,59.9623,300.2,1,1,2023-01-25,0909,Aqua,MODIS,27,61.03,275,7.2,D,0
40.8716,69.539,308.4,1.2,1.1,2023-01-26,2149,Aqua,MODIS,61,61.03,266.6,20.2,N,2
40.5055,63.3318,302,1.1,1,2023-01-27,0855,Aqua,MODIS,50,61.03,286.3,5.9,D,0
