latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-19.5297,169.444,310.7,1.3,1.1,2023-01-01,1119,Terra,MODIS,72,61.03,292.6,13.1,N,1
-19.5289,169.4478,322,1,1,2023-01-01,1410,Aqua,MODIS,100,61.03,280,20.8,N,1
-19.5304,169.4574,307.8,1,1,2023-01-01,1410,Aqua,MODIS,57,61.03,280.1,8.6,N,1
-19.5315,169.4407,314.2,1,1,2023-01-09,2247,Terra,MODIS,0,61.03,290.9,10.3,D,1
-19.5328,169.4502,324.6,1,1,2023-01-09,2247,Terra,MODIS,51,61.03,288.9,21.1,D,1
-19.5269,169.4458,312.7,1.4,1.2,2023-01-12,0253,Aqua,MODIS,0,61.03,289.9,7.8,D,1
-19.5275,169.4522,307.9,1.4,1.2,2023-01-13,1429,Aqua,MODIS,53,61.03,291,13.4,N,1
-19.5314,169.4405,320.5,1,1,2023-01-16,2240,Terra,MODIS,48,61.03,296.9,13.8,D,1
-19.5328,169.45,346.5,1,1,2023-01-16,2240,Terra,MODIS,88,61.03,295.6,50.8,D,1
-19.5223,169.452,305.9,1.5,1.2,2023-01-20,1432,Aqua,MODIS,38,61.03,283.3,14.9,N,1
-19.5273,169.4472,333.9,1.1,1,2023-01-23,2233,Terra,MODIS,0,61.03,297.1,31.7,D,1
-19.5289,169.4576,318.7,1.1,1,2023-01-23,2233,Terra,MODIS,66,61.03,295.7,11.6,D,1
-19.5281,169.4456,317,1.1,1.1,2023-01-24,1406,Aqua,MODIS,92,61.03,290.4,16.8,N,1
-19.5298,169.4563,320,1.1,1.1,2023-01-24,1406,Aqua,MODIS,99,61.03,291.5,19.7,N,1
-19.5345,169.4435,307.5,1.7,1.3,2023-01-25,1124,Terra,MODIS,55,61.03,290.8,14,N,1
-19.527,169.4599,316.2,1.8,1.3,2023-01-26,1352,Aqua,MODIS,90,61.03,292.4,30.6,N,1
-19.53,169.4502,346.6,1,1,2023-01-27,1109,Terra,MODIS,100,61.03,294.7,56.1,N,1
