latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.1288,106.7883,310.2,1.3,1.1,2023-01-01,0643,Aqua,MODIS,52,61.03,284.5,9.3,D,0
11.4923,106.7622,317.6,1.3,1.1,2023-01-01,0643,Aqua,MODIS,70,61.03,293.6,13.3,D,0
11.8688,106.4437,315.1,1.3,1.1,2023-01-01,0643,Aqua,MODIS,62,61.03,294.9,8.8,D,0
22.4492,106.4583,301,1.8,1.3,2023-01-01,0646,Aqua,MODIS,37,61.03,290.4,7.2,D,0
21.6186,106.1503,303.5,1.7,1.3,2023-01-01,0646,Aqua,MODIS,51,61.03,291.6,7.4,D,0
13.1927,107.6831,325,3,1.6,2023-01-03,0340,Terra,MODIS,80,61.03,292.1,78.7,D,0
13.1907,107.6772,323.3,3,1.6,2023-01-03,0340,Terra,MODIS,79,61.03,292,71.7,D,0
13.297,107.8058,309.4,1.1,1,2023-01-03,0630,Aqua,MODIS,31,61.03,287.3,4,D,0
14.5042,107.9526,312.9,1.1,1,2023-01-03,0630,Aqua,MODIS,69,61.03,297,5.8,D,0
14.5028,107.9425,312.7,1.1,1,2023-01-03,0630,Aqua,MODIS,68,61.03,297.2,5.2,D,0
11.8159,106.7718,316.2,1,1,2023-01-03,0630,Aqua,MODIS,63,61.03,288.4,9.7,D,0
11.4568,106.6471,331.6,1,1,2023-01-03,0630,Aqua,MODIS,86,61.03,294.8,22.4,D,0
11.3837,107.6194,309.7,1,1,2023-01-03,0630,Aqua,MODIS,63,61.03,282.2,7.4,D,0
10.6487,105.9019,324.3,1,1,2023-01-03,0630,Aqua,MODIS,78,61.03,294.6,15.4,D,0
10.6152,105.8664,312.8,1,1,2023-01-03,0630,Aqua,MODIS,55,61.03,290.2,6.1,D,0
10.6165,105.8756,319.6,1,1,2023-01-03,0630,Aqua,MODIS,75,61.03,289.8,11.2,D,0
10.659,106.6686,313.3,1,1,2023-01-03,0630,Aqua,MODIS,0,61.03,289.9,6.3,D,2
10.3674,104.7142,309.7,1.1,1.1,2023-01-03,0630,Aqua,MODIS,35,61.03,281.1,8.4,D,0
10.5638,105.8931,314.4,1,1,2023-01-03,0630,Aqua,MODIS,67,61.03,287.1,8.5,D,0
10.6268,106.0712,310.5,1,1,2023-01-03,0630,Aqua,MODIS,44,61.03,287.7,3.8,D,0
13.2956,107.7961,322.9,1.1,1,2023-01-03,0630,Aqua,MODIS,77,61.03,288.5,17.5,D,0
21.5856,106.1547,306.5,1.1,1,2023-01-03,0632,Aqua,MODIS,63,61.03,290.3,5.3,D,0
21.5162,106.0469,311.4,1.1,1,2023-01-03,0632,Aqua,MODIS,69,61.03,293.2,8.9,D,0
21.9847,105.9885,303,1.1,1,2023-01-03,0633,Aqua,MODIS,35,61.03,285.8,4.1,D,0
