latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-17.9821,29.9083,320.3,1.1,1,2023-01-04,1201,Aqua,MODIS,53,61.03,297.8,11.6,D,0
-19.7624,32.9303,314.2,2.9,1.6,2023-01-19,1111,Aqua,MODIS,67,61.03,294.7,41.2,D,0
-21.713,30.496,324.8,1,1,2023-01-20,1153,Aqua,MODIS,43,61.03,302,11.2,D,0
-21.7116,30.5057,345.1,1,1,2023-01-20,1153,Aqua,MODIS,90,61.03,304.9,40.5,D,0
-21.7138,30.4985,319.7,1.4,1.2,2023-01-22,1139,Aqua,MODIS,66,61.03,291,17.9,D,0
-21.7122,30.5116,318.1,1.4,1.2,2023-01-22,1139,Aqua,MODIS,61,61.03,292.3,14.2,D,0
-18.6893,32.7925,312,1,1,2023-01-28,0753,Terra,MODIS,42,61.03,295.2,7.8,D,0
-21.3831,30.7026,332.6,1,1,2023-01-28,0754,Terra,MODIS,80,61.03,305.9,16.5,D,0
-21.3728,30.6946,355.5,1,1,2023-01-28,0754,Terra,MODIS,97,61.03,309.8,60.1,D,0
-21.3742,30.7041,330.4,1,1,2023-01-28,0754,Terra,MODIS,77,61.03,307.1,13.8,D,0
-21.3817,30.6931,338.1,1,1,2023-01-28,0754,Terra,MODIS,85,61.03,304.8,25.1,D,0
-18.6161,32.8611,319.5,1,1,2023-01-29,1143,Aqua,MODIS,60,61.03,303.6,8.2,D,0
-18.6877,32.8791,317.3,1,1,2023-01-29,1143,Aqua,MODIS,46,61.03,303.2,8.1,D,0
-17.3987,30.5578,313.9,1.1,1.1,2023-01-29,1143,Aqua,MODIS,50,61.03,299.8,6.4,D,0
-17.6687,30.4922,311.7,1,1,2023-02-02,0802,Terra,MODIS,61,61.03,294.1,6.5,D,0
-18.434,26.4845,326.8,1.2,1.1,2023-02-03,1159,Aqua,MODIS,52,61.03,307.8,17.3,D,0
-20.6193,30.8029,313.1,1.5,1.2,2023-02-07,0812,Terra,MODIS,39,61.03,293.2,9.9,D,0
-21.2978,31.327,312.4,1.7,1.3,2023-02-07,0812,Terra,MODIS,34,61.03,294.6,11.8,D,0
-18.3588,26.4257,326.2,1,1,2023-02-08,1215,Aqua,MODIS,51,61.03,308.1,10,D,0
-21.142,31.4121,322.7,1,1,2023-02-09,0756,Terra,MODIS,56,61.03,301.3,10.1,D,0
-21.146,31.4164,325.8,2,1.4,2023-02-23,1951,Terra,MODIS,100,61.03,289.8,67.6,N,0
-21.1439,31.4357,306.8,2,1.4,2023-02-23,1951,Terra,MODIS,69,61.03,289.7,20.2,N,0
-18.4275,26.4904,303.4,1.1,1,2023-02-23,2354,Aqua,MODIS,55,61.03,287.3,6.2,N,0
-18.4334,26.4832,315,1.2,1.1,2023-02-24,0823,Terra,MODIS,67,61.03,298.6,9.8,D,0
-18.4348,26.494,314.6,1.2,1.1,2023-02-24,0823,Terra,MODIS,66,61.03,297.9,9.4,D,0
-18.437,26.4894,304.2,1,1,2023-02-24,2033,Terra,MODIS,59,61.03,294.2,5,N,0
-18.3732,26.4814,317.3,1.1,1,2023-02-26,0807,Terra,MODIS,58,61.03,302.7,6.7,D,0
-18.4287,26.4254,320.4,1.1,1,2023-02-26,0807,Terra,MODIS,55,61.03,306.6,10.5,D,0
-18.4379,26.4851,320,1.1,1,2023-02-26,0807,Terra,MODIS,38,61.03,305.4,10.3,D,0
-18.441,26.4799,319.7,1.5,1.2,2023-02-26,1152,Aqua,MODIS,49,61.03,304.4,14.7,D,0
-18.4491,26.5274,314.2,1.6,1.2,2023-03-01,0831,Terra,MODIS,49,61.03,298.5,12.5,D,0
-18.4326,26.4834,317.1,1.6,1.2,2023-03-01,0831,Terra,MODIS,69,61.03,300.2,16.8,D,0
-18.4329,26.4911,304.5,1.1,1,2023-03-02,2356,Aqua,MODIS,61,61.03,290.8,6,N,0
-18.4356,26.483,317.7,1,1,2023-03-03,0815,Terra,MODIS,50,61.03,300.6,8.3,D,0
-18.4369,26.4924,317.4,1,1,2023-03-03,0815,Terra,MODIS,56,61.03,299.5,8.3,D,0
-18.3708,26.4802,318.7,1,1,2023-03-03,0815,Terra,MODIS,66,61.03,300.9,8.3,D,0
-18.4326,26.4871,303.4,1.1,1,2023-03-03,2026,Terra,MODIS,55,61.03,287.6,6.1,N,0
-18.4354,26.4837,322.5,2.1,1.4,2023-03-06,1236,Aqua,MODIS,34,61.03,302,32.9,D,0
-18.4304,26.483,300.6,1.5,1.2,2023-03-06,2051,Terra,MODIS,31,61.03,284.9,6.4,N,0
-17.9727,29.9189,316.3,1.4,1.2,2023-03-07,0743,Terra,MODIS,0,61.03,296.5,15.3,D,0
-18.436,26.4848,320.8,1.2,1.1,2023-03-08,0824,Terra,MODIS,71,61.03,301.1,15.3,D,0
-19.0372,30.1875,322.5,2.1,1.4,2023-03-08,1222,Aqua,MODIS,37,61.03,304.5,29.7,D,0
-19.0246,30.185,335.9,2.1,1.4,2023-03-08,1222,Aqua,MODIS,86,61.03,304.6,79.4,D,0
-19.0368,30.1802,325.3,2.1,1.4,2023-03-08,1222,Aqua,MODIS,74,61.03,304.3,40,D,0
