latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
30.9719,5.7507,301.7,1,1,2024-01-01,2117,Terra,MODIS,43,61.03,275.4,9.5,N,0
31.6659,6.0609,311,1,1,2024-01-01,2118,Terra,MODIS,81,61.03,279.7,15.4,N,2
31.6645,6.0501,310.4,1,1,2024-01-01,2118,Terra,MODIS,80,61.03,279.2,14.9,N,2
32.3715,6.7044,301.4,1.1,1.1,2024-01-01,2118,Terra,MODIS,41,61.03,277,10.6,N,0
31.6639,6.0658,302.4,1.1,1,2024-01-03,0203,Aqua,MODIS,49,61.03,278.2,10.8,N,2
33.036,3.3758,312.1,1,1,2024-01-03,0203,Aqua,MODIS,84,61.03,273.6,17.1,N,0
35.351,5.7607,300.1,1,1,2024-01-03,1000,Terra,MODIS,26,61.03,286.5,4.7,D,0
31.6611,6.0598,318.5,1.2,1.1,2024-01-03,1303,Aqua,MODIS,72,61.03,295.5,15.7,D,2
36.7404,6.2591,328.4,1,1,2024-01-03,1304,Aqua,MODIS,86,61.03,290.4,28,D,2
36.8684,6.9771,305.1,1,1,2024-01-03,1304,Aqua,MODIS,61,61.03,293,5.6,D,2
36.7386,6.2479,317.8,1,1,2024-01-03,1304,Aqua,MODIS,78,61.03,292.2,16.4,D,2
30.4751,7.0225,302.9,1.1,1,2024-01-03,2100,Terra,MODIS,52,61.03,277.3,11.4,N,0
32.3561,6.9724,305.4,1.1,1,2024-01-03,2101,Terra,MODIS,64,61.03,278.9,12.2,N,2
31.801,6.0514,305.4,1.2,1.1,2024-01-03,2101,Terra,MODIS,64,61.03,279.9,13.3,N,0
31.6653,6.0575,311.2,1.2,1.1,2024-01-03,2101,Terra,MODIS,82,61.03,281.6,18,N,2
35.8057,-0.2506,323.7,1.4,1.2,2024-01-04,0243,Aqua,MODIS,100,61.03,282.7,42.8,N,2
35.8092,-0.2399,316.3,1.4,1.2,2024-01-04,0243,Aqua,MODIS,93,61.03,284.8,30.5,N,2
