latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.2766,1.5321,328,2.4,1.5,2024-01-01,1024,Terra,MODIS,77,61.03,306.7,57.2,D,0
11.1423,1.2368,375,2.3,1.5,2024-01-01,1024,Terra,MODIS,100,61.03,307.6,422.1,D,0
11.1388,1.2575,359,2.3,1.5,2024-01-01,1024,Terra,MODIS,99,61.03,308.7,250.4,D,0
11.1328,1.2143,340.5,2.3,1.5,2024-01-01,1024,Terra,MODIS,89,61.03,304.4,110.1,D,0
11.1293,1.2347,344.6,2.3,1.5,2024-01-01,1024,Terra,MODIS,91,61.03,307.7,136.8,D,0
11.1258,1.2552,322,2.3,1.5,2024-01-01,1024,Terra,MODIS,44,61.03,307.6,26.9,D,0
12.1152,2.3827,320.5,2.8,1.6,2024-01-01,1024,Terra,MODIS,66,61.03,304.6,30.1,D,0
11.0986,1.336,321.9,2.4,1.5,2024-01-01,1024,Terra,MODIS,41,61.03,307.2,27.1,D,0
12.106,2.4009,330,2.8,1.6,2024-01-01,1024,Terra,MODIS,80,61.03,305.2,78.1,D,0
12.1109,2.4072,333.1,2.8,1.6,2024-01-01,1024,Terra,MODIS,83,61.03,306,96.4,D,0
11.1346,1.2081,324.2,2.3,1.5,2024-01-01,1024,Terra,MODIS,50,61.03,303.3,29.9,D,0
11.1313,1.2286,353.2,2.3,1.5,2024-01-01,1024,Terra,MODIS,96,61.03,307.6,194.3,D,0
11.1014,1.33,322.4,2.4,1.5,2024-01-01,1024,Terra,MODIS,48,61.03,307.5,27.2,D,0
10.9355,1.449,326.4,2.4,1.5,2024-01-01,1024,Terra,MODIS,75,61.03,306,46.7,D,0
10.954,1.0256,321.4,2.3,1.5,2024-01-01,1024,Terra,MODIS,61,61.03,306.4,22.3,D,0
10.9506,1.0454,320.6,2.3,1.5,2024-01-01,1024,Terra,MODIS,52,61.03,306.5,19.9,D,0
10.9516,1.0391,324.2,2.3,1.5,2024-01-01,1024,Terra,MODIS,72,61.03,306.7,34.7,D,0
10.8894,1.1751,326.4,2.3,1.5,2024-01-01,1024,Terra,MODIS,75,61.03,305.5,41.4,D,0
10.886,1.1956,328.2,2.3,1.5,2024-01-01,1024,Terra,MODIS,78,61.03,306,48.9,D,0
10.8364,1.2512,324.3,2.4,1.5,2024-01-01,1024,Terra,MODIS,72,61.03,306.1,33.5,D,0
10.8234,1.2491,340.5,2.4,1.5,2024-01-01,1024,Terra,MODIS,89,61.03,305.1,110.8,D,0
10.8259,1.2439,340.7,2.4,1.5,2024-01-01,1024,Terra,MODIS,89,61.03,305.4,114.1,D,0
10.8224,1.2648,329,2.4,1.5,2024-01-01,1024,Terra,MODIS,79,61.03,306.4,56,D,0
10.4186,0.9192,326.8,2.3,1.5,2024-01-01,1024,Terra,MODIS,76,61.03,306.8,41.2,D,0
10.4196,0.9126,320.1,2.3,1.5,2024-01-01,1024,Terra,MODIS,64,61.03,306,20.8,D,0
10.4163,0.9325,325.6,2.3,1.5,2024-01-01,1024,Terra,MODIS,74,61.03,307.2,40.7,D,0
11.3873,1.8307,322.3,2.6,1.5,2024-01-01,1024,Terra,MODIS,68,61.03,307.7,26.5,D,0
11.2207,2.1079,330,2.7,1.6,2024-01-01,1024,Terra,MODIS,79,61.03,303.3,82.3,D,0
11.2802,1.5106,320.9,2.4,1.5,2024-01-01,1024,Terra,MODIS,55,61.03,305.3,26.5,D,0
