latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-3.1966,29.4072,310.3,1,1,2024-02-04,1201,Aqua,MODIS,51,61.03,294.1,3.6,D,0
-2.9068,29.837,311.9,1,1,2024-02-17,0752,Terra,MODIS,56,61.03,294.6,5.7,D,0
-3.3427,29.3853,311.9,3.5,1.8,2024-03-01,0828,Terra,MODIS,21,61.03,290,36.8,D,2
-3.3465,29.3562,315.2,3.9,1.8,2024-03-10,1130,Aqua,MODIS,23,61.03,294.2,51.5,D,2
-3.284,29.3185,312.7,1.2,1.1,2024-04-18,1201,Aqua,MODIS,43,61.03,297.2,5.1,D,0
-3.0213,30.5114,319.3,1,1,2024-05-17,1210,Aqua,MODIS,67,61.03,298.7,11.3,D,0
-3.1522,30.3745,321,1,1,2024-05-17,1210,Aqua,MODIS,74,61.03,295.2,13.1,D,0
-3.0799,30.4204,314.7,1,1,2024-05-17,1210,Aqua,MODIS,57,61.03,297.1,8.1,D,0
-3.2469,30.2674,310.9,1.5,1.2,2024-05-19,1153,Aqua,MODIS,33,61.03,294.7,10.4,D,0
-3.2061,30.3265,312.1,1.4,1.2,2024-05-19,1153,Aqua,MODIS,57,61.03,294.8,11.6,D,0
-3.1381,30.4244,317.6,1.6,1.2,2024-05-21,0727,Terra,MODIS,67,61.03,293.4,21.9,D,0
-3.1399,30.4174,309.6,1.6,1.2,2024-05-21,0727,Terra,MODIS,61,61.03,293.1,10.9,D,0
-3.142,30.4315,314.5,1.6,1.2,2024-05-21,0727,Terra,MODIS,70,61.03,293.6,18.4,D,0
-3.128,30.4332,308.7,1,1,2024-05-21,1946,Terra,MODIS,75,61.03,290.2,9.1,N,0
-3.1191,30.4319,344.2,1,1,2024-05-21,1946,Terra,MODIS,100,61.03,291,51.7,N,0
-3.1724,30.3946,319.9,1.1,1.1,2024-05-24,1201,Aqua,MODIS,50,61.03,302.1,13.1,D,0
-3.0874,30.3913,326.9,1.1,1.1,2024-05-24,1201,Aqua,MODIS,80,61.03,294,25,D,0
-3.1537,30.3847,309.4,1.3,1.1,2024-05-26,0733,Terra,MODIS,37,61.03,295.9,5.6,D,0
-3.2333,30.2992,326.9,1.3,1.1,2024-05-26,0733,Terra,MODIS,81,61.03,297,28,D,0
-3.2433,30.2979,318.3,1.3,1.1,2024-05-26,0733,Terra,MODIS,72,61.03,296.4,15.7,D,0
-3.2739,30.2671,312.7,1.4,1.2,2024-05-27,1225,Aqua,MODIS,30,61.03,290.1,11.5,D,0
-3.2282,29.2641,316.6,1.2,1.1,2024-05-27,1225,Aqua,MODIS,50,61.03,301,9.7,D,0
-3.1971,29.2706,334.2,1.2,1.1,2024-05-27,1225,Aqua,MODIS,87,61.03,299.4,35.9,D,0
-3.1987,29.2596,316.7,1.2,1.1,2024-05-27,1225,Aqua,MODIS,35,61.03,299.5,9,D,0
-3.1872,29.2691,340.1,1.2,1.1,2024-05-27,1225,Aqua,MODIS,90,61.03,298.1,48.9,D,0
-3.247,30.3143,314,1.2,1.1,2024-05-29,0755,Terra,MODIS,67,61.03,292.3,10.6,D,0
-3.2434,30.3175,321,1,1,2024-05-29,1208,Aqua,MODIS,70,61.03,298.3,12.7,D,0
-3.2447,30.3087,321.8,1,1,2024-05-29,1208,Aqua,MODIS,75,61.03,297.1,13.1,D,0
