latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.7265,14.6872,301.2,1.7,1.3,2024-01-01,0046,Aqua,MODIS,38,61.03,287.7,12,N,0
7.864,13.0889,301.1,2.1,1.4,2024-01-01,0047,Aqua,MODIS,37,61.03,288.4,16.8,N,0
8.7252,14.6747,317.3,1.5,1.2,2024-01-01,0846,Terra,MODIS,44,61.03,305.1,9.6,D,0
8.2126,14.5892,315.6,1.5,1.2,2024-01-01,0846,Terra,MODIS,41,61.03,302.7,9.5,D,0
8.2603,14.5552,340.7,1.5,1.2,2024-01-01,0846,Terra,MODIS,89,61.03,305.2,60.1,D,0
8.2621,14.5421,375.1,1.5,1.2,2024-01-01,0846,Terra,MODIS,100,61.03,306.2,220.2,D,0
8.4092,13.9628,318.2,1.6,1.3,2024-01-01,0846,Terra,MODIS,60,61.03,303.3,15.7,D,0
8.3446,14.6121,322.8,1.5,1.2,2024-01-01,0846,Terra,MODIS,65,61.03,306.1,15.8,D,0
8.3551,14.6135,320.5,1.5,1.2,2024-01-01,0846,Terra,MODIS,40,61.03,304,11.7,D,0
8.5612,13.591,320.5,1.8,1.3,2024-01-01,0846,Terra,MODIS,66,61.03,307.4,13.4,D,0
8.5947,13.3351,319.1,1.8,1.3,2024-01-01,0846,Terra,MODIS,63,61.03,305.8,17.3,D,0
8.5855,13.8422,318.4,1.7,1.3,2024-01-01,0846,Terra,MODIS,58,61.03,304,13.3,D,0
8.5867,13.8332,316.4,1.7,1.3,2024-01-01,0846,Terra,MODIS,46,61.03,303.7,10.9,D,0
8.7235,14.6878,317.6,1.5,1.2,2024-01-01,0846,Terra,MODIS,43,61.03,305.2,9.6,D,0
7.9317,13.1656,368.4,1.9,1.3,2024-01-01,0846,Terra,MODIS,100,61.03,305.6,252,D,0
7.9339,13.1493,324.5,1.9,1.3,2024-01-01,0846,Terra,MODIS,76,61.03,303.9,34.6,D,0
7.9268,13.171,326.6,1.9,1.3,2024-01-01,0846,Terra,MODIS,78,61.03,302.2,37.2,D,0
7.9289,13.1546,322.8,1.9,1.3,2024-01-01,0846,Terra,MODIS,70,61.03,303.2,29,D,0
