latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.1966,-2.8325,309.9,1.2,1.1,2024-01-01,0225,Aqua,MODIS,79,61.03,292.6,12.6,N,0
9.1921,-3.9658,302.4,1,1,2024-01-01,0225,Aqua,MODIS,49,61.03,287.9,6.7,N,0
7.9923,-7.2664,306,1.1,1,2024-01-01,0225,Aqua,MODIS,63,61.03,291.6,7.6,N,0
8.4052,-8.2345,300.2,1.2,1.1,2024-01-01,0225,Aqua,MODIS,20,61.03,286,7.5,N,0
10.3862,-6.6257,317.6,1,1,2024-01-01,1024,Terra,MODIS,54,61.03,304.8,7,D,0
7.965,-7.1081,327.4,1,1,2024-01-01,1025,Terra,MODIS,81,61.03,300.7,21.5,D,0
7.9873,-7.2632,314.3,1,1,2024-01-01,1025,Terra,MODIS,63,61.03,301.3,6.9,D,0
7.974,-7.1004,328.1,1,1,2024-01-01,1025,Terra,MODIS,82,61.03,302.6,20.1,D,0
8.0097,-7.0954,317.8,1,1,2024-01-01,1025,Terra,MODIS,51,61.03,300.6,8.9,D,0
8.0356,-7.2126,322.9,1,1,2024-01-01,1025,Terra,MODIS,77,61.03,300,14.9,D,0
8.0522,-7.2009,316.4,1,1,2024-01-01,1025,Terra,MODIS,27,61.03,303.3,7.4,D,0
7.8861,-3.8712,310.5,1.1,1.1,2024-01-01,1025,Terra,MODIS,56,61.03,299.7,5.7,D,0
8.2964,-2.5993,317.3,1.3,1.1,2024-01-01,1025,Terra,MODIS,61,61.03,304,10.1,D,0
8.4077,-2.5884,316.2,1.3,1.1,2024-01-01,1025,Terra,MODIS,53,61.03,304.4,7.1,D,0
8.7952,-3.7767,318.5,1.1,1.1,2024-01-01,1025,Terra,MODIS,65,61.03,302.8,10.7,D,0
8.7967,-3.7868,325.1,1.1,1.1,2024-01-01,1025,Terra,MODIS,76,61.03,304,18.1,D,0
8.9203,-3.8034,318.5,1.1,1.1,2024-01-01,1025,Terra,MODIS,54,61.03,304.4,6.2,D,0
8.8312,-3.2143,318,1.2,1.1,2024-01-01,1025,Terra,MODIS,61,61.03,305.9,8,D,0
8.9032,-3.8161,317.8,1.1,1.1,2024-01-01,1025,Terra,MODIS,44,61.03,305.4,6.8,D,0
8.8869,-4.0069,330,1.1,1,2024-01-01,1025,Terra,MODIS,82,61.03,305.9,24.7,D,0
9.1502,-3.9787,317.1,1.1,1,2024-01-01,1025,Terra,MODIS,57,61.03,306.3,5.5,D,0
9.1488,-3.969,316,1.1,1,2024-01-01,1025,Terra,MODIS,49,61.03,305.2,5,D,0
9.005,-4.0662,333.4,1.1,1,2024-01-01,1025,Terra,MODIS,84,61.03,305.3,27.5,D,0
9.5859,-5.297,320.4,1,1,2024-01-01,1025,Terra,MODIS,67,61.03,304,10.1,D,0
9.5846,-5.2881,388.7,1,1,2024-01-01,1025,Terra,MODIS,100,61.03,318.5,186.3,D,0
9.5833,-5.2791,336.5,1,1,2024-01-01,1025,Terra,MODIS,86,61.03,306.3,29.3,D,0
9.2763,-4.0273,317.5,1.1,1,2024-01-01,1025,Terra,MODIS,52,61.03,307,4.9,D,0
9.2748,-4.0175,327.9,1.1,1,2024-01-01,1025,Terra,MODIS,78,61.03,306.9,17.7,D,0
9.1979,-3.9951,322.1,1.1,1,2024-01-01,1025,Terra,MODIS,54,61.03,304,12.3,D,0
9.1964,-3.9854,335.6,1.1,1,2024-01-01,1025,Terra,MODIS,85,61.03,304.4,31.1,D,0
9.1949,-3.9757,400.7,1.1,1,2024-01-01,1025,Terra,MODIS,100,61.03,313.5,285.4,D,0
8.8854,-3.997,325.4,1.1,1,2024-01-01,1025,Terra,MODIS,77,61.03,306,18.7,D,0
9.1934,-3.9659,352,1.1,1,2024-01-01,1025,Terra,MODIS,96,61.03,307.5,66.5,D,0
9.2031,-4.2079,317.3,1.1,1,2024-01-01,1025,Terra,MODIS,54,61.03,303.3,7.6,D,0
9.2016,-4.1983,330.2,1.1,1,2024-01-01,1025,Terra,MODIS,81,61.03,303.9,23.2,D,0
9.1939,-4.2093,332.1,1.1,1,2024-01-01,1025,Terra,MODIS,83,61.03,305.2,26,D,0
9.1925,-4.1997,329,1.1,1,2024-01-01,1025,Terra,MODIS,80,61.03,304.7,21.4,D,0
8.9621,-3.8276,317.5,1.1,1.1,2024-01-01,1025,Terra,MODIS,52,61.03,303.6,8.9,D,0
9.0035,-4.0565,321.8,1.1,1,2024-01-01,1025,Terra,MODIS,71,61.03,303.8,11.8,D,0
7.4395,-4.4587,311.4,1.1,1,2024-01-01,1025,Terra,MODIS,57,61.03,298.2,5.9,D,0
7.8653,-7.1839,314.7,1,1,2024-01-01,1025,Terra,MODIS,59,61.03,299.9,6.4,D,0
7.8666,-7.193,317.8,1,1,2024-01-01,1025,Terra,MODIS,71,61.03,302.2,9.2,D,0
7.9783,-7.2644,312.5,1,1,2024-01-01,1025,Terra,MODIS,48,61.03,300.5,5.3,D,0
7.9982,-7.121,317.7,2.5,1.5,2024-01-01,1450,Aqua,MODIS,47,61.03,303.4,21.8,D,0
8.9656,-3.9489,319.5,4.5,2,2024-01-01,1450,Aqua,MODIS,66,61.03,303.7,67.6,D,0
8.9654,-3.9437,318.6,4.5,2,2024-01-01,1450,Aqua,MODIS,31,61.03,303.7,54,D,0
8.4369,-7.6811,319.5,2.3,1.5,2024-01-01,1450,Aqua,MODIS,68,61.03,304.1,28,D,0
8.8038,-3.7912,325.4,4.6,2,2024-01-01,1450,Aqua,MODIS,76,61.03,304.4,122.5,D,0
8.7512,-3.785,322.8,4.6,2,2024-01-01,1450,Aqua,MODIS,72,61.03,304.4,100.1,D,0
8.8045,-3.7865,326.9,4.6,2,2024-01-01,1450,Aqua,MODIS,78,61.03,304.3,137.4,D,0
8.7518,-3.7805,323.7,4.6,2,2024-01-01,1450,Aqua,MODIS,74,61.03,304.3,109.7,D,0
8.6371,-3.675,318,4.7,2,2024-01-01,1450,Aqua,MODIS,60,61.03,304.9,63,D,0
8.6383,-3.6704,319.8,4.7,2,2024-01-01,1450,Aqua,MODIS,58,61.03,304.8,72,D,0
