latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.014,31.2055,308.8,1,1,2024-01-01,1139,Aqua,MODIS,47,61.03,297.8,4.3,D,0
31.3963,31.5934,302.8,1.1,1,2024-01-01,1139,Aqua,MODIS,54,61.03,292.1,4.1,D,0
30.1733,32.5255,303,1.7,1.3,2024-01-02,0742,Terra,MODIS,50,61.03,289.9,8.1,D,0
31.1249,29.814,300.4,1.2,1.1,2024-01-05,0009,Aqua,MODIS,27,61.03,286.4,7.3,N,2
29.0202,31.2033,306.6,1,1,2024-01-05,0806,Terra,MODIS,61,61.03,293.6,5,D,0
30.5764,31.8714,309.6,1,1,2024-01-08,1134,Aqua,MODIS,57,61.03,296.2,5.8,D,0
30.5749,31.8611,315.3,1,1,2024-01-08,1134,Aqua,MODIS,70,61.03,297.3,10.1,D,0
30.2154,30.8276,309.5,2.9,1.6,2024-01-09,2009,Terra,MODIS,78,61.03,277.3,60.7,N,0
30.2132,30.7982,303.5,2.9,1.6,2024-01-09,2009,Terra,MODIS,55,61.03,277.1,42.7,N,0
30.443,30.2871,304.5,1,1,2024-01-10,0813,Terra,MODIS,59,61.03,291.5,4.5,D,0
30.2564,31.5414,308,1,1,2024-01-10,0813,Terra,MODIS,66,61.03,290.9,7.3,D,0
30.2504,30.4675,302.8,1,1,2024-01-10,0813,Terra,MODIS,54,61.03,290.5,3.7,D,0
27.9595,30.5209,325.5,1,1,2024-01-10,0813,Terra,MODIS,83,61.03,292.4,22.2,D,0
26.0905,32.2771,317,1.2,1.1,2024-01-10,0814,Terra,MODIS,74,61.03,291.9,17.6,D,0
25.6146,32.7242,317,1.3,1.1,2024-01-10,0814,Terra,MODIS,72,61.03,297.9,14,D,0
27.4118,33.6236,317.2,1.1,1.1,2024-01-10,1118,Aqua,MODIS,69,61.03,300.8,9.9,D,0
27.41,33.6124,313.5,1.1,1.1,2024-01-10,1118,Aqua,MODIS,61,61.03,300.7,6.1,D,0
28.6619,30.6673,306.6,1.6,1.2,2024-01-10,1118,Aqua,MODIS,36,61.03,294.5,10.1,D,0
29.6896,32.3167,306.5,1.1,1,2024-01-12,0756,Terra,MODIS,64,61.03,292.4,5.9,D,2
26.0741,32.0994,301,1.1,1,2024-01-12,0757,Terra,MODIS,41,61.03,284.5,4.9,D,0
27.7849,30.8099,309.9,1,1,2024-01-13,1144,Aqua,MODIS,54,61.03,294.3,8,D,2
29.0149,31.197,309.4,1.1,1,2024-01-13,1144,Aqua,MODIS,57,61.03,297.7,5.6,D,0
29.6949,32.3188,302.3,1.1,1,2024-01-13,1935,Terra,MODIS,48,61.03,283.8,8.4,N,2
31.2003,31.6773,301.2,1.2,1.1,2024-01-15,0819,Terra,MODIS,45,61.03,289.9,4.7,D,0
31.4174,31.3666,349.9,1.1,1.1,2024-01-15,0819,Terra,MODIS,96,61.03,290.2,73.5,D,2
30.5656,31.7325,304.6,1.2,1.1,2024-01-15,0819,Terra,MODIS,59,61.03,290.8,7.3,D,0
30.5061,30.1619,308.1,1,1,2024-01-15,0819,Terra,MODIS,66,61.03,291.5,6.6,D,0
26.1206,32.1184,304.4,1.5,1.2,2024-01-15,0820,Terra,MODIS,33,61.03,290.6,9.6,D,0
25.5011,29.0734,310.3,1.1,1,2024-01-15,0820,Terra,MODIS,61,61.03,295,8,D,0
29.6907,32.3186,309.6,1,1,2024-01-15,1129,Aqua,MODIS,55,61.03,296.9,3.6,D,2
31.2029,31.6811,304.4,1,1,2024-01-15,1129,Aqua,MODIS,59,61.03,287.9,6.6,D,0
24.442,33.0829,306.6,1.2,1.1,2024-01-15,1916,Terra,MODIS,69,61.03,280.3,14,N,0
24.4401,33.0895,300.6,1.2,1.1,2024-01-15,1916,Terra,MODIS,30,61.03,279.9,9.5,N,2
30.4851,30.7916,302,1.1,1,2024-01-17,0802,Terra,MODIS,50,61.03,291.5,3.9,D,0
25.6497,32.5351,308.2,1,1,2024-01-17,0803,Terra,MODIS,60,61.03,291.6,7.4,D,0
31.1246,29.8114,303,1,1,2024-01-18,1942,Terra,MODIS,52,61.03,286.5,7.2,N,2
30.9311,27.5555,317.9,1,1,2024-01-18,1942,Terra,MODIS,96,61.03,283.6,19.6,N,0
24.4663,33.2352,311.3,1.2,1.1,2024-01-19,0747,Terra,MODIS,44,61.03,296.2,8.7,D,0
31.125,29.812,303.2,1.1,1.1,2024-01-20,0825,Terra,MODIS,0,61.03,289.7,5.5,D,2
30.7668,27.1075,300.4,1,1,2024-01-20,0826,Terra,MODIS,37,61.03,289.2,3.7,D,0
29.6895,32.318,308.8,1.7,1.3,2024-01-20,0826,Terra,MODIS,62,61.03,295.9,9.5,D,2
31.0293,29.7548,301.7,1,1,2024-01-22,0025,Aqua,MODIS,44,61.03,287.5,6.7,N,2
31.0298,29.761,302,1.1,1,2024-01-22,0808,Terra,MODIS,38,61.03,290.5,4,D,2
29.6954,32.318,309.7,1,1,2024-01-22,0809,Terra,MODIS,63,61.03,297.4,5.1,D,2
26.0984,32.5226,308.7,1.1,1.1,2024-01-22,0810,Terra,MODIS,48,61.03,293.4,7.7,D,2
31.0263,29.7507,300.4,1.8,1.3,2024-01-23,1205,Aqua,MODIS,0,61.03,284.4,7.3,D,2
28.1216,33.2749,307.2,1.8,1.3,2024-01-23,1947,Terra,MODIS,71,61.03,284.9,22.6,N,2
28.1182,33.2823,300.5,1,1,2024-01-24,0010,Aqua,MODIS,28,61.03,283.8,7.2,N,0
24.5393,33.0719,311.3,1,1,2024-01-24,0753,Terra,MODIS,42,61.03,296.3,7.2,D,0
26.1396,32.5335,304.3,1.1,1,2024-01-24,0753,Terra,MODIS,42,61.03,289.4,5.9,D,0
29.0188,31.1982,308.3,1.2,1.1,2024-01-25,1149,Aqua,MODIS,44,61.03,293.6,5,D,0
31.0279,29.7603,301.2,1,1,2024-01-27,0815,Terra,MODIS,43,61.03,289.3,4.2,D,2
29.6881,32.3157,312.5,1,1,2024-01-27,1134,Aqua,MODIS,54,61.03,297.7,6.9,D,2
29.6943,32.3214,306.8,1,1,2024-01-29,0758,Terra,MODIS,63,61.03,294.1,4.9,D,2
25.3256,32.511,300.3,1,1,2024-01-29,0759,Terra,MODIS,34,61.03,283.6,4.3,D,0
24.6078,32.9984,312.2,1,1,2024-01-29,0800,Terra,MODIS,43,61.03,296.2,7.3,D,0
25.5305,34.6146,316.3,1.1,1.1,2024-01-29,1117,Aqua,MODIS,60,61.03,302.3,7.7,D,0
26.1138,32.5708,310.9,1.4,1.2,2024-01-29,1117,Aqua,MODIS,31,61.03,293.6,11.5,D,0
26.1114,32.557,314.2,1.4,1.2,2024-01-29,1117,Aqua,MODIS,45,61.03,293.7,15.9,D,0
29.6903,32.3213,303.2,1.1,1.1,2024-01-30,1937,Terra,MODIS,54,61.03,281.9,11,N,2
31.0266,29.756,303.7,1.1,1,2024-02-01,0821,Terra,MODIS,43,61.03,287,7.1,D,2
26.1915,32.1199,305,1.6,1.3,2024-02-01,0822,Terra,MODIS,0,61.03,286.7,13.9,D,0
29.6906,32.3176,309.5,1,1,2024-02-03,0805,Terra,MODIS,69,61.03,294.5,6.4,D,2
29.0191,31.2081,306.1,1,1,2024-02-03,0805,Terra,MODIS,61,61.03,294.2,4.4,D,0
27.9279,34.2965,309.1,1.2,1.1,2024-02-03,0805,Terra,MODIS,58,61.03,296.2,5.3,D,0
26.0968,32.3628,306.6,1,1,2024-02-03,0806,Terra,MODIS,57,61.03,289.6,7.8,D,0
29.685,32.3217,316.2,1,1,2024-02-03,1128,Aqua,MODIS,72,61.03,302.2,8.4,D,2
30.2356,30.2245,318,1.2,1.1,2024-02-03,1129,Aqua,MODIS,74,61.03,295.1,16.3,D,0
31.0048,29.8387,310.8,1.2,1.1,2024-02-03,1129,Aqua,MODIS,70,61.03,290.9,13.4,D,2
26.6338,31.6531,302.5,1.4,1.2,2024-02-05,0748,Terra,MODIS,22,61.03,288.6,7.5,D,0
26.2194,32.1351,316,1.3,1.1,2024-02-05,0748,Terra,MODIS,64,61.03,290.9,18.8,D,0
26.1612,32.1076,311.5,1.3,1.1,2024-02-05,0748,Terra,MODIS,67,61.03,290.3,13.9,D,0
24.863,32.8663,310.1,1.1,1.1,2024-02-05,0749,Terra,MODIS,38,61.03,292.7,7.8,D,2
26.5527,31.8413,332.5,2,1.4,2024-02-05,1112,Aqua,MODIS,74,61.03,297.7,74.3,D,0
29.1785,25.7676,311.5,1,1,2024-02-06,0828,Terra,MODIS,47,61.03,293,7.6,D,0
29.0203,31.203,308.1,1,1,2024-02-08,0811,Terra,MODIS,56,61.03,295.7,4.9,D,0
24.4549,33.3032,318.1,1.4,1.2,2024-02-08,0812,Terra,MODIS,55,61.03,298.6,16.8,D,0
25.6125,32.4839,333,1,1,2024-02-08,1137,Aqua,MODIS,61,61.03,302.7,27.2,D,0
29.6887,32.3201,318.8,1,1,2024-02-08,1138,Aqua,MODIS,68,61.03,304.8,8.9,D,2
31.4784,31.744,310,1,1,2024-02-08,1139,Aqua,MODIS,0,61.03,292.8,6.4,D,2
24.5933,32.959,311.1,1,1,2024-02-10,0755,Terra,MODIS,49,61.03,294.8,7.9,D,0
24.4657,33.0046,313.2,1,1,2024-02-10,0755,Terra,MODIS,59,61.03,295.8,9.7,D,0
24.4292,33.1961,312.5,1,1,2024-02-10,0755,Terra,MODIS,50,61.03,295.6,7.6,D,0
24.4203,33.1946,311.5,1,1,2024-02-10,0755,Terra,MODIS,37,61.03,296.1,6.1,D,0
24.3821,32.9447,321.9,1,1,2024-02-10,0755,Terra,MODIS,75,61.03,295.3,16.9,D,0
24.3807,32.9543,315.1,1,1,2024-02-10,0755,Terra,MODIS,64,61.03,294,10.5,D,0
24.4695,33.2996,322.3,1.2,1.1,2024-02-10,1121,Aqua,MODIS,39,61.03,306.1,13.8,D,0
24.4552,33.0966,333.4,1.2,1.1,2024-02-13,1147,Aqua,MODIS,80,61.03,305,33.8,D,0
24.4535,33.0903,356.5,1.2,1.1,2024-02-13,1147,Aqua,MODIS,98,61.03,306.6,94.3,D,0
24.452,33.0783,319.6,1.2,1.1,2024-02-13,1147,Aqua,MODIS,23,61.03,304,11.1,D,0
24.4537,33.0846,338.2,1.2,1.1,2024-02-13,1147,Aqua,MODIS,85,61.03,306.1,42.4,D,0
30.1431,32.4826,300.5,1.1,1.1,2024-02-13,1916,Terra,MODIS,30,61.03,284.4,7,N,0
24.4003,33.3381,309.8,1.1,1.1,2024-02-13,2354,Aqua,MODIS,78,61.03,284.1,15,N,0
24.477,33.2976,311.1,1.1,1,2024-02-15,0801,Terra,MODIS,17,61.03,297.4,5.2,D,0
24.4754,33.3078,356.3,1.1,1,2024-02-15,0801,Terra,MODIS,98,61.03,297.9,78.7,D,0
24.4736,33.3242,311.6,1.2,1.1,2024-02-16,1937,Terra,MODIS,83,61.03,282.3,19,N,0
26.266,32.0642,300.4,1.1,1,2024-02-16,1938,Terra,MODIS,27,61.03,282.9,7.8,N,0
29.6926,32.3219,301.2,1.2,1.1,2024-02-16,1939,Terra,MODIS,39,61.03,284.1,9.8,N,2
29.65,28.7209,303.4,1,1,2024-02-16,1939,Terra,MODIS,55,61.03,280.5,9.5,N,0
26.0951,32.1325,313.8,1.4,1.2,2024-02-17,0744,Terra,MODIS,68,61.03,292.1,16.9,D,0
26.0895,32.1255,306.2,1.4,1.2,2024-02-17,0744,Terra,MODIS,31,61.03,292.6,8.2,D,0
25.5864,32.5041,307.2,1.3,1.1,2024-02-17,0744,Terra,MODIS,41,61.03,291.8,8.9,D,0
29.6901,32.3209,312.1,1.6,1.2,2024-02-18,0823,Terra,MODIS,66,61.03,297.5,11.8,D,2
26.133,32.1422,309.6,1.9,1.3,2024-02-18,0824,Terra,MODIS,44,61.03,293.2,18.8,D,0
24.4476,33.2054,319.1,2.4,1.5,2024-02-18,0825,Terra,MODIS,70,61.03,295.7,49.5,D,0
24.4439,33.2114,319,2.4,1.5,2024-02-18,0825,Terra,MODIS,71,61.03,295.3,45.7,D,0
