latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.6221,10.9453,315.4,1,1,2024-01-01,1310,Aqua,MODIS,70,61.03,296.9,9.7,D,0
1.9893,11.2613,314,1.6,1.2,2024-01-11,1331,Aqua,MODIS,66,61.03,295.2,16.3,D,0
2.0388,11.1682,310.3,1,1,2024-01-13,1316,Aqua,MODIS,30,61.03,295.8,5.2,D,0
2.0535,11.2381,306.6,1.3,1.1,2024-01-15,1300,Aqua,MODIS,50,61.03,291.6,5.5,D,0
1.9322,11.1022,309.3,1.2,1.1,2024-01-18,1326,Aqua,MODIS,45,61.03,294.7,5.4,D,0
1.6853,11.0224,310.8,1.2,1.1,2024-01-18,1326,Aqua,MODIS,38,61.03,296.1,5.4,D,0
1.7998,10.2317,303.9,1,1,2024-01-18,2112,Terra,MODIS,58,61.03,292.7,4.1,N,0
1.8284,10.1177,306.2,1.1,1.1,2024-01-20,1310,Aqua,MODIS,22,61.03,289.4,4.6,D,0
1.9235,11.0892,315.5,1,1,2024-01-20,1310,Aqua,MODIS,70,61.03,295.8,10.1,D,0
2.0884,11.1482,315.5,1.7,1.3,2024-01-22,1255,Aqua,MODIS,71,61.03,295.5,20.7,D,0
2.1003,11.06,309.9,1.9,1.3,2024-01-23,1336,Aqua,MODIS,31,61.03,293,12.7,D,0
1.1074,10.5876,318.4,1,1,2024-01-25,1320,Aqua,MODIS,73,61.03,295.9,11.8,D,0
1.1087,10.5966,310.1,1,1,2024-01-25,1320,Aqua,MODIS,44,61.03,295.1,4.9,D,0
1.6485,10.317,311,1,1,2024-01-25,1321,Aqua,MODIS,58,61.03,297.2,6.3,D,0
2.1344,11.0608,310,1.1,1,2024-01-25,1321,Aqua,MODIS,54,61.03,295.4,4.8,D,0
2.1331,11.0514,313.5,1.1,1,2024-01-25,1321,Aqua,MODIS,64,61.03,295.6,7.8,D,0
