latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.249,35.5177,315.2,3.3,1.7,2024-01-01,0707,Terra,MODIS,48,61.03,300.1,28.3,D,0
11.8056,36.2129,317.7,2.9,1.6,2024-01-01,0707,Terra,MODIS,64,61.03,300.6,37.6,D,0
11.8025,36.2063,317.2,2.9,1.6,2024-01-01,0707,Terra,MODIS,63,61.03,300.2,36.4,D,0
10.0332,41.6911,323.6,1.1,1.1,2024-01-01,0707,Terra,MODIS,68,61.03,298.7,12,D,0
10.0318,41.7009,338.1,1.1,1.1,2024-01-01,0707,Terra,MODIS,86,61.03,300.1,34.1,D,0
10.5628,37.1556,311.6,2.3,1.5,2024-01-01,0707,Terra,MODIS,43,61.03,295.6,15.2,D,0
10.5602,37.1764,325.5,2.3,1.5,2024-01-01,0707,Terra,MODIS,79,61.03,297.8,59,D,0
10.3069,37.1071,327.9,2.3,1.5,2024-01-01,0707,Terra,MODIS,81,61.03,298.8,61.2,D,0
10.309,37.1,327.2,2.3,1.5,2024-01-01,0707,Terra,MODIS,80,61.03,298.7,58.8,D,0
10.3063,37.1217,315.7,2.3,1.5,2024-01-01,0707,Terra,MODIS,52,61.03,298,20.8,D,0
10.2703,37.0924,313.4,2.3,1.5,2024-01-01,0707,Terra,MODIS,37,61.03,298,14.9,D,0
9.9399,37.4409,321.2,2.2,1.4,2024-01-01,0707,Terra,MODIS,75,61.03,298.4,35.2,D,0
9.9376,37.4599,319.5,2.1,1.4,2024-01-01,0707,Terra,MODIS,73,61.03,297.6,29.2,D,0
10.0351,34.5132,314.6,3.7,1.8,2024-01-01,0707,Terra,MODIS,68,61.03,294.3,60.9,D,0
10.019,34.5122,309.6,3.7,1.8,2024-01-01,0707,Terra,MODIS,37,61.03,294.5,33.2,D,0
10.026,34.5044,322.2,3.7,1.8,2024-01-01,0707,Terra,MODIS,78,61.03,295,102.7,D,0
9.1656,40.0385,315.7,1.3,1.1,2024-01-01,0707,Terra,MODIS,60,61.03,295.3,10.4,D,0
8.7712,39.8519,331.5,1.4,1.2,2024-01-01,0707,Terra,MODIS,83,61.03,300.6,33.1,D,0
8.7736,39.8462,320.2,1.4,1.2,2024-01-01,0707,Terra,MODIS,70,61.03,300.7,14.1,D,0
8.7719,39.8582,320.1,1.4,1.2,2024-01-01,0707,Terra,MODIS,70,61.03,299.2,14.4,D,0
8.7973,39.5992,319.6,1.4,1.2,2024-01-01,0707,Terra,MODIS,64,61.03,293.8,15.8,D,0
8.543,41.3508,316.8,1.1,1.1,2024-01-01,0707,Terra,MODIS,57,61.03,301.7,7.7,D,0
8.5351,41.3394,314.7,1.1,1.1,2024-01-01,0707,Terra,MODIS,29,61.03,301.5,5.6,D,0
8.5337,41.3497,328.7,1.1,1.1,2024-01-01,0707,Terra,MODIS,79,61.03,304.1,22,D,0
12.2467,35.5234,317.9,3.3,1.7,2024-01-01,0707,Terra,MODIS,64,61.03,300.6,42.6,D,0
12.2315,35.5218,327,3.3,1.7,2024-01-01,0707,Terra,MODIS,78,61.03,302.3,92.2,D,0
12.2337,35.5161,326.7,3.3,1.7,2024-01-01,0707,Terra,MODIS,78,61.03,301.9,91.5,D,0
8.3643,41.4989,318.8,1.1,1,2024-01-01,0708,Terra,MODIS,63,61.03,300.5,9.6,D,0
8.2483,37.5044,313.9,2,1.4,2024-01-01,0708,Terra,MODIS,52,61.03,296.1,14,D,0
7.2635,39.3844,313.1,1.4,1.2,2024-01-01,0708,Terra,MODIS,57,61.03,297,7.1,D,0
9.103,34.3143,314.8,1,1,2024-01-01,1133,Aqua,MODIS,57,61.03,299.3,7.5,D,0
9.1044,34.3234,312.2,1,1,2024-01-01,1133,Aqua,MODIS,16,61.03,299.5,5,D,0
9.0879,34.3352,317.1,1,1,2024-01-01,1133,Aqua,MODIS,64,61.03,298.3,9.1,D,0
9.4609,36.9404,343.5,1.1,1,2024-01-01,1133,Aqua,MODIS,91,61.03,299.1,49.7,D,0
