latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.9673,-1.3461,305.5,1.3,1.1,2024-01-01,0224,Aqua,MODIS,57,61.03,291.6,10.7,N,0
10.9697,-1.3523,308.5,1.3,1.1,2024-01-01,0224,Aqua,MODIS,65,61.03,290.9,13.4,N,0
10.273,-0.4283,302,1.6,1.2,2024-01-01,0224,Aqua,MODIS,46,61.03,290.8,10.3,N,0
10.9693,-1.358,303.9,1.3,1.1,2024-01-01,0224,Aqua,MODIS,44,61.03,289.9,9.5,N,0
10.121,-0.4221,321.7,1.6,1.2,2024-01-01,0225,Aqua,MODIS,100,61.03,288.4,41,N,0
9.8363,-0.6449,300.2,1.5,1.2,2024-01-01,0225,Aqua,MODIS,22,61.03,287.8,9.2,N,0
8.4914,-1.7052,303.4,1.4,1.2,2024-01-01,0225,Aqua,MODIS,55,61.03,293.2,9.5,N,0
8.2984,-2.4297,308.3,1.2,1.1,2024-01-01,0225,Aqua,MODIS,74,61.03,292.5,11.7,N,0
10.1319,-0.4203,313.3,1.6,1.2,2024-01-01,0225,Aqua,MODIS,87,61.03,288.8,26.6,N,0
10.6273,-1.4484,324.9,1.5,1.2,2024-01-01,1024,Terra,MODIS,69,61.03,309.7,16.4,D,0
10.3795,0.2061,319.2,2,1.4,2024-01-01,1024,Terra,MODIS,59,61.03,306.3,16.7,D,0
10.7623,-1.6917,339.9,1.4,1.2,2024-01-01,1024,Terra,MODIS,87,61.03,310.3,49.5,D,0
10.7642,-1.7043,342,1.4,1.2,2024-01-01,1024,Terra,MODIS,89,61.03,310.1,56,D,0
10.7602,-1.6992,342.8,1.4,1.2,2024-01-01,1024,Terra,MODIS,89,61.03,310.2,59,D,0
10.7706,-1.6975,340,1.4,1.2,2024-01-01,1024,Terra,MODIS,87,61.03,310.2,51.2,D,0
10.7925,-1.8346,321,1.4,1.2,2024-01-01,1024,Terra,MODIS,55,61.03,306.5,12,D,0
10.8335,-2.0273,325,1.3,1.1,2024-01-01,1024,Terra,MODIS,69,61.03,308.8,17.8,D,0
10.9684,-1.9004,348.6,1.4,1.2,2024-01-01,1024,Terra,MODIS,93,61.03,310.2,74,D,0
10.9781,-1.9054,325.3,1.4,1.2,2024-01-01,1024,Terra,MODIS,71,61.03,308.5,17.1,D,0
9.3176,-2.3073,324.7,1.4,1.2,2024-01-01,1024,Terra,MODIS,72,61.03,308.8,16.5,D,0
9.1869,-0.8232,327,1.7,1.3,2024-01-01,1024,Terra,MODIS,77,61.03,304.9,33.5,D,0
9.3138,-1.3244,323.3,1.6,1.2,2024-01-01,1024,Terra,MODIS,70,61.03,305.6,18.2,D,0
9.3946,-1.4823,320.4,1.5,1.2,2024-01-01,1024,Terra,MODIS,64,61.03,304.9,17.9,D,0
