latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.6052,-15.1489,315.5,1,1,2024-01-01,1453,Aqua,MODIS,72,61.03,278.7,12.9,D,0
16.6065,-15.1395,317.2,1,1,2024-01-01,1453,Aqua,MODIS,77,61.03,279.7,14.2,D,0
16.6348,-15.8066,338.8,1.4,1.2,2024-01-03,1438,Aqua,MODIS,83,61.03,315.7,39.9,D,0
16.8378,-15.3267,328.1,1.3,1.1,2024-01-03,1438,Aqua,MODIS,62,61.03,315.3,13.2,D,0
16.6327,-15.8192,326.5,1.4,1.2,2024-01-03,1438,Aqua,MODIS,56,61.03,314,13.1,D,0
16.5819,-15.568,316.1,1.8,1.3,2024-01-04,1047,Terra,MODIS,43,61.03,303.2,14.1,D,0
16.5862,-16.3275,326,2,1.4,2024-01-04,1519,Aqua,MODIS,68,61.03,306.9,42.8,D,0
16.588,-16.3332,323.3,2,1.4,2024-01-04,1519,Aqua,MODIS,45,61.03,306.5,31.3,D,0
16.5944,-15.2626,321.6,1.7,1.3,2024-01-05,1127,Terra,MODIS,62,61.03,308.2,19.9,D,0
16.7041,-15.1648,328.9,1.8,1.3,2024-01-05,1127,Terra,MODIS,76,61.03,309.5,36.3,D,0
16.4943,-16.0405,317.8,1.5,1.2,2024-01-05,1127,Terra,MODIS,0,61.03,307.7,10.4,D,0
16.5888,-16.1175,339.6,1.5,1.2,2024-01-05,1127,Terra,MODIS,87,61.03,311.8,55.7,D,0
16.5911,-16.1311,341.5,1.5,1.2,2024-01-05,1127,Terra,MODIS,89,61.03,309.8,61.7,D,0
16.4985,-16.0537,327.7,1.2,1.1,2024-01-06,1503,Aqua,MODIS,37,61.03,314.8,14.1,D,0
16.5494,-15.7062,318.3,1,1,2024-01-07,1110,Terra,MODIS,49,61.03,306.4,7.1,D,0
16.5639,-16.3383,316.9,4.1,1.9,2024-01-08,1150,Terra,MODIS,63,61.03,304.5,50.7,D,0
16.5689,-16.3468,378.2,1.1,1,2024-01-08,1448,Aqua,MODIS,94,61.03,315.4,150.9,D,0
16.6522,-14.9249,318,1.2,1.1,2024-01-09,1053,Terra,MODIS,11,61.03,302.1,13.1,D,0
16.649,-15.2354,321.2,2.4,1.5,2024-01-10,1134,Terra,MODIS,61,61.03,309.9,26.3,D,0
16.6759,-15.2147,331.2,2,1.4,2024-01-11,1514,Aqua,MODIS,73,61.03,316.2,33,D,0
16.507,-16.3232,325,1.1,1,2024-01-12,1117,Terra,MODIS,74,61.03,305.3,16.1,D,0
16.5055,-16.3135,319.6,1.1,1,2024-01-12,1117,Terra,MODIS,65,61.03,305.9,9.8,D,0
15.3985,-10.041,345.3,2.1,1.4,2024-01-13,1019,Terra,MODIS,92,61.03,305.4,132.1,D,0
15.3974,-10.0482,347.7,2.1,1.4,2024-01-13,1019,Terra,MODIS,93,61.03,305.7,147,D,0
15.3951,-10.0287,333.3,2.1,1.4,2024-01-13,1019,Terra,MODIS,84,61.03,304.4,71.7,D,0
15.4007,-10.0606,337.3,2.1,1.4,2024-01-13,1019,Terra,MODIS,87,61.03,303.8,89.2,D,0
15.3998,-10.0677,331.2,2.1,1.4,2024-01-13,1019,Terra,MODIS,82,61.03,303,64.2,D,0
15.3573,-12.0425,330.8,1.6,1.3,2024-01-13,1458,Aqua,MODIS,71,61.03,314.5,25.8,D,0
15.3554,-12.0575,332.3,1.6,1.3,2024-01-13,1458,Aqua,MODIS,74,61.03,314.7,29.5,D,0
