latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-20.1652,57.5129,312.1,2,1.4,2024-06-06,1056,Aqua,MODIS,53,61.03,298.7,21.4,D,2
-20.1589,57.524,310.9,2,1.4,2024-06-06,1056,Aqua,MODIS,42,61.03,297.6,19,D,2
-20.1743,57.4933,312.6,1,1,2024-07-04,1809,Terra,MODIS,79,61.03,291.9,11.8,N,2
-20.1757,57.4839,329.4,1,1,2024-07-04,1809,Terra,MODIS,100,61.03,292.6,28.7,N,2
-20.2362,57.4465,318.7,1.2,1.1,2024-08-10,1048,Aqua,MODIS,66,61.03,300.8,12.8,D,0
-20.238,57.4353,315.3,1.2,1.1,2024-08-10,1048,Aqua,MODIS,43,61.03,301.1,8.9,D,0
-20.1052,57.5348,312.4,1.2,1.1,2024-08-27,1048,Aqua,MODIS,34,61.03,299.2,8.8,D,0
-20.4432,57.6892,312.4,1.6,1.2,2024-09-03,0558,Terra,MODIS,37,61.03,296.7,13.4,D,0
-20.4795,57.6514,315.9,1.4,1.2,2024-09-07,0522,Terra,MODIS,0,61.03,297.9,14,D,0
-20.3405,57.4565,310.6,1.4,1.2,2024-09-10,1024,Aqua,MODIS,27,61.03,296.3,8.6,D,0
-20.1181,57.5343,316,1.3,1.1,2024-09-10,1024,Aqua,MODIS,43,61.03,301.4,9.8,D,0
-20.1079,57.5328,317.4,1.3,1.1,2024-09-10,1024,Aqua,MODIS,44,61.03,301.2,11.7,D,0
-20.2073,57.4311,326.8,1,1,2024-09-27,0539,Terra,MODIS,60,61.03,298.2,18,D,0
-20.2087,57.4405,332.6,1,1,2024-09-27,0539,Terra,MODIS,64,61.03,298.5,25.6,D,0
-20.0785,57.5729,314.3,1.9,1.3,2024-09-30,0601,Terra,MODIS,56,61.03,294.6,17.7,D,0
-20.2422,57.4367,327.9,1,1,2024-09-30,1043,Aqua,MODIS,37,61.03,300.1,19.4,D,0
-20.0964,57.5458,341.7,1,1,2024-09-30,1043,Aqua,MODIS,91,61.03,297.1,40.7,D,0
-20.0875,57.5443,325.9,1,1,2024-09-30,1043,Aqua,MODIS,79,61.03,300.6,17.6,D,0
-20.1203,57.5447,313.9,1.1,1,2024-10-05,1047,Aqua,MODIS,48,61.03,300.2,4.4,D,0
-20.2219,57.434,322.7,1.1,1.1,2024-10-10,1051,Aqua,MODIS,67,61.03,303,12.2,D,0
-20.2236,57.4233,325,1.1,1.1,2024-10-10,1051,Aqua,MODIS,75,61.03,300.8,15.3,D,0
-20.267,57.7215,312.1,1,1,2024-10-22,1041,Aqua,MODIS,47,61.03,294,8.3,D,0
-20.0035,57.6102,321.5,1,1,2024-10-24,0540,Terra,MODIS,74,61.03,298.1,12.5,D,0
-20.0048,57.6198,328.6,1,1,2024-10-24,0540,Terra,MODIS,82,61.03,300.5,20.8,D,0
-20.2365,57.6625,314.9,1.4,1.2,2024-10-29,1026,Aqua,MODIS,42,61.03,299.9,9.8,D,0
-20.1839,57.5396,325.4,1.4,1.2,2024-11-08,0550,Terra,MODIS,79,61.03,295.8,28.8,D,0
-20.1537,57.6852,315.2,1.2,1.1,2024-11-08,1032,Aqua,MODIS,60,61.03,301.6,10.8,D,0
-20.4727,57.6067,324.8,1,1,2024-11-10,0532,Terra,MODIS,78,61.03,296.8,17.1,D,0
-20.095,57.657,321,1.2,1.1,2024-11-16,1056,Aqua,MODIS,69,61.03,304.7,10,D,0
-20.4909,57.5367,322.7,1.1,1,2024-11-18,1037,Aqua,MODIS,51,61.03,299.6,17.5,D,0
-20.4923,57.5264,314.6,1.1,1,2024-11-18,1037,Aqua,MODIS,28,61.03,296.5,9.8,D,0
-20.1889,57.7567,326.4,1.1,1,2024-11-18,1806,Terra,MODIS,100,61.03,290.9,28.2,N,0
-20.0783,57.5855,324.1,1,1,2024-12-23,1051,Aqua,MODIS,51,61.03,304.3,9.7,D,0
-20.0945,57.5391,325.8,1,1,2024-12-23,1051,Aqua,MODIS,76,61.03,305.5,11.5,D,0
-20.0797,57.5759,338,1,1,2024-12-23,1051,Aqua,MODIS,89,61.03,306.4,27.7,D,0
-20.1224,57.5835,321.9,1.4,1.2,2024-12-25,1032,Aqua,MODIS,45,61.03,305.4,11.3,D,0
-20.1241,57.5704,322.7,1.4,1.2,2024-12-25,1032,Aqua,MODIS,52,61.03,305.5,12.6,D,0
