latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.9855,16.8939,327.4,1.6,1.2,2024-01-01,0854,Terra,MODIS,52,61.03,310.5,12.4,D,2
-23.4959,18.7627,373.9,1,1,2024-01-01,1303,Aqua,MODIS,100,61.03,330.6,101.8,D,0
-23.904,18.9377,319.2,1.1,1,2024-01-01,2102,Terra,MODIS,98,61.03,297.8,16.6,N,0
-23.4882,18.7651,306.9,1.1,1,2024-01-01,2102,Terra,MODIS,70,61.03,296.2,6.2,N,0
-17.7234,24.979,328.6,1.2,1.1,2024-01-07,1218,Aqua,MODIS,42,61.03,308,10,D,0
-22.4897,18.591,319.8,1.4,1.2,2024-01-08,0844,Terra,MODIS,63,61.03,300.2,11.3,D,0
-21.1633,17.2348,331.7,1.1,1,2024-01-10,0827,Terra,MODIS,80,61.03,308.4,14.8,D,0
-20.4974,16.4108,314.8,1,1,2024-01-15,0833,Terra,MODIS,27,61.03,284.2,6.1,D,0
-21.5537,17.6375,318.6,1,1,2024-01-15,0833,Terra,MODIS,39,61.03,295.3,6.8,D,0
-21.5448,17.639,321.9,1,1,2024-01-15,0833,Terra,MODIS,66,61.03,296.3,9.9,D,0
-24.662,17.9334,342,2.5,1.5,2024-01-16,1334,Aqua,MODIS,83,61.03,317.6,62.4,D,0
-24.6617,17.918,310.6,1.8,1.3,2024-01-16,2122,Terra,MODIS,81,61.03,297,19,N,0
-24.6584,17.9359,316.3,1.8,1.3,2024-01-16,2122,Terra,MODIS,93,61.03,296.5,30.5,N,0
-24.6596,17.9334,311.6,1,1,2024-01-17,0030,Aqua,MODIS,83,61.03,293.6,10.4,N,0
-24.6612,17.9432,303.2,1,1,2024-01-17,0030,Aqua,MODIS,48,61.03,292.9,5.1,N,0
-21.559,17.6455,323.1,2.1,1.4,2024-01-18,0857,Terra,MODIS,67,61.03,307.2,18,D,0
-23.4984,18.7742,326.8,2.7,1.6,2024-01-18,0857,Terra,MODIS,63,61.03,312.8,31.1,D,0
-17.758,25.0608,321.2,3.8,1.8,2024-01-23,1152,Aqua,MODIS,43,61.03,303,61.4,D,0
-17.75,25.0527,322.4,3.8,1.8,2024-01-23,1152,Aqua,MODIS,61,61.03,301.9,67.2,D,0
-17.7613,25.0257,320,3.8,1.8,2024-01-23,1152,Aqua,MODIS,44,61.03,303.8,46.4,D,0
-17.5878,24.9693,335.6,1,1,2024-01-24,1234,Aqua,MODIS,84,61.03,311.5,19.2,D,0
-17.5864,24.9787,348.7,1,1,2024-01-24,1234,Aqua,MODIS,81,61.03,309.4,43.1,D,0
-17.5967,24.8169,302.6,1.2,1.1,2024-01-24,2016,Terra,MODIS,50,61.03,290.2,7,N,0
-19.2205,17.7239,304.2,1,1,2024-01-25,2056,Terra,MODIS,59,61.03,293.6,4.8,N,0
-17.779,25.1226,327.1,1.3,1.1,2024-01-26,1218,Aqua,MODIS,42,61.03,309.1,13.1,D,0
-21.7045,20.5332,341.8,1.1,1,2024-01-27,1258,Aqua,MODIS,72,61.03,312.2,27.5,D,0
-21.7137,20.5348,346,1.1,1,2024-01-27,1258,Aqua,MODIS,83,61.03,318.9,37,D,0
-21.7121,20.545,337.5,1.1,1,2024-01-27,1258,Aqua,MODIS,52,61.03,312.9,20,D,0
-21.7029,20.5433,339.7,1.1,1,2024-01-27,1258,Aqua,MODIS,71,61.03,312.2,23.5,D,0
-17.5872,24.9069,335.9,2.3,1.5,2024-01-27,1259,Aqua,MODIS,82,61.03,312,69.5,D,0
-21.8064,14.7074,332.6,1.4,1.2,2024-01-27,1259,Aqua,MODIS,85,61.03,309.3,17.5,D,0
-21.817,14.7091,338.6,1.4,1.2,2024-01-27,1259,Aqua,MODIS,89,61.03,310.3,32.4,D,0
-21.813,14.7011,346.5,1.4,1.2,2024-01-27,1259,Aqua,MODIS,93,61.03,310.3,55.7,D,0
-21.8113,14.7149,337.6,1.4,1.2,2024-01-27,1259,Aqua,MODIS,88,61.03,310,28.7,D,0
-17.5828,24.9111,332.2,2.3,1.5,2024-01-27,1259,Aqua,MODIS,77,61.03,311.5,51,D,0
-17.6339,24.8482,323.4,2.5,1.5,2024-01-28,1203,Aqua,MODIS,59,61.03,305.4,21.8,D,0
-17.6295,24.8288,325.3,2.5,1.5,2024-01-28,1203,Aqua,MODIS,71,61.03,304.8,29.6,D,0
-17.7192,25.0561,343.8,1.1,1,2024-02-05,1238,Aqua,MODIS,80,61.03,312.8,30.2,D,0
-21.863,17.6699,323.7,1.2,1.1,2024-02-06,0842,Terra,MODIS,74,61.03,298.4,18.3,D,0
-21.864,17.6633,318.7,1.2,1.1,2024-02-06,0842,Terra,MODIS,65,61.03,298,11.4,D,0
-17.6645,25.0186,331.2,1,1,2024-02-10,0807,Terra,MODIS,66,61.03,307.4,12.9,D,0
-18.723,15.5646,330.3,1.8,1.3,2024-02-10,1248,Aqua,MODIS,0,61.03,304.5,25.1,D,0
-18.7111,15.563,333.5,1.8,1.3,2024-02-10,1248,Aqua,MODIS,67,61.03,307.1,34.4,D,0
-17.6241,24.9459,319,4.2,1.9,2024-02-11,1151,Aqua,MODIS,30,61.03,292.3,63.9,D,0
-17.6236,24.845,339.8,1,1,2024-02-12,1232,Aqua,MODIS,76,61.03,310.1,24.3,D,0
-17.6223,24.8543,335.5,1,1,2024-02-12,1232,Aqua,MODIS,59,61.03,309.7,17.4,D,0
-19.1981,17.7257,343.3,1,1,2024-02-13,0831,Terra,MODIS,90,61.03,308.9,35.4,D,0
-23.4915,18.7688,345.2,1.1,1,2024-02-13,0832,Terra,MODIS,89,61.03,312.3,37.4,D,0
-23.4856,18.7756,328.3,1.1,1,2024-02-13,0832,Terra,MODIS,64,61.03,310,8.3,D,0
-23.4842,18.7652,334,1.1,1,2024-02-13,0832,Terra,MODIS,76,61.03,311,16.6,D,0
-17.5919,24.7428,334.3,1.5,1.2,2024-02-14,1217,Aqua,MODIS,78,61.03,318.8,20.4,D,0
-17.5936,24.7293,338.9,1.5,1.2,2024-02-14,1217,Aqua,MODIS,84,61.03,318.6,32.7,D,0
-17.5859,24.925,336.6,1.4,1.2,2024-02-14,1217,Aqua,MODIS,48,61.03,318.6,19.7,D,0
-17.7172,25.0285,335.5,1.4,1.2,2024-02-14,1217,Aqua,MODIS,72,61.03,316.5,18.5,D,0
-17.7343,24.9777,353.6,1.4,1.2,2024-02-14,1217,Aqua,MODIS,96,61.03,320.7,71.7,D,0
-22.6276,17.081,327.2,1.2,1.1,2024-02-15,1257,Aqua,MODIS,16,61.03,309.3,8.1,D,0
-21.521,17.8216,332.5,1.1,1,2024-02-15,1257,Aqua,MODIS,61,61.03,315.1,13.4,D,0
-17.7589,25.0127,337.5,2.1,1.4,2024-02-15,1258,Aqua,MODIS,58,61.03,319.3,36.4,D,0
-17.5845,24.8852,336.8,2.1,1.4,2024-02-15,1258,Aqua,MODIS,70,61.03,316.9,41.2,D,0
-17.6986,25.0429,331,2.7,1.6,2024-02-16,1201,Aqua,MODIS,43,61.03,311.6,48.3,D,0
-19.2356,17.7043,331,3.3,1.7,2024-02-16,1339,Aqua,MODIS,69,61.03,313,76.9,D,2
-21.694,18.1637,345.2,1.7,1.3,2024-02-17,1241,Aqua,MODIS,88,61.03,319.5,72.5,D,0
-21.6921,18.1801,331.6,1.7,1.3,2024-02-17,1241,Aqua,MODIS,63,61.03,316.6,24.7,D,0
-17.7513,25.0314,342.4,1.2,1.1,2024-02-17,1242,Aqua,MODIS,48,61.03,318.5,24.1,D,0
-17.6155,24.8697,336.7,1.1,1.1,2024-02-17,1242,Aqua,MODIS,32,61.03,313.4,20,D,0
-21.5133,16.5836,327.1,1,1,2024-02-18,0838,Terra,MODIS,73,61.03,305.6,11.7,D,0
-17.6746,25.0482,356.6,1.1,1,2024-02-19,1226,Aqua,MODIS,86,61.03,320.5,57.5,D,0
-17.7988,24.8088,337,1.1,1,2024-02-19,1226,Aqua,MODIS,77,61.03,314.6,17.6,D,0
-17.7494,24.9643,354.8,1.1,1,2024-02-19,1226,Aqua,MODIS,93,61.03,322.6,51.7,D,0
-17.5944,24.959,357.6,1.1,1,2024-02-19,1227,Aqua,MODIS,93,61.03,320.8,56.9,D,0
-17.6114,24.9716,343.3,1.1,1,2024-02-19,1227,Aqua,MODIS,49,61.03,320.7,21.3,D,0
