latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.338,2.4091,318.1,2.7,1.6,2024-01-01,1023,Terra,MODIS,59,61.03,303.8,26.2,D,0
12.3517,2.3942,316.5,2.4,1.5,2024-01-02,0926,Terra,MODIS,62,61.03,297.7,26.7,D,0
12.3525,2.4102,321.8,2.4,1.5,2024-01-02,0926,Terra,MODIS,73,61.03,298,46,D,0
12.3492,2.4158,317.7,2.4,1.5,2024-01-02,0926,Terra,MODIS,65,61.03,298.3,30.8,D,0
12.2319,2.2682,329.7,1.2,1.1,2024-01-02,1354,Aqua,MODIS,70,61.03,312.2,15.8,D,0
12.3533,2.406,326.3,1.3,1.1,2024-01-02,1355,Aqua,MODIS,47,61.03,310.3,12.2,D,0
12.3298,2.0728,330.1,1.2,1.1,2024-01-02,1355,Aqua,MODIS,72,61.03,312.6,15.9,D,0
12.327,2.0677,330.8,1.2,1.1,2024-01-02,1355,Aqua,MODIS,73,61.03,311.9,17.1,D,0
12.3517,2.3946,326.1,1.3,1.1,2024-01-02,1355,Aqua,MODIS,53,61.03,310.1,12.8,D,0
14.7142,2.1636,318.6,1.2,1.1,2024-01-03,1006,Terra,MODIS,53,61.03,306.7,6.9,D,0
12.3593,2.3654,326.6,1.3,1.1,2024-01-03,1007,Terra,MODIS,66,61.03,306.8,18.3,D,0
12.3575,2.3771,333.4,1.3,1.1,2024-01-03,1007,Terra,MODIS,82,61.03,307.2,31.6,D,0
12.8488,1.3373,327.4,1.1,1,2024-01-04,1339,Aqua,MODIS,61,61.03,311.9,10.3,D,0
13.1966,6.7817,324.7,1.4,1.2,2024-01-04,1339,Aqua,MODIS,46,61.03,314.4,9.9,D,0
12.3777,2.3822,323.7,1,1,2024-01-04,1339,Aqua,MODIS,41,61.03,309.3,5.8,D,0
15.0462,1.7107,330.7,1,1,2024-01-04,1340,Aqua,MODIS,72,61.03,315,13.7,D,0
12.2593,2.2593,327.6,1,1,2024-01-05,0950,Terra,MODIS,75,61.03,310.3,15.2,D,0
12.3908,2.3751,334.6,1,1,2024-01-05,0950,Terra,MODIS,83,61.03,307.8,24,D,0
12.249,2.2672,360.2,1,1,2024-01-05,0950,Terra,MODIS,100,61.03,309.6,76.6,D,0
12.2503,2.258,389.3,1,1,2024-01-05,0950,Terra,MODIS,100,61.03,314.2,189.9,D,0
12.258,2.2685,324.3,1,1,2024-01-05,0950,Terra,MODIS,69,61.03,309.3,10.7,D,0
12.3895,2.3843,346,1,1,2024-01-05,0950,Terra,MODIS,92,61.03,309.9,43.7,D,0
12.7493,3.2482,336,1.4,1.2,2024-01-06,1324,Aqua,MODIS,85,61.03,314,33.9,D,0
12.9988,7.0248,332.5,1,1,2024-01-06,1324,Aqua,MODIS,74,61.03,316.6,14.5,D,0
12.5173,2.4504,319.2,1.7,1.3,2024-01-08,1013,Terra,MODIS,56,61.03,306.5,14.4,D,0
12.857,2.1905,330.4,1.1,1,2024-01-09,1350,Aqua,MODIS,65,61.03,317.8,12,D,0
14.6722,1.2745,331.4,1,1,2024-01-09,1350,Aqua,MODIS,73,61.03,315.2,13.2,D,0
14.6709,1.265,335.1,1,1,2024-01-09,1350,Aqua,MODIS,79,61.03,316.4,18.1,D,0
14.6682,1.2462,332.2,1,1,2024-01-09,1350,Aqua,MODIS,63,61.03,316.3,14.1,D,0
15.4304,5.5373,310.9,1.6,1.3,2024-01-09,2143,Terra,MODIS,81,61.03,290,22.7,N,0
12.8672,1.3532,318.6,1,1,2024-01-10,0956,Terra,MODIS,35,61.03,307.4,5.3,D,0
14.7098,2.3264,338.9,1.1,1,2024-01-11,1335,Aqua,MODIS,84,61.03,316.8,27.8,D,0
14.7083,2.3166,334.8,1.1,1,2024-01-11,1335,Aqua,MODIS,78,61.03,316.4,20.2,D,0
12.4289,2.4827,327.2,1.3,1.1,2024-01-12,0939,Terra,MODIS,75,61.03,306.7,22.2,D,0
12.4305,2.471,370.4,1.3,1.1,2024-01-12,0939,Terra,MODIS,100,61.03,309.4,161.2,D,0
12.4406,2.4723,327.6,1.3,1.1,2024-01-12,0939,Terra,MODIS,76,61.03,306.6,23.4,D,0
12.439,2.484,327.8,1.3,1.1,2024-01-12,0939,Terra,MODIS,76,61.03,307.1,23.8,D,0
12.4321,2.4592,322.1,1.3,1.1,2024-01-12,0939,Terra,MODIS,67,61.03,304.8,14.7,D,0
