latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.1643,-12.0107,303.3,2.8,1.6,2024-01-01,0224,Aqua,MODIS,54,61.03,291.1,29.7,N,0
12.9901,-12.9691,328.5,2.9,1.6,2024-01-01,1024,Terra,MODIS,81,61.03,300.3,98.6,D,0
13.0869,-15.1884,309.4,4.3,1.9,2024-01-01,1024,Terra,MODIS,39,61.03,292,34.9,D,0
12.9931,-12.9953,313.4,2.9,1.6,2024-01-01,1024,Terra,MODIS,43,61.03,299.8,28,D,0
12.5624,-12.7857,317.6,2.8,1.6,2024-01-01,1024,Terra,MODIS,69,61.03,301.6,37.2,D,0
12.558,-12.793,315.1,2.8,1.6,2024-01-01,1024,Terra,MODIS,64,61.03,301.9,27.5,D,0
12.5445,-11.7163,314.1,2.3,1.5,2024-01-01,1024,Terra,MODIS,49,61.03,302.8,16.7,D,0
12.5548,-11.7223,324.8,1.3,1.1,2024-01-01,1452,Aqua,MODIS,44,61.03,311.6,10.4,D,0
12.5839,-11.5803,325.7,1.3,1.1,2024-01-01,1452,Aqua,MODIS,67,61.03,311.1,14.3,D,0
12.5337,-12.1057,333.3,1.2,1.1,2024-01-01,1452,Aqua,MODIS,80,61.03,308,25.8,D,0
12.5322,-12.1169,325.7,1.2,1.1,2024-01-01,1452,Aqua,MODIS,64,61.03,307.9,12.9,D,0
12.6412,-11.533,328.7,1.3,1.2,2024-01-01,1452,Aqua,MODIS,70,61.03,311.1,20.3,D,0
12.719,-11.4182,329.8,1.4,1.2,2024-01-01,1452,Aqua,MODIS,74,61.03,311.5,20.9,D,0
12.6168,-12.2486,325.8,1.2,1.1,2024-01-01,1452,Aqua,MODIS,69,61.03,309.4,10.5,D,0
12.553,-12.7823,322.5,1.1,1.1,2024-01-01,1452,Aqua,MODIS,64,61.03,302.4,10,D,0
12.5582,-12.7781,318.1,1.1,1.1,2024-01-01,1452,Aqua,MODIS,30,61.03,300.5,5,D,0
12.5568,-12.7885,325.4,1.1,1.1,2024-01-01,1452,Aqua,MODIS,71,61.03,300.3,14.4,D,0
12.6471,-12.2586,326.1,1.2,1.1,2024-01-01,1452,Aqua,MODIS,70,61.03,310.5,12.5,D,0
12.6081,-12.5502,334.4,1.2,1.1,2024-01-01,1452,Aqua,MODIS,82,61.03,302.6,27.8,D,0
12.6067,-12.5609,333.4,1.2,1.1,2024-01-01,1452,Aqua,MODIS,81,61.03,303.6,26.4,D,0
12.6163,-12.5622,351.1,1.2,1.1,2024-01-01,1452,Aqua,MODIS,95,61.03,301.1,67.7,D,0
12.6622,-12.2944,332.9,1.2,1.1,2024-01-01,1452,Aqua,MODIS,80,61.03,308.2,24.2,D,0
12.6508,-12.5238,327.8,1.2,1.1,2024-01-01,1452,Aqua,MODIS,30,61.03,287.6,18.3,D,0
