latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.9809,23.4914,302.8,1.3,1.1,2024-01-01,0045,Aqua,MODIS,51,61.03,288.8,9.2,N,0
11.9771,23.5148,306.2,1.3,1.1,2024-01-01,0045,Aqua,MODIS,67,61.03,288.3,12.3,N,0
11.547,22.8625,303.7,1.2,1.1,2024-01-01,0045,Aqua,MODIS,56,61.03,290.9,8.7,N,0
12.1651,35.1908,318.6,3.5,1.8,2024-01-01,0707,Terra,MODIS,60,61.03,300.8,56.3,D,0
12.1531,35.1575,315.9,3.5,1.8,2024-01-01,0707,Terra,MODIS,46,61.03,299.4,43,D,0
12.1495,35.1891,319.1,3.5,1.8,2024-01-01,0707,Terra,MODIS,65,61.03,301.7,60.2,D,0
12.1636,35.166,321.2,3.5,1.8,2024-01-01,0707,Terra,MODIS,46,61.03,299.3,69.4,D,0
13.1993,22.7848,322.9,1.3,1.1,2024-01-01,0845,Terra,MODIS,68,61.03,306.3,15,D,0
13.1365,24.2139,321,1.6,1.2,2024-01-01,0845,Terra,MODIS,63,61.03,303.4,21.4,D,0
12.4916,28.9308,316.8,3.8,1.8,2024-01-01,0845,Terra,MODIS,42,61.03,304.7,33.4,D,0
12.9022,27.3787,319.6,2.8,1.6,2024-01-01,0845,Terra,MODIS,59,61.03,305.7,36.1,D,0
10.5434,25.109,347.7,2.1,1.4,2024-01-01,0845,Terra,MODIS,93,61.03,306.4,135.4,D,0
10.5404,25.1273,341.1,2.1,1.4,2024-01-01,0845,Terra,MODIS,89,61.03,307.9,102.1,D,0
10.4919,25.1693,322.2,2.1,1.4,2024-01-01,0845,Terra,MODIS,67,61.03,308.5,28.4,D,0
10.7354,23.0493,326.1,1.4,1.2,2024-01-01,0845,Terra,MODIS,73,61.03,311.5,19.9,D,0
10.7334,23.062,324.4,1.4,1.2,2024-01-01,0845,Terra,MODIS,70,61.03,311.5,16.8,D,0
10.725,23.0477,322,1.4,1.2,2024-01-01,0845,Terra,MODIS,23,61.03,310,10.5,D,0
10.6708,23.0522,325.7,1.4,1.2,2024-01-01,0845,Terra,MODIS,72,61.03,309.4,20.1,D,0
10.6688,23.065,321.5,1.4,1.2,2024-01-01,0845,Terra,MODIS,63,61.03,309.8,12.3,D,0
10.4961,23.4945,323.4,1.6,1.2,2024-01-01,0845,Terra,MODIS,54,61.03,310.6,17.1,D,0
9.6579,28.0585,321,3.7,1.8,2024-01-01,0845,Terra,MODIS,67,61.03,302.6,64.9,D,0
9.6522,28.0908,337.1,3.7,1.8,2024-01-01,0845,Terra,MODIS,86,61.03,303.1,204.9,D,0
10.3284,24.0253,323.8,1.7,1.3,2024-01-01,0845,Terra,MODIS,70,61.03,309.7,24.7,D,0
10.3299,24.0192,322.4,1.7,1.3,2024-01-01,0845,Terra,MODIS,55,61.03,308.7,19.8,D,0
9.6588,28.0852,331.3,3.7,1.8,2024-01-01,0845,Terra,MODIS,81,61.03,303,143.7,D,0
9.6431,28.0824,323.5,3.7,1.8,2024-01-01,0845,Terra,MODIS,72,61.03,302.1,86.5,D,0
9.5756,28.0042,327.6,3.7,1.8,2024-01-01,0845,Terra,MODIS,78,61.03,302.3,115.6,D,0
9.5814,28.0002,322.5,3.7,1.8,2024-01-01,0845,Terra,MODIS,70,61.03,302.5,77.4,D,0
9.576,28.0323,314.5,3.7,1.8,2024-01-01,0845,Terra,MODIS,21,61.03,302.3,30.2,D,0
9.6507,26.8502,316.4,3,1.6,2024-01-01,0845,Terra,MODIS,39,61.03,303.8,28,D,0
10.0931,23.9835,340.2,1.7,1.3,2024-01-01,0845,Terra,MODIS,88,61.03,306.6,77.5,D,0
10.0907,23.9988,319.9,1.7,1.3,2024-01-01,0845,Terra,MODIS,44,61.03,305.5,18.4,D,0
10.4783,23.514,326.2,1.6,1.2,2024-01-01,0845,Terra,MODIS,73,61.03,310.2,20.9,D,0
9.8219,29.5007,328.9,4.7,2,2024-01-01,0845,Terra,MODIS,79,61.03,304.8,167.5,D,0
9.8226,29.5061,330.2,4.7,2,2024-01-01,0845,Terra,MODIS,80,61.03,304.7,175.8,D,0
11.6219,23.1484,323.2,1.4,1.2,2024-01-01,0845,Terra,MODIS,66,61.03,309.3,15.8,D,0
11.9701,23.5245,319.6,1.5,1.2,2024-01-01,0845,Terra,MODIS,36,61.03,307.6,10.9,D,0
11.831,29.7521,318.8,4.5,2,2024-01-01,0845,Terra,MODIS,56,61.03,305,60.8,D,0
13.1985,22.7788,330.5,1.3,1.1,2024-01-01,0845,Terra,MODIS,79,61.03,307.2,27.2,D,0
9.4764,24.3017,315.7,1.9,1.3,2024-01-01,0846,Terra,MODIS,49,61.03,304.1,12.5,D,0
9.2785,23.6669,315.7,1.7,1.3,2024-01-01,0846,Terra,MODIS,38,61.03,303.1,12.1,D,0
