latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.8354,1.0786,300.4,2.1,1.4,2024-01-01,0225,Aqua,MODIS,27,61.03,290.4,12.9,N,0
9.0298,0.8848,334.2,2.4,1.5,2024-01-01,1024,Terra,MODIS,85,61.03,296.2,97.3,D,0
9.0264,0.9054,325.8,2.4,1.5,2024-01-01,1024,Terra,MODIS,77,61.03,295.4,60.5,D,0
9.0166,0.8829,338,2.4,1.5,2024-01-01,1024,Terra,MODIS,88,61.03,295.7,120.1,D,0
9.0132,0.9038,318.1,2.4,1.5,2024-01-01,1024,Terra,MODIS,64,61.03,295,34.5,D,0
9.9339,0.9049,324.5,2.3,1.5,2024-01-01,1024,Terra,MODIS,73,61.03,305.5,38.6,D,0
8.5439,0.6395,324.9,2.3,1.5,2024-01-01,1025,Terra,MODIS,76,61.03,293.2,60.4,D,0
8.5419,0.6444,328.5,2.3,1.5,2024-01-01,1025,Terra,MODIS,80,61.03,293,74.9,D,0
9.9399,0.8767,326.4,3.8,1.8,2024-01-01,1313,Aqua,MODIS,73,61.03,300.8,83.8,D,0
9.9378,0.9069,321.6,3.7,1.8,2024-01-01,1313,Aqua,MODIS,63,61.03,300.3,53.5,D,0
9.9319,0.8739,324.7,3.8,1.8,2024-01-01,1313,Aqua,MODIS,70,61.03,301.5,78.1,D,0
8.829,0.8345,317.1,2.8,1.6,2024-01-02,0927,Terra,MODIS,67,61.03,299.4,37.4,D,0
8.8258,0.8609,313.3,2.8,1.6,2024-01-02,0927,Terra,MODIS,51,61.03,297.1,24.6,D,0
8.8222,0.8531,318.1,2.8,1.6,2024-01-02,0927,Terra,MODIS,64,61.03,298,41.8,D,0
8.6919,1.3202,312.7,2.6,1.5,2024-01-02,0927,Terra,MODIS,56,61.03,296.8,22.1,D,0
8.1708,1.1322,324.9,1,1,2024-01-02,1353,Aqua,MODIS,69,61.03,311,8.1,D,0
8.2523,0.799,318.8,1,1,2024-01-02,1353,Aqua,MODIS,44,61.03,302.6,7.5,D,0
6.6694,1.0084,325.1,1,1,2024-01-02,1353,Aqua,MODIS,72,61.03,305,12,D,0
6.7329,0.9444,326.3,1,1,2024-01-02,1353,Aqua,MODIS,74,61.03,305.7,12.5,D,0
6.8328,1.5032,320,1,1,2024-01-02,1353,Aqua,MODIS,39,61.03,300.1,8,D,0
6.8315,1.494,322.3,1,1,2024-01-02,1353,Aqua,MODIS,60,61.03,298.4,10.3,D,0
7.097,1.6119,321.5,1,1,2024-01-02,1353,Aqua,MODIS,60,61.03,303,8.5,D,0
7.0282,0.8126,318.5,1,1,2024-01-02,1353,Aqua,MODIS,49,61.03,303.6,6.1,D,0
7.542,0.7968,326.4,1,1,2024-01-02,1353,Aqua,MODIS,74,61.03,302.7,16.7,D,0
7.7834,1.0004,325.4,1,1,2024-01-02,1353,Aqua,MODIS,71,61.03,305.1,12.7,D,0
7.7923,0.9991,318.7,1,1,2024-01-02,1353,Aqua,MODIS,49,61.03,305.4,6.1,D,0
7.8844,0.7403,318.8,1,1,2024-01-02,1353,Aqua,MODIS,49,61.03,301.3,7.4,D,0
8.1721,1.1414,335,1,1,2024-01-02,1353,Aqua,MODIS,83,61.03,310,21.6,D,0
8.1333,0.8693,318.7,1,1,2024-01-02,1353,Aqua,MODIS,41,61.03,305,7.3,D,0
8.9723,0.4881,321,1,1,2024-01-02,1354,Aqua,MODIS,46,61.03,307,7,D,0
9.0394,1.2122,324.7,1,1,2024-01-02,1354,Aqua,MODIS,66,61.03,306.3,12.6,D,0
9.0381,1.2029,322.6,1,1,2024-01-02,1354,Aqua,MODIS,60,61.03,307.3,10,D,0
9.0493,0.8957,331.8,1,1,2024-01-02,1354,Aqua,MODIS,78,61.03,307.7,17.7,D,0
9.2451,1.1038,320.6,1,1,2024-01-02,1354,Aqua,MODIS,50,61.03,305.6,8,D,0
9.2562,0.7972,323.3,1,1,2024-01-02,1354,Aqua,MODIS,43,61.03,308.9,7.4,D,0
9.27,0.7025,336.2,1,1,2024-01-02,1354,Aqua,MODIS,83,61.03,310.2,23.5,D,0
9.279,0.7011,323,1,1,2024-01-02,1354,Aqua,MODIS,58,61.03,309.7,6.9,D,0
9.3207,0.8556,321.5,1,1,2024-01-02,1354,Aqua,MODIS,47,61.03,308.2,6.3,D,0
9.5652,0.6994,327.3,1,1,2024-01-02,1354,Aqua,MODIS,57,61.03,312.3,10,D,0
9.5754,0.7072,330.6,1,1,2024-01-02,1354,Aqua,MODIS,73,61.03,313.1,13.9,D,0
9.8245,1.2342,329.7,1.1,1,2024-01-02,1354,Aqua,MODIS,71,61.03,313.2,12,D,0
9.9473,0.7305,327.9,1,1,2024-01-02,1354,Aqua,MODIS,51,61.03,313.8,8.3,D,0
10.2216,0.9132,336.5,1,1,2024-01-02,1354,Aqua,MODIS,81,61.03,314.2,20.2,D,0
10.2324,0.5949,333,1,1,2024-01-02,1354,Aqua,MODIS,75,61.03,314.5,14.1,D,0
10.2414,0.5936,327.4,1,1,2024-01-02,1354,Aqua,MODIS,53,61.03,313.4,6.5,D,0
10.4158,0.3327,333.6,1,1,2024-01-02,1354,Aqua,MODIS,75,61.03,313.9,16.8,D,0
10.4145,0.3236,335.1,1,1,2024-01-02,1354,Aqua,MODIS,77,61.03,312.6,18.7,D,0
