latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.7405,10.6238,300.1,1.6,1.2,2024-01-03,1000,Terra,MODIS,25,61.03,286.2,8.1,D,0
35.7823,10.5354,310.4,1.2,1.1,2024-01-31,1243,Aqua,MODIS,66,61.03,294.4,9.1,D,0
35.343,8.5664,314,1,1,2024-02-22,1307,Aqua,MODIS,71,61.03,297.5,8.7,D,0
34.6022,10.5864,301.5,1.1,1.1,2024-04-01,2037,Terra,MODIS,42,61.03,289.3,6.6,N,0
36.5484,10.0754,311.3,1.3,1.1,2024-04-26,1246,Aqua,MODIS,57,61.03,296.1,7.3,D,0
36.5576,10.0863,310.9,1.3,1.1,2024-04-28,0948,Terra,MODIS,61,61.03,295.9,5.9,D,0
36.3032,9.1526,328.5,1,1,2024-06-04,1308,Aqua,MODIS,67,61.03,306.7,11.6,D,0
36.2932,9.1616,334.6,1,1,2024-06-04,1308,Aqua,MODIS,81,61.03,309.2,18.1,D,0
36.7122,10.5741,321,1.2,1.1,2024-06-10,0916,Terra,MODIS,57,61.03,305.6,7.6,D,0
36.9828,9.3725,331.4,1.2,1.1,2024-06-15,0921,Terra,MODIS,77,61.03,306.3,20.8,D,0
36.9812,9.3854,329.2,1.2,1.1,2024-06-15,0921,Terra,MODIS,74,61.03,306,17,D,0
36.6914,10.5159,302.8,1.6,1.3,2024-06-20,0130,Aqua,MODIS,52,61.03,291.6,9,N,0
36.6845,10.5119,325.5,1,1,2024-06-20,0927,Terra,MODIS,62,61.03,309.2,8.4,D,0
36.683,10.5229,324.7,1,1,2024-06-20,0927,Terra,MODIS,59,61.03,308.8,7.6,D,0
36.3596,10.2007,325.2,1.1,1,2024-06-30,0937,Terra,MODIS,52,61.03,309.1,7.8,D,2
34.9888,10.1837,309,1,1,2024-06-30,2038,Terra,MODIS,74,61.03,297.8,6.6,N,0
34.9905,10.1946,307.8,1,1,2024-06-30,2038,Terra,MODIS,69,61.03,297.2,6.1,N,0
36.2016,9.9667,305.4,1.5,1.2,2024-07-02,2021,Terra,MODIS,64,61.03,290.6,11.4,N,0
36.206,9.9305,303.3,1.5,1.2,2024-07-02,2021,Terra,MODIS,54,61.03,290.6,9.2,N,0
35.749,10.1168,316.6,1.3,1.1,2024-07-07,2026,Terra,MODIS,93,61.03,296.9,17.2,N,0
34.0077,8.1378,319.8,1,1,2024-07-10,2048,Terra,MODIS,99,61.03,302.5,12,N,0
37.1951,9.5374,333.6,1.7,1.3,2024-07-12,1244,Aqua,MODIS,78,61.03,316.2,32.4,D,0
36.665,9.5793,310,1.1,1,2024-07-15,0205,Aqua,MODIS,79,61.03,294.5,9.4,N,0
36.6631,9.5908,308.1,1.1,1,2024-07-15,0205,Aqua,MODIS,73,61.03,294.4,7.9,N,2
33.9212,9.6571,317.8,1.1,1,2024-07-17,2035,Terra,MODIS,94,61.03,298.9,14.9,N,0
33.9194,9.6456,312.4,1.1,1,2024-07-17,2035,Terra,MODIS,77,61.03,298.7,9.8,N,0
36.5498,8.9462,306.7,1.2,1.1,2024-07-20,2059,Terra,MODIS,62,61.03,295.5,6.6,N,0
37.1407,9.3602,327.9,4.7,2,2024-07-21,1217,Aqua,MODIS,59,61.03,302.2,124.5,D,0
36.7177,9.4082,316,4.1,1.9,2024-07-23,1019,Terra,MODIS,61,61.03,296.3,41.8,D,0
31.6512,9.1741,306.5,1.1,1,2024-07-27,0203,Aqua,MODIS,68,61.03,295.7,8.2,N,0
36.8225,9.9316,336.2,1,1,2024-07-27,1304,Aqua,MODIS,74,61.03,317.7,15.2,D,2
31.6519,9.1715,312,1,1,2024-07-27,2044,Terra,MODIS,81,61.03,301.4,8.7,N,0
36.9139,9.0067,334.6,2.3,1.5,2024-07-28,1344,Aqua,MODIS,77,61.03,314.8,63.6,D,0
36.9173,9.0109,330.5,2.3,1.5,2024-07-28,1344,Aqua,MODIS,67,61.03,314.2,45,D,0
37.3224,9.6753,340.8,2.6,1.5,2024-07-28,1345,Aqua,MODIS,68,61.03,304.8,122.4,D,0
37.3168,9.6806,339.6,2.6,1.5,2024-07-28,1345,Aqua,MODIS,85,61.03,306.4,117.3,D,0
37.3147,9.652,329.7,2.6,1.5,2024-07-28,1345,Aqua,MODIS,54,61.03,306.5,60.6,D,0
37.3176,9.6851,307.4,4.6,2,2024-07-28,1948,Terra,MODIS,53,61.03,296,56.8,N,0
37.319,9.6799,315.4,4.6,2,2024-07-28,1948,Terra,MODIS,88,61.03,296.2,112.1,N,0
36.3642,8.3886,326.6,1.1,1,2024-07-29,0926,Terra,MODIS,30,61.03,311.4,9.3,D,0
36.3584,8.3693,326,1.1,1,2024-07-29,0926,Terra,MODIS,28,61.03,311.2,8,D,0
36.3671,8.3654,355.4,1.1,1,2024-07-29,0926,Terra,MODIS,97,61.03,309,66.4,D,0
36.3657,8.3767,413.1,1.1,1,2024-07-29,0926,Terra,MODIS,100,61.03,323.2,361.2,D,0
36.9058,9.0109,327.1,1.7,1.3,2024-07-29,1247,Aqua,MODIS,45,61.03,312.7,20.1,D,0
37.3134,9.6909,330.7,2.6,1.6,2024-07-30,1006,Terra,MODIS,79,61.03,304.2,75.2,D,0
37.3195,9.6633,327.3,2.6,1.6,2024-07-30,1006,Terra,MODIS,0,61.03,303.6,61.6,D,0
37.0261,9.2146,339.9,1,1,2024-08-01,1310,Aqua,MODIS,80,61.03,314,22.1,D,0
37.0244,9.2037,339.3,1,1,2024-08-01,1310,Aqua,MODIS,79,61.03,312.6,20.6,D,0
36.6811,8.6378,344.8,1,1,2024-08-01,1310,Aqua,MODIS,83,61.03,319,30.3,D,0
36.8957,9.0249,340,1,1,2024-08-01,1310,Aqua,MODIS,80,61.03,318.4,21.4,D,0
36.894,9.014,350.8,1,1,2024-08-01,1310,Aqua,MODIS,92,61.03,320.2,42,D,0
37.0085,9.2187,374.1,1,1,2024-08-01,1310,Aqua,MODIS,100,61.03,315.9,108.8,D,0
37.0069,9.2078,372.2,1,1,2024-08-01,1310,Aqua,MODIS,100,61.03,311.2,101.5,D,0
37.0189,9.2276,341.5,1,1,2024-08-01,1310,Aqua,MODIS,82,61.03,314.4,24.6,D,0
37.0173,9.2167,501.2,1,1,2024-08-01,1310,Aqua,MODIS,100,61.03,400.1,1615.7,D,0
37.0157,9.2057,505.9,1,1,2024-08-01,1310,Aqua,MODIS,100,61.03,400.1,1728.7,D,0
37.1427,9.417,325.4,3.1,1.7,2024-08-02,1351,Aqua,MODIS,72,61.03,310.9,37.3,D,0
31.6506,9.1716,309.6,1,1,2024-08-03,0153,Aqua,MODIS,78,61.03,298.7,8.9,N,0
36.5218,8.959,326.3,1.5,1.2,2024-08-03,1253,Aqua,MODIS,62,61.03,306.7,11.2,D,0
31.647,9.1736,305.1,1,1,2024-08-08,0159,Aqua,MODIS,63,61.03,293.8,7.7,N,0
37.0227,9.2358,405.5,1.2,1.1,2024-08-08,1300,Aqua,MODIS,100,61.03,320.2,338.9,D,0
