latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-18.3691,26.4794,317.8,1,1,2024-01-07,0802,Terra,MODIS,56,61.03,301.3,6.9,D,2
-18.8253,32.6628,319.6,1,1,2024-01-09,1202,Aqua,MODIS,65,61.03,295.5,11,D,0
-18.8267,32.6534,316.2,1,1,2024-01-09,1202,Aqua,MODIS,47,61.03,291.2,7.4,D,0
-18.7887,32.7241,316,1,1,2024-01-09,1202,Aqua,MODIS,53,61.03,292,9.4,D,0
-18.7901,32.7147,316.2,1,1,2024-01-09,1202,Aqua,MODIS,54,61.03,290.1,9.6,D,0
-18.8185,32.6567,371.9,1.3,1.1,2024-01-11,1147,Aqua,MODIS,100,61.03,295.9,168.1,D,0
-19.5625,32.8113,340.5,1.3,1.1,2024-01-11,1147,Aqua,MODIS,89,61.03,295.1,58.1,D,0
-19.8044,32.8289,312.8,4.6,2,2024-01-17,0816,Terra,MODIS,56,61.03,292.7,77.5,D,0
-19.8002,32.7917,321.2,4.6,2,2024-01-17,0816,Terra,MODIS,74,61.03,292.8,140.4,D,0
-19.8008,32.7843,318.3,4.6,2,2024-01-17,0816,Terra,MODIS,69,61.03,292.4,116.7,D,0
-18.3658,26.4748,303,1.3,1.1,2024-01-22,2032,Terra,MODIS,42,61.03,292.3,5.1,N,2
-18.7242,32.8811,333.7,1.1,1,2024-01-23,1152,Aqua,MODIS,86,61.03,297.7,35,D,0
-18.7228,32.8914,314.2,1.1,1,2024-01-23,1152,Aqua,MODIS,54,61.03,297.2,9.6,D,0
-18.368,26.4803,318.4,1.1,1,2024-01-24,0805,Terra,MODIS,61,61.03,303.9,8.6,D,2
-18.3681,26.4799,305.9,1,1,2024-01-26,0007,Aqua,MODIS,66,61.03,294.6,6.5,N,2
-18.3717,26.4786,322.8,1.2,1.1,2024-01-26,0748,Terra,MODIS,63,61.03,308,13.1,D,2
-18.445,26.5283,321.5,1.3,1.1,2024-01-29,0811,Terra,MODIS,57,61.03,303.9,14.8,D,0
-21.7629,29.6229,318,2.4,1.5,2024-01-29,0812,Terra,MODIS,64,61.03,296,25.1,D,0
-18.6851,32.8167,316,1.3,1.1,2024-01-30,1146,Aqua,MODIS,65,61.03,299.4,17.5,D,0
-20.0145,32.6896,314.5,1.4,1.2,2024-01-30,1146,Aqua,MODIS,48,61.03,297.6,14.2,D,0
-19.8442,32.9761,330.5,1.3,1.2,2024-01-30,1146,Aqua,MODIS,83,61.03,295.7,39.6,D,0
-18.7141,32.897,337.1,1.3,1.1,2024-01-30,1146,Aqua,MODIS,88,61.03,301.5,49.3,D,0
-18.7156,32.885,332.1,1.3,1.1,2024-01-30,1146,Aqua,MODIS,84,61.03,301.9,38.9,D,0
-18.7169,32.892,338.5,1.3,1.1,2024-01-30,1146,Aqua,MODIS,89,61.03,303.8,53.4,D,0
-18.3697,26.4787,305.6,1.4,1.2,2024-01-31,2005,Terra,MODIS,55,61.03,295.6,6.5,N,2
-18.3697,26.4776,310.1,1.1,1.1,2024-02-03,2028,Terra,MODIS,79,61.03,296.6,9,N,2
-17.2496,30.611,319.9,1.2,1.1,2024-02-04,1157,Aqua,MODIS,67,61.03,304.9,12.3,D,2
-18.3707,26.4772,328.7,1,1,2024-02-05,0801,Terra,MODIS,73,61.03,308.2,15.5,D,2
-18.9442,30.6072,312.9,1.7,1.3,2024-02-05,0801,Terra,MODIS,41,61.03,297.8,10.4,D,0
-18.3695,26.4822,307.6,1.1,1,2024-02-05,2011,Terra,MODIS,70,61.03,297.4,5.4,N,2
-18.364,26.4751,306.7,1.1,1,2024-02-05,2011,Terra,MODIS,66,61.03,296.5,5.3,N,2
-18.3661,26.4783,310.3,1.1,1,2024-02-07,0012,Aqua,MODIS,80,61.03,295.4,8.5,N,2
-19.1615,29.6598,344.6,1,1,2024-02-07,0744,Terra,MODIS,92,61.03,303,42.8,D,0
-19.1629,29.6691,331.6,1,1,2024-02-07,0744,Terra,MODIS,82,61.03,301.1,22.7,D,0
-21.0358,31.7616,316.9,1.1,1.1,2024-02-07,0744,Terra,MODIS,57,61.03,300.1,10.2,D,0
-21.0372,31.7725,317.3,1.1,1.1,2024-02-07,0744,Terra,MODIS,59,61.03,300.1,10,D,0
-18.3713,26.4794,326.5,1,1,2024-02-07,1222,Aqua,MODIS,46,61.03,307.4,8.2,D,2
-18.0001,32.7584,329.4,3.3,1.7,2024-02-08,1125,Aqua,MODIS,81,61.03,297.3,121.7,D,0
-18.0046,32.7522,327.7,3.3,1.7,2024-02-08,1125,Aqua,MODIS,79,61.03,297.4,108.1,D,0
-18.0008,32.7873,344.4,3.3,1.7,2024-02-08,1125,Aqua,MODIS,92,61.03,298.3,255.9,D,0
-17.9968,32.7913,337.1,3.3,1.7,2024-02-08,1125,Aqua,MODIS,87,61.03,297.3,186.2,D,0
-18.0155,32.7605,314,3.3,1.7,2024-02-08,1125,Aqua,MODIS,30,61.03,295.7,35,D,0
-18.0123,32.7921,319.9,3.3,1.7,2024-02-08,1125,Aqua,MODIS,69,61.03,296.9,69.4,D,0
-18.5262,32.6484,322.3,3.4,1.7,2024-02-08,1125,Aqua,MODIS,74,61.03,295.5,89.9,D,0
-18.5206,32.6524,325.9,3.4,1.7,2024-02-08,1125,Aqua,MODIS,78,61.03,295.2,113.6,D,0
-18.3674,26.4707,306.2,1.4,1.2,2024-02-08,2034,Terra,MODIS,67,61.03,294.9,7.3,N,2
-18.3664,26.4841,307.7,1.1,1.1,2024-02-08,2356,Aqua,MODIS,69,61.03,292.7,8,N,2
-18.7774,32.7272,340.8,1,1,2024-02-09,1206,Aqua,MODIS,88,61.03,301.4,38.2,D,0
-18.7789,32.7175,349.3,1,1,2024-02-09,1206,Aqua,MODIS,94,61.03,305.1,54.8,D,0
-18.3991,32.6677,321.8,1,1,2024-02-09,1206,Aqua,MODIS,64,61.03,303.2,12.6,D,0
-18.0033,32.7845,319.8,1.1,1,2024-02-09,1207,Aqua,MODIS,52,61.03,298.2,11.9,D,0
-18.3673,26.4777,323.9,1.2,1.1,2024-02-10,0807,Terra,MODIS,62,61.03,305.1,11.5,D,2
