latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.0125,70.9894,315.8,2,1.4,2024-01-01,0823,Aqua,MODIS,76,61.03,281.1,45.7,D,0
35.01,70.9892,304.7,1.2,1.1,2024-01-02,0904,Aqua,MODIS,57,61.03,287.7,9.8,D,0
35.0114,71.001,305.2,1.2,1.1,2024-01-02,0904,Aqua,MODIS,61,61.03,287.1,10.8,D,0
35.0186,70.9932,317.1,1.2,1.1,2024-01-02,1703,Terra,MODIS,94,61.03,273.6,27.9,N,0
34.7163,70.719,309.9,2.3,1.5,2024-01-03,0505,Terra,MODIS,69,61.03,285.1,35,D,0
33.608,70.0206,305.2,1.1,1,2024-01-06,0529,Terra,MODIS,61,61.03,287.2,7.9,D,0
33.594,70.1394,308.5,1.4,1.2,2024-01-07,0915,Aqua,MODIS,58,61.03,291.3,12.3,D,0
33.5957,70.155,305.2,1.4,1.2,2024-01-07,0915,Aqua,MODIS,25,61.03,291.3,8.8,D,0
35.0809,71.0723,309.2,1.7,1.3,2024-01-07,0915,Aqua,MODIS,45,61.03,284.3,21.5,D,0
35.0798,71.0624,300.1,1.7,1.3,2024-01-07,0915,Aqua,MODIS,11,61.03,285.5,11.9,D,0
35.0814,71.0785,300.8,1.7,1.3,2024-01-07,0915,Aqua,MODIS,27,61.03,281.1,11.7,D,0
33.6044,70.1375,312,1.4,1.2,2024-01-07,0915,Aqua,MODIS,72,61.03,289.4,16.2,D,0
33.6061,70.1527,303.3,1.4,1.2,2024-01-07,0915,Aqua,MODIS,31,61.03,288.7,6.5,D,0
33.1234,69.9173,308.5,1,1,2024-01-16,0854,Aqua,MODIS,65,61.03,292.6,6.6,D,0
33.1261,69.9349,309.3,1.6,1.2,2024-01-19,0920,Aqua,MODIS,45,61.03,292,11.3,D,0
33.1278,69.9519,317.1,1.6,1.2,2024-01-19,0920,Aqua,MODIS,76,61.03,292,23.5,D,0
33.1259,69.9406,318.9,1.6,1.2,2024-01-19,0920,Aqua,MODIS,71,61.03,292.2,25.7,D,0
32.8811,61.8965,303.8,2.4,1.5,2024-01-28,0859,Aqua,MODIS,7,61.03,288.9,9.4,D,0
37.2667,67.1296,332.1,1.9,1.4,2024-02-06,0839,Aqua,MODIS,88,61.03,288.3,78.4,D,0
37.2707,67.1235,319.2,1.9,1.4,2024-02-06,0839,Aqua,MODIS,77,61.03,287.7,35.7,D,0
37.4551,69.4003,304.4,1,1,2024-02-09,0904,Aqua,MODIS,39,61.03,290.3,4.4,D,0
37.4566,69.4119,309.6,1,1,2024-02-09,0904,Aqua,MODIS,65,61.03,289,8.1,D,0
37.4656,69.41,306.2,1,1,2024-02-09,0904,Aqua,MODIS,33,61.03,292.1,5.4,D,0
37.2791,67.1216,360,1,1,2024-02-09,0904,Aqua,MODIS,99,61.03,298.6,81.1,D,0
37.2774,67.1104,353.3,1,1,2024-02-09,0904,Aqua,MODIS,97,61.03,296.4,64.2,D,0
37.4881,65.9204,311.4,1.1,1,2024-02-09,0905,Aqua,MODIS,47,61.03,297,8.3,D,0
33.5678,70.1355,305.2,2.2,1.4,2024-02-12,0929,Aqua,MODIS,61,61.03,288.1,15.6,D,0
33.5659,70.1132,311.2,2.2,1.4,2024-02-12,0929,Aqua,MODIS,71,61.03,288.3,29,D,0
33.5779,70.1389,309.6,1,1,2024-02-12,1657,Terra,MODIS,78,61.03,276.6,14.4,N,0
33.6001,70.1344,320.4,1.3,1.1,2024-02-14,0913,Aqua,MODIS,77,61.03,298.1,19.2,D,0
33.6004,70.14,321.5,1.3,1.1,2024-02-14,0913,Aqua,MODIS,77,61.03,298.3,20.1,D,0
35.6851,63.2308,314.5,1.1,1.1,2024-02-14,0914,Aqua,MODIS,44,61.03,302.3,7.5,D,0
37.2317,67.5915,311.4,4.3,1.9,2024-02-15,0955,Aqua,MODIS,0,61.03,296.9,45.3,D,0
37.2337,67.6397,314.5,4.3,1.9,2024-02-15,0955,Aqua,MODIS,0,61.03,296.8,64.5,D,0
33.6106,70.035,305.9,1.2,1.1,2024-02-16,0522,Terra,MODIS,62,61.03,293,6.1,D,0
33.6133,70.0416,305.9,1.2,1.1,2024-02-16,0522,Terra,MODIS,62,61.03,293.1,5.1,D,0
33.6053,70.1482,311.4,1,1,2024-02-16,0857,Aqua,MODIS,63,61.03,295.9,7,D,0
33.6072,70.0331,310.5,1,1,2024-02-16,0857,Aqua,MODIS,63,61.03,297.8,5.1,D,0
33.6069,70.1587,306.2,1,1,2024-02-16,0857,Aqua,MODIS,30,61.03,294.8,3.2,D,0
33.6034,70.1665,301,2.1,1.4,2024-02-17,0603,Terra,MODIS,39,61.03,289.3,8.9,D,0
31.939,64.6538,311.9,1.1,1,2024-02-19,0546,Terra,MODIS,71,61.03,289.5,10.7,D,0
33.5811,69.9729,304.8,1.1,1,2024-02-21,0907,Aqua,MODIS,59,61.03,292.4,4.1,D,0
33.6762,70.063,304,1.1,1,2024-02-21,0907,Aqua,MODIS,55,61.03,291.9,3.9,D,0
33.5847,69.9765,322.7,1.1,1,2024-02-23,0851,Aqua,MODIS,82,61.03,294.4,21.9,D,0
33.5567,70.1444,303.6,1.1,1,2024-02-23,0851,Aqua,MODIS,56,61.03,287.9,5.6,D,0
37.454,69.4135,313.1,1.5,1.2,2024-03-08,0840,Aqua,MODIS,70,61.03,291.3,15.8,D,0
37.451,69.3976,340.1,1.5,1.2,2024-03-08,0840,Aqua,MODIS,91,61.03,292.7,71.3,D,0
37.4614,69.3944,309.1,1.5,1.2,2024-03-08,0840,Aqua,MODIS,51,61.03,294.5,9.9,D,0
37.4587,69.4053,332.3,1.5,1.2,2024-03-08,0840,Aqua,MODIS,87,61.03,293.7,49.7,D,0
37.4556,69.3894,327.2,1.5,1.2,2024-03-08,0840,Aqua,MODIS,84,61.03,294.6,38.3,D,0
36.3443,68.802,310.4,1,1,2024-03-11,0905,Aqua,MODIS,57,61.03,290.1,6.6,D,0
33.0905,69.6488,308.4,1.3,1.1,2024-03-16,0520,Terra,MODIS,48,61.03,293.4,7.7,D,0
33.0889,69.662,314.8,1.3,1.1,2024-03-16,0520,Terra,MODIS,69,61.03,296.2,14.1,D,0
37.2362,67.6598,365.1,1.1,1,2024-03-16,0914,Aqua,MODIS,75,61.03,305.6,101.7,D,0
37.3792,67.0116,316.3,1,1,2024-03-16,0914,Aqua,MODIS,49,61.03,300.5,8.3,D,0
37.2347,67.6482,332.5,1.1,1,2024-03-16,0914,Aqua,MODIS,0,61.03,299,28.1,D,0
33.7041,70.0883,315.4,1.1,1.1,2024-03-19,0543,Terra,MODIS,55,61.03,300.6,8.3,D,0
33.7115,70.102,315.4,1.1,1.1,2024-03-19,0543,Terra,MODIS,56,61.03,299.4,8,D,0
33.7134,70.0902,316.1,1.1,1.1,2024-03-19,0543,Terra,MODIS,60,61.03,300.3,9,D,0
34.2048,62.216,308.1,1,1,2024-03-22,0606,Terra,MODIS,39,61.03,293.6,3.2,D,2
34.5974,70.9481,315.6,1.4,1.2,2024-03-24,0549,Terra,MODIS,65,61.03,299.3,13.9,D,0
37.3461,69.3858,318.6,4.2,1.9,2024-03-25,0628,Terra,MODIS,72,61.03,297.4,101.6,D,0
37.3104,66.2755,312.1,1,1,2024-04-04,0910,Aqua,MODIS,31,61.03,286.2,10.3,D,0
37.3729,67.0272,322.6,1.4,1.2,2024-04-08,0606,Terra,MODIS,0,61.03,306.7,18.3,D,0
34.4302,69.1374,307.2,1.2,1.1,2024-04-30,0855,Aqua,MODIS,37,61.03,291,4.7,D,0
35.1345,69.3079,313.5,1.1,1.1,2024-04-30,0855,Aqua,MODIS,67,61.03,290.3,10.9,D,0
37.0898,70.5431,316.5,1.2,1.1,2024-05-09,0544,Terra,MODIS,33,61.03,300.7,7.2,D,0
35.1329,69.3063,323,1.1,1.1,2024-05-09,0544,Terra,MODIS,76,61.03,300.6,16.7,D,0
34.5116,69.2294,320.4,1.1,1.1,2024-05-09,0544,Terra,MODIS,15,61.03,298.7,4.6,D,2
37.1154,70.5735,311.6,1,1,2024-05-12,0855,Aqua,MODIS,31,61.03,297.2,5.9,D,2
37.0921,70.5552,317.5,1.5,1.2,2024-05-14,0839,Aqua,MODIS,29,61.03,304.3,9.9,D,0
35.0487,70.2483,307.9,1.1,1,2024-05-28,2200,Aqua,MODIS,63,61.03,285.8,11.6,N,0
35.0421,70.24,306.5,1.1,1,2024-05-28,2200,Aqua,MODIS,68,61.03,283.5,11,N,0
35.04,70.253,304.7,1.1,1,2024-05-28,2200,Aqua,MODIS,61,61.03,286,9.3,N,0
37.0912,70.5482,315.4,1.4,1.2,2024-05-31,0548,Terra,MODIS,43,61.03,300.7,7.3,D,0
33.131,70.0005,305.9,1.4,1.2,2024-06-02,2208,Aqua,MODIS,66,61.03,294.5,8,N,0
36.0634,68.6283,319.7,1,1,2024-06-07,0536,Terra,MODIS,58,61.03,304.3,7.4,D,2
34.323,70.6931,331.5,1,1,2024-07-14,0908,Aqua,MODIS,61,61.03,314,11.1,D,0
