latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.8143,19.6998,300.5,1.1,1.1,2024-01-28,0853,Terra,MODIS,37,61.03,280.8,7.9,D,0
40.4384,19.7503,319.6,1,1,2024-01-28,1218,Aqua,MODIS,79,61.03,285.4,20.4,D,2
40.2651,19.8576,302.3,2.1,1.4,2024-01-31,1244,Aqua,MODIS,49,61.03,286.7,19,D,0
39.851,20.234,301.5,1,1,2024-02-04,1213,Aqua,MODIS,35,61.03,288.9,5.3,D,0
40.5204,20.395,304.2,1,1,2024-02-04,1213,Aqua,MODIS,46,61.03,288.5,6.3,D,0
40.4106,20.6556,302.6,1,1,2024-02-04,1213,Aqua,MODIS,53,61.03,288.6,5.1,D,0
40.2626,19.765,308.4,1.1,1,2024-02-09,1223,Aqua,MODIS,67,61.03,286.9,11.2,D,0
40.2117,19.5188,308.3,2.1,1.4,2024-02-15,2040,Terra,MODIS,67,61.03,278,36.4,N,0
40.2104,19.5242,300.9,2.1,1.4,2024-02-15,2040,Terra,MODIS,35,61.03,277.8,25.6,N,0
40.2126,19.5167,304.1,1,1,2024-02-16,1217,Aqua,MODIS,41,61.03,290.5,7.3,D,0
40.5225,19.4947,306.7,1,1,2024-02-16,1217,Aqua,MODIS,64,61.03,290.4,7.3,D,0
42.2599,19.5845,306,3.3,1.7,2024-02-17,1259,Aqua,MODIS,62,61.03,285.7,44.3,D,0
41.0526,19.9792,304.6,1.1,1.1,2024-02-18,1201,Aqua,MODIS,59,61.03,290.4,6.4,D,0
40.562,20.2096,302.8,1.1,1.1,2024-02-18,1201,Aqua,MODIS,54,61.03,290.8,5.6,D,0
41.0549,19.9923,300.7,1.1,1.1,2024-02-18,1201,Aqua,MODIS,40,61.03,289.6,3.7,D,0
41.7982,20.0894,300.1,1.1,1,2024-02-18,1202,Aqua,MODIS,28,61.03,288.4,4.5,D,0
41.8004,20.1027,306.2,1.1,1,2024-02-18,1202,Aqua,MODIS,63,61.03,287.3,8.8,D,0
42.0337,19.8332,301,1.1,1.1,2024-02-18,1202,Aqua,MODIS,43,61.03,289.5,5.1,D,0
40.7629,20.7537,311.6,1,1,2024-02-19,0901,Terra,MODIS,71,61.03,285.8,12,D,0
40.7646,20.7421,315.5,1,1,2024-02-19,0901,Terra,MODIS,76,61.03,287.3,15.2,D,0
40.6995,20.8887,302.7,2.2,1.4,2024-02-19,1242,Aqua,MODIS,43,61.03,288.6,15,D,0
40.6989,20.8965,304,2.2,1.4,2024-02-19,1242,Aqua,MODIS,52,61.03,288.8,17.6,D,0
