latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-30.7564,-67.7287,311.3,1.1,1,2024-01-01,0254,Terra,MODIS,69,61.03,289.8,12.1,N,0
-30.7548,-67.7184,318.8,1.1,1,2024-01-01,0254,Terra,MODIS,97,61.03,289.7,19.5,N,0
-30.7623,-67.7052,304.2,1.1,1,2024-01-01,0254,Terra,MODIS,37,61.03,287.2,8.7,N,0
-24.3421,-60.595,320.5,1.1,1,2024-01-01,1351,Terra,MODIS,59,61.03,303.2,9.2,D,0
-24.2557,-60.1923,324.4,1.1,1.1,2024-01-01,1351,Terra,MODIS,66,61.03,305,12.4,D,0
-23.8749,-61.4586,320.4,1,1,2024-01-01,1351,Terra,MODIS,66,61.03,303.2,10,D,0
-23.3627,-64.3959,323.9,1.1,1,2024-01-01,1351,Terra,MODIS,34,61.03,303.6,11.8,D,0
-24.4708,-61.2029,328.3,1,1,2024-01-01,1351,Terra,MODIS,52,61.03,308.1,16,D,0
-24.6695,-59.5662,321.1,1.2,1.1,2024-01-01,1351,Terra,MODIS,65,61.03,302.4,10.8,D,0
-24.544,-60.1648,320.5,1.1,1.1,2024-01-01,1351,Terra,MODIS,67,61.03,302.9,10.5,D,0
-25.0478,-59.5665,319.3,1.2,1.1,2024-01-01,1351,Terra,MODIS,24,61.03,301.5,11.1,D,0
-24.4439,-63.8647,321.7,1,1,2024-01-01,1351,Terra,MODIS,29,61.03,304.2,9.1,D,0
-24.779,-60.693,322.1,1.1,1,2024-01-01,1351,Terra,MODIS,35,61.03,303.9,11.5,D,0
-24.827,-59.6134,320.1,1.2,1.1,2024-01-01,1351,Terra,MODIS,67,61.03,302.1,12.7,D,0
-24.6956,-60.412,327.1,1.1,1.1,2024-01-01,1351,Terra,MODIS,34,61.03,307.1,16.4,D,0
-24.6942,-60.4229,328.1,1.1,1.1,2024-01-01,1351,Terra,MODIS,68,61.03,307.5,17,D,0
-24.0563,-64.5626,316.6,1.1,1,2024-01-01,1351,Terra,MODIS,23,61.03,299.9,8.6,D,0
-24.713,-63.5556,319,1,1,2024-01-01,1351,Terra,MODIS,16,61.03,302.5,7.9,D,0
-25.1277,-60.3971,319.7,1.1,1.1,2024-01-01,1351,Terra,MODIS,56,61.03,303.4,9.7,D,0
-25.1747,-59.9451,313.6,1.2,1.1,2024-01-01,1351,Terra,MODIS,51,61.03,298.2,6.2,D,0
-24.7453,-63.0965,324,1,1,2024-01-01,1351,Terra,MODIS,54,61.03,305.4,10.6,D,0
-25.1707,-59.9504,313.9,1.2,1.1,2024-01-01,1351,Terra,MODIS,51,61.03,298.1,6,D,0
-25.0324,-60.235,323.8,1.1,1.1,2024-01-01,1351,Terra,MODIS,64,61.03,305.2,13.7,D,0
-25.9441,-60.9114,322,1.1,1,2024-01-01,1352,Terra,MODIS,44,61.03,305.4,10.7,D,0
-25.7582,-61.125,326.5,1.1,1,2024-01-01,1352,Terra,MODIS,63,61.03,309.1,14.3,D,0
-24.9596,-63.4493,319.6,1,1,2024-01-01,1352,Terra,MODIS,50,61.03,302.5,7.5,D,0
-25.8306,-61.2713,324.5,1.1,1,2024-01-01,1352,Terra,MODIS,62,61.03,307.4,11.4,D,0
-25.7595,-61.1145,325.5,1.1,1,2024-01-01,1352,Terra,MODIS,52,61.03,308.3,12.9,D,0
-31.8966,-61.8539,317,1.1,1.1,2024-01-01,1353,Terra,MODIS,35,61.03,298.5,7.7,D,2
-31.9005,-61.8605,316.7,1.1,1.1,2024-01-01,1353,Terra,MODIS,22,61.03,298.3,8.4,D,2
-32.8187,-61.4012,318.3,1.2,1.1,2024-01-01,1354,Terra,MODIS,37,61.03,297.9,9.4,D,2
-32.6824,-61.5282,312.9,1.2,1.1,2024-01-01,1354,Terra,MODIS,47,61.03,298.6,5.8,D,2
-32.6839,-61.5155,313.9,1.2,1.1,2024-01-01,1354,Terra,MODIS,54,61.03,298.4,6.3,D,2
-32.7848,-61.6027,313.5,1.2,1.1,2024-01-01,1354,Terra,MODIS,41,61.03,299.5,6.6,D,2
-32.8202,-61.3884,319.7,1.2,1.1,2024-01-01,1354,Terra,MODIS,46,61.03,297.9,11.5,D,2
-32.882,-62.6788,316.9,1.1,1,2024-01-01,1354,Terra,MODIS,48,61.03,298.7,8.8,D,2
-33.8122,-59.4986,315,1.6,1.2,2024-01-01,1354,Terra,MODIS,17,61.03,299.2,12.7,D,2
-33.8123,-59.5044,315.7,1.6,1.2,2024-01-01,1354,Terra,MODIS,51,61.03,299.2,13.7,D,2
-34.1281,-63.3916,314.1,1.1,1,2024-01-01,1354,Terra,MODIS,52,61.03,296.7,6,D,2
-35.03,-63.0217,310.5,1.1,1,2024-01-01,1354,Terra,MODIS,34,61.03,296.6,4.2,D,2
-35.0315,-63.0098,313.4,1.1,1,2024-01-01,1354,Terra,MODIS,52,61.03,296.6,6.8,D,2
-35.4941,-62.9772,308.5,1.1,1,2024-01-01,1354,Terra,MODIS,32,61.03,293,4.1,D,2
-35.9186,-64.2939,309.1,1,1,2024-01-01,1355,Terra,MODIS,49,61.03,296,4.3,D,2
-36.6357,-64.2881,312.2,1,1,2024-01-01,1355,Terra,MODIS,29,61.03,295.3,4.3,D,2
-37.6074,-62.4033,311.5,1.2,1.1,2024-01-01,1355,Terra,MODIS,52,61.03,295.4,6.1,D,2
-31.4535,-60.9364,317.1,1.9,1.3,2024-01-01,1757,Aqua,MODIS,59,61.03,300.1,14.9,D,2
-33.0381,-58.6134,316.3,1.4,1.2,2024-01-01,1757,Aqua,MODIS,51,61.03,301.9,9.2,D,2
-24.7378,-63.0953,321.7,2.2,1.4,2024-01-01,1759,Aqua,MODIS,33,61.03,297.2,31.9,D,0
-24.8338,-59.6161,320.6,1.3,1.1,2024-01-01,1759,Aqua,MODIS,57,61.03,301.2,14.8,D,0
-25.0849,-63.4387,319.6,2.3,1.5,2024-01-01,1759,Aqua,MODIS,58,61.03,298.6,26.5,D,0
-24.5023,-63.9557,321,2.5,1.5,2024-01-01,1759,Aqua,MODIS,39,61.03,297.1,29.3,D,0
-42.4875,-70.3957,346,1.4,1.2,2024-01-01,1933,Aqua,MODIS,91,61.03,321.1,54.3,D,0
-42.4978,-70.3915,346.9,1.4,1.2,2024-01-01,1933,Aqua,MODIS,92,61.03,321,58,D,0
-42.5012,-70.4088,337.7,1.4,1.2,2024-01-01,1933,Aqua,MODIS,85,61.03,319.2,30.2,D,0
