latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.0516,44.5528,305.9,1.8,1.3,2024-02-10,0751,Terra,MODIS,62,61.03,286,17.1,D,2
40.0473,44.5732,302.3,1.8,1.3,2024-02-10,0751,Terra,MODIS,45,61.03,285.5,12.3,D,0
40.0522,44.5683,305.2,1.8,1.3,2024-02-10,0751,Terra,MODIS,61,61.03,285.7,17.4,D,0
40.0935,44.153,302.5,1.1,1,2024-02-11,1028,Aqua,MODIS,53,61.03,292,3.5,D,0
40.0393,44.0979,307.7,1,1,2024-02-16,1038,Aqua,MODIS,66,61.03,288.5,6.7,D,0
40.0442,44.1323,306.7,1,1,2024-02-16,1038,Aqua,MODIS,64,61.03,290.6,5.3,D,0
40.0462,44.3662,315.3,1.2,1.1,2024-02-18,1022,Aqua,MODIS,66,61.03,292,14.9,D,2
40.0464,44.1441,302.7,1.5,1.2,2024-02-25,1016,Aqua,MODIS,47,61.03,289.1,6.9,D,0
40.0392,44.1643,308.7,1.5,1.2,2024-02-25,1016,Aqua,MODIS,67,61.03,289.6,13.7,D,0
39.808,44.7004,305.8,1.5,1.2,2024-02-26,1057,Aqua,MODIS,55,61.03,290.5,9.1,D,0
40.1062,44.0471,303.7,1.4,1.2,2024-02-26,1057,Aqua,MODIS,57,61.03,291.5,5.5,D,0
40.0606,44.4998,305.2,1.5,1.2,2024-02-26,1057,Aqua,MODIS,61,61.03,291,8,D,0
39.8188,44.6986,307.3,1.5,1.2,2024-02-26,1057,Aqua,MODIS,65,61.03,290.8,10.1,D,2
40.1097,44.4668,305.9,1,1,2024-02-28,1041,Aqua,MODIS,62,61.03,291.9,4.2,D,2
40.1144,44.502,309.5,1,1,2024-02-28,1041,Aqua,MODIS,69,61.03,290.3,7.3,D,2
41.1432,44.2052,318.4,1,1,2024-02-28,1042,Aqua,MODIS,78,61.03,288.3,16.6,D,0
41.1448,44.2172,315.5,1,1,2024-02-28,1042,Aqua,MODIS,76,61.03,287.4,13.4,D,0
40.0895,44.5109,304.9,1.1,1.1,2024-03-01,1026,Aqua,MODIS,60,61.03,290.8,4.4,D,2
39.9725,44.4861,328.1,1.2,1.1,2024-03-04,1051,Aqua,MODIS,85,61.03,291.7,31.4,D,0
