latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.2736,14.3438,300.7,1.4,1.2,2024-01-03,0957,Terra,MODIS,0,61.03,280.3,10.7,D,2
48.2765,14.328,313.1,1,1,2024-01-09,1221,Aqua,MODIS,69,61.03,273,17.1,D,2
48.2755,14.33,304.5,1,1,2024-01-09,2014,Terra,MODIS,60,61.03,268.8,12.9,N,2
48.274,14.3329,319,1.1,1,2024-01-10,0946,Terra,MODIS,75,61.03,272.1,25.7,D,2
48.2715,14.3473,300,1.1,1,2024-01-10,0946,Terra,MODIS,7,61.03,270.7,9.9,D,2
48.2732,14.3294,304.1,1.9,1.3,2024-01-10,2055,Terra,MODIS,59,61.03,268.2,31,N,2
48.2722,14.3324,305.8,1.3,1.1,2024-01-11,1206,Aqua,MODIS,59,61.03,274.8,16.9,D,2
47.931,16.7962,302.7,1.5,1.2,2024-01-13,1150,Aqua,MODIS,35,61.03,273.9,15.7,D,0
47.9918,16.7601,320.9,1,1,2024-01-16,1216,Aqua,MODIS,61,61.03,271.8,23.6,D,0
48.2725,14.3361,310.6,1,1,2024-01-17,0936,Terra,MODIS,38,61.03,270.1,14.6,D,2
48.2778,14.3342,313.5,1,1,2024-01-19,2027,Terra,MODIS,87,61.03,272.4,18.6,N,2
48.2791,14.3364,324.5,1.1,1,2024-01-21,2010,Terra,MODIS,100,61.03,271,32.7,N,2
48.2796,14.3307,317.7,1,1,2024-01-26,2017,Terra,MODIS,96,61.03,279.9,19.7,N,2
48.2724,14.3331,305,2.7,1.6,2024-01-27,1140,Aqua,MODIS,52,61.03,278.8,43.8,D,2
48.2719,14.3352,320.8,1,1,2024-01-28,1221,Aqua,MODIS,70,61.03,283.8,22.2,D,2
48.2736,14.334,304.9,1.4,1.2,2024-01-28,2000,Terra,MODIS,62,61.03,273.9,17.9,N,2
48.2754,14.3286,305.5,1,1,2024-01-29,0932,Terra,MODIS,62,61.03,277.4,11,D,2
48.2736,14.3418,325.6,1,1,2024-01-29,0932,Terra,MODIS,84,61.03,278.2,28.2,D,2
48.2683,14.3261,302.2,1.7,1.3,2024-02-05,1256,Aqua,MODIS,48,61.03,286.1,14.2,D,2
48.2775,14.3285,303.7,1.1,1,2024-02-05,2029,Terra,MODIS,56,61.03,277.7,11,N,2
48.2792,14.3425,300.7,1.1,1,2024-02-05,2029,Terra,MODIS,32,61.03,277.3,9.1,N,2
48.2711,14.34,300.6,1.6,1.3,2024-02-06,1001,Terra,MODIS,0,61.03,267.7,15.9,D,2
48.2818,14.3369,301.2,1.1,1,2024-02-07,0132,Aqua,MODIS,39,61.03,278.2,9.9,N,2
48.2712,14.3414,305.7,1.1,1,2024-02-14,1235,Aqua,MODIS,51,61.03,281.5,9.2,D,2
48.2694,14.3276,304.4,1,1,2024-02-14,1235,Aqua,MODIS,48,61.03,284.5,8.5,D,2
48.2778,14.3341,305.4,1.1,1,2024-02-14,1235,Aqua,MODIS,46,61.03,283.1,10.3,D,2
