latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.8645,48.2122,300.8,1,1,2024-01-06,1014,Aqua,MODIS,6,61.03,288.3,4,D,2
39.8556,48.2146,305.8,1,1,2024-01-06,1014,Aqua,MODIS,62,61.03,288.3,7.1,D,0
40.3455,47.8485,316.8,1,1,2024-01-06,1014,Aqua,MODIS,77,61.03,289.2,16,D,0
40.2844,47.8157,305.1,1,1,2024-01-06,1014,Aqua,MODIS,61,61.03,288,7.2,D,0
40.208,48.0953,300.4,1,1,2024-01-06,1014,Aqua,MODIS,36,61.03,288,4.4,D,0
40.0505,48.5744,314.8,1,1,2024-01-06,1014,Aqua,MODIS,75,61.03,289.3,13.9,D,0
39.9618,48.4839,302.3,1,1,2024-01-06,1014,Aqua,MODIS,52,61.03,288.5,5.2,D,0
39.9601,48.5326,308.6,1,1,2024-01-06,1014,Aqua,MODIS,67,61.03,288.6,9.1,D,0
39.8626,48.2005,303.4,1,1,2024-01-06,1014,Aqua,MODIS,41,61.03,288.5,5.4,D,0
39.8538,48.2029,304.6,1,1,2024-01-06,1014,Aqua,MODIS,56,61.03,288.8,6.3,D,0
40.7135,47.1343,304.6,1.1,1,2024-01-06,1014,Aqua,MODIS,59,61.03,288.6,7.2,D,0
40.6024,47.5406,300.4,1,1,2024-01-06,1014,Aqua,MODIS,36,61.03,287.4,4.8,D,0
40.4179,47.4911,314.4,1.1,1,2024-01-06,1014,Aqua,MODIS,75,61.03,288.9,13,D,0
40.4089,47.4936,321.5,1.1,1,2024-01-06,1014,Aqua,MODIS,81,61.03,288.6,19.9,D,0
40.369,47.8792,302.5,1,1,2024-01-06,1014,Aqua,MODIS,52,61.03,287.9,5.8,D,0
40.3437,47.8366,338.3,1,1,2024-01-06,1014,Aqua,MODIS,91,61.03,289.9,43.2,D,0
40.7386,46.8837,300,1.1,1.1,2024-01-06,1810,Terra,MODIS,10,61.03,274.9,10.3,N,0
40.4984,47.4469,308.8,1.2,1.1,2024-01-09,0729,Terra,MODIS,68,61.03,284.9,14.1,D,0
38.7993,48.5409,303.1,1.5,1.2,2024-01-09,0729,Terra,MODIS,55,61.03,290.5,10.6,D,0
40.4376,47.18,305.2,1.3,1.1,2024-01-09,1040,Aqua,MODIS,61,61.03,289.7,8.8,D,0
39.7489,47.5843,302,1.4,1.2,2024-01-09,1040,Aqua,MODIS,50,61.03,288.6,6.5,D,0
39.7498,47.5753,303.5,1.4,1.2,2024-01-09,1040,Aqua,MODIS,56,61.03,288.8,8,D,0
40.7192,47.0717,314.5,1.3,1.1,2024-01-09,1040,Aqua,MODIS,57,61.03,286.2,20.1,D,0
40.6067,47.44,308.8,1.4,1.2,2024-01-09,1040,Aqua,MODIS,68,61.03,286.4,14,D,0
40.461,47.1052,304.1,1.1,1,2024-02-04,1034,Aqua,MODIS,58,61.03,288.1,7.2,D,0
40.2161,47.3605,304.2,1.1,1.1,2024-02-04,1034,Aqua,MODIS,58,61.03,286.3,8.1,D,0
