latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.4899,-76.6694,310,1.1,1,2024-01-16,1845,Aqua,MODIS,0,61.03,297,6.3,D,0
26.0013,-77.2505,315,1.3,1.1,2024-01-25,0302,Terra,MODIS,86,61.03,286.5,19.5,N,0
26.0028,-77.2377,308.6,1.3,1.1,2024-01-25,0302,Terra,MODIS,21,61.03,288.2,12.1,N,0
25.9899,-77.2593,315.5,1.2,1.1,2024-01-25,1508,Terra,MODIS,64,61.03,279,19.3,D,0
25.9947,-77.2643,313.7,1.2,1.1,2024-01-25,1508,Terra,MODIS,32,61.03,283.3,13.7,D,0
25.9933,-77.2527,322,1.2,1.1,2024-01-25,1508,Terra,MODIS,70,61.03,286.6,22.9,D,0
24.4306,-77.9899,312.7,1.6,1.3,2024-02-11,1838,Aqua,MODIS,47,61.03,295.4,16.6,D,0
24.439,-77.9931,319.9,1.7,1.3,2024-02-12,1919,Aqua,MODIS,68,61.03,299.2,25.6,D,0
24.4494,-77.9807,310.1,3.2,1.7,2024-02-13,1822,Aqua,MODIS,15,61.03,294.1,23.1,D,0
24.4488,-77.9877,311.3,3.2,1.7,2024-02-13,1822,Aqua,MODIS,36,61.03,294.3,30.4,D,0
24.6182,-78.0603,316.2,1,1,2024-02-14,1903,Aqua,MODIS,57,61.03,296.5,9.1,D,0
24.6065,-78.0723,323.2,1,1,2024-02-14,1903,Aqua,MODIS,66,61.03,297.9,15.1,D,0
25.4896,-76.676,314.1,1.2,1.1,2024-02-14,1903,Aqua,MODIS,0,61.03,296.7,11.9,D,0
24.6192,-78.0012,331.5,2.5,1.5,2024-02-17,1929,Aqua,MODIS,0,61.03,298.5,93.7,D,0
24.6169,-78.0252,317.3,2.5,1.5,2024-02-17,1929,Aqua,MODIS,59,61.03,297.5,34.7,D,0
24.4383,-77.9797,315.6,2.1,1.4,2024-02-18,1832,Aqua,MODIS,59,61.03,293.6,29,D,0
24.7375,-78.126,312.8,1.5,1.2,2024-02-23,1842,Aqua,MODIS,42,61.03,296.1,13.1,D,0
26.3271,-77.0976,316.9,1,1,2024-02-28,1512,Terra,MODIS,67,61.03,293.5,12.5,D,0
26.3262,-77.0929,325.7,1,1,2024-02-28,1852,Aqua,MODIS,60,61.03,299,19.4,D,0
26.3247,-77.1029,328.4,1,1,2024-02-28,1852,Aqua,MODIS,62,61.03,299.1,22.3,D,0
26.448,-77.0732,311.9,1,1,2024-03-11,1855,Aqua,MODIS,37,61.03,301.8,5.2,D,0
25.1249,-78.0889,312.8,1.7,1.3,2024-03-13,1838,Aqua,MODIS,38,61.03,297,14.4,D,0
25.0867,-78.0518,321,1.2,1.1,2024-03-30,1850,Aqua,MODIS,73,61.03,299.6,19.2,D,0
26.7249,-77.383,327.7,1.1,1,2024-03-30,1850,Aqua,MODIS,79,61.03,300.3,23.5,D,0
26.7265,-77.3725,342.8,1.1,1,2024-03-30,1850,Aqua,MODIS,91,61.03,301.3,48.3,D,0
26.727,-77.3955,332.4,1.8,1.3,2024-04-01,1834,Aqua,MODIS,58,61.03,282.1,68.6,D,0
26.7385,-77.3982,320.3,1.8,1.3,2024-04-01,1834,Aqua,MODIS,23,61.03,280.3,38.2,D,0
25.04,-77.997,328.1,1,1,2024-04-02,1515,Terra,MODIS,81,61.03,300,21.2,D,0
26.718,-77.396,314.7,1.5,1.2,2024-04-02,1915,Aqua,MODIS,48,61.03,290.4,14.8,D,0
26.7196,-77.3815,318.6,1.5,1.2,2024-04-02,1915,Aqua,MODIS,63,61.03,288.6,21.5,D,0
25.0399,-78.0069,321.4,1.3,1.1,2024-04-02,1915,Aqua,MODIS,52,61.03,299.1,18.2,D,0
25.143,-78.0252,309,1,1,2024-04-04,0252,Terra,MODIS,64,61.03,291.2,7.8,N,0
25.1161,-78.0332,317.2,1.7,1.3,2024-04-05,1539,Terra,MODIS,34,61.03,295.9,19.9,D,0
25.1242,-78.0149,350.4,1.7,1.3,2024-04-05,1539,Terra,MODIS,72,61.03,298.3,116.1,D,0
25.1271,-78.0308,343.4,1.7,1.3,2024-04-05,1539,Terra,MODIS,92,61.03,299.2,88.8,D,0
25.1353,-78.0125,324.9,1.7,1.3,2024-04-05,1539,Terra,MODIS,0,61.03,297.1,32.8,D,0
25.106,-78.0288,333.3,3.5,1.8,2024-04-05,1940,Aqua,MODIS,65,61.03,296.5,174.1,D,0
25.1022,-78.0363,329.4,3.5,1.8,2024-04-05,1940,Aqua,MODIS,62,61.03,296.6,139.9,D,0
25.1179,-78.0378,315.3,3.5,1.8,2024-04-05,1940,Aqua,MODIS,48,61.03,296.7,54.3,D,0
25.0617,-78.0632,312.3,1.5,1.2,2024-04-06,1843,Aqua,MODIS,54,61.03,302.1,10.7,D,0
25.094,-78.0309,321.4,1.5,1.2,2024-04-06,1843,Aqua,MODIS,30,61.03,301.3,21.6,D,0
24.6575,-78.053,315.3,1,1,2024-04-07,1522,Terra,MODIS,38,61.03,299,8.9,D,0
25.1469,-78.0493,320.5,1.8,1.3,2024-04-07,1924,Aqua,MODIS,48,61.03,294.2,28.9,D,0
26.7236,-77.366,323.5,2.1,1.4,2024-04-07,1924,Aqua,MODIS,0,61.03,297.3,42,D,0
26.7215,-77.3863,330.2,2.1,1.4,2024-04-07,1924,Aqua,MODIS,72,61.03,302.6,66.8,D,0
25.1193,-78.051,336.6,1.3,1.1,2024-04-09,1504,Terra,MODIS,88,61.03,297.5,45.7,D,0
24.9445,-78.0114,342.5,1.1,1,2024-04-09,1908,Aqua,MODIS,91,61.03,301.8,43.6,D,0
24.9354,-78.0099,318.4,1.1,1,2024-04-09,1908,Aqua,MODIS,65,61.03,301.2,10.4,D,0
24.9431,-78.0216,347.8,1,1,2024-04-09,1908,Aqua,MODIS,94,61.03,302.5,54.7,D,0
25.0812,-78.0188,323.4,1.1,1,2024-04-09,1908,Aqua,MODIS,31,61.03,301.5,14,D,0
25.123,-78.0532,335.2,1.1,1,2024-04-09,1908,Aqua,MODIS,81,61.03,298.6,27.6,D,0
25.1216,-78.0634,389.9,1,1,2024-04-09,1908,Aqua,MODIS,100,61.03,308.5,201.9,D,0
25.1202,-78.0736,348.5,1,1,2024-04-09,1908,Aqua,MODIS,94,61.03,300.7,52.7,D,0
26.6293,-78.2714,330.3,1.1,1,2024-04-09,1908,Aqua,MODIS,0,61.03,303.5,21,D,0
25.1126,-78.0676,314,1.5,1.2,2024-04-10,0715,Aqua,MODIS,84,61.03,287.5,27,N,0
25.0944,-78.0842,310.6,2.1,1.4,2024-04-10,1545,Terra,MODIS,38,61.03,290.3,18,D,0
24.9508,-78.0288,314.2,1.1,1,2024-04-11,0240,Terra,MODIS,84,61.03,293.9,12.3,N,0
24.9416,-78.0271,307,1.1,1,2024-04-11,0240,Terra,MODIS,47,61.03,294,6.4,N,0
24.96,-78.0088,315.8,2.5,1.5,2024-04-11,1447,Terra,MODIS,46,61.03,296.1,29.4,D,0
24.952,-78.0167,313,2.5,1.5,2024-04-11,1447,Terra,MODIS,35,61.03,296.7,21.5,D,0
25.0928,-78.0964,357,1.1,1.1,2024-04-12,1527,Terra,MODIS,98,61.03,299,85.3,D,0
25.091,-78.0854,357.8,1.1,1.1,2024-04-12,1527,Terra,MODIS,99,61.03,298.7,88.7,D,0
25.0893,-78.0744,323,1.1,1.1,2024-04-12,1527,Terra,MODIS,76,61.03,296.4,16.2,D,0
25.0835,-78.0982,331.2,1.1,1.1,2024-04-12,1527,Terra,MODIS,84,61.03,296.1,27.2,D,0
25.0817,-78.0872,326.1,1.1,1.1,2024-04-12,1527,Terra,MODIS,79,61.03,294.8,19.6,D,0
24.9364,-78.0368,317.9,1.2,1.1,2024-04-12,1527,Terra,MODIS,69,61.03,294.8,12.2,D,0
25.0703,-78.0788,323.1,2.5,1.5,2024-04-12,1932,Aqua,MODIS,76,61.03,294.2,51.2,D,0
25.068,-78.103,355.4,2.5,1.5,2024-04-12,1932,Aqua,MODIS,98,61.03,296.2,252.3,D,0
25.0815,-78.1045,318.5,2.5,1.5,2024-04-12,1932,Aqua,MODIS,61,61.03,295.5,32.4,D,0
24.9243,-78.0585,326.2,2.1,1.4,2024-04-13,1835,Aqua,MODIS,79,61.03,300.4,51.9,D,0
24.6456,-78.0611,313,2.2,1.4,2024-04-13,1835,Aqua,MODIS,47,61.03,301.4,13.9,D,0
24.9405,-78.0412,319,2.1,1.4,2024-04-13,1835,Aqua,MODIS,52,61.03,302.9,30.4,D,0
24.9366,-78.0615,324.1,2.1,1.4,2024-04-13,1835,Aqua,MODIS,77,61.03,300.6,47.4,D,0
24.9748,-78.0141,317.8,2.1,1.4,2024-04-13,1835,Aqua,MODIS,69,61.03,300.4,28.7,D,0
25.0039,-78.0632,328.3,2.1,1.4,2024-04-13,1835,Aqua,MODIS,81,61.03,299.5,65.3,D,0
25,-78.0835,317.5,2.1,1.4,2024-04-13,1835,Aqua,MODIS,68,61.03,299.6,31.4,D,0
25.0371,-78.0924,320.8,2.1,1.4,2024-04-13,1835,Aqua,MODIS,73,61.03,299.7,36.9,D,0
25.0647,-78.0145,324.4,2.1,1.4,2024-04-13,1835,Aqua,MODIS,77,61.03,300.8,49.8,D,0
25.0609,-78.0346,342.2,2.1,1.4,2024-04-13,1835,Aqua,MODIS,91,61.03,302.3,122.7,D,0
25.0494,-78.0954,335.5,2.1,1.4,2024-04-13,1835,Aqua,MODIS,87,61.03,301.5,88,D,0
25.0539,-78.0168,312.2,2.1,1.4,2024-04-13,1835,Aqua,MODIS,52,61.03,299.5,17.6,D,0
25.038,-78.0975,329,2.1,1.4,2024-04-13,1835,Aqua,MODIS,82,61.03,300.1,64.8,D,0
25.0662,-78.0197,331.3,2.1,1.4,2024-04-13,1835,Aqua,MODIS,84,61.03,301.6,72.8,D,0
25.0623,-78.0398,331.6,2.1,1.4,2024-04-13,1835,Aqua,MODIS,84,61.03,302.2,71.9,D,0
25.0543,-78.0801,314.1,2.1,1.4,2024-04-13,1835,Aqua,MODIS,25,61.03,300.3,16.9,D,0
25.0503,-78.1005,327.1,2.1,1.4,2024-04-13,1835,Aqua,MODIS,80,61.03,301.6,55.6,D,0
25.079,-78.086,317.4,2.1,1.4,2024-04-13,1835,Aqua,MODIS,45,61.03,301.8,22.2,D,0
25.1381,-78.0648,313,2.1,1.4,2024-04-13,1836,Aqua,MODIS,36,61.03,302.2,15.7,D,0
26.712,-77.3904,329.4,1.7,1.3,2024-04-13,1836,Aqua,MODIS,78,61.03,303.7,48.8,D,0
