latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
26.033,50.5551,304.5,1,1,2024-01-04,1822,Terra,MODIS,60,61.03,286.7,8,N,0
26.0392,50.5603,304.1,1.2,1.1,2024-01-31,2308,Aqua,MODIS,58,61.03,288.5,9.8,N,0
26.035,50.5589,311.2,1,1,2024-02-01,0644,Terra,MODIS,54,61.03,295.2,5.8,D,0
25.9984,50.5967,300.6,1.2,1.1,2024-03-11,2247,Aqua,MODIS,31,61.03,289.5,5.9,N,0
26.0481,50.58,307.7,1,1,2024-05-27,2300,Aqua,MODIS,72,61.03,297.4,4.6,N,0
26.0477,50.5762,312.9,1.1,1,2024-05-28,1803,Terra,MODIS,82,61.03,300.8,7.1,N,0
25.9964,50.5966,309.6,1,1,2024-08-15,2313,Aqua,MODIS,70,61.03,299.1,5.7,N,0
26.0355,50.5528,315.8,1.2,1.1,2024-08-26,1753,Terra,MODIS,85,61.03,305.8,9.1,N,0
26.1108,50.4903,313.9,1.6,1.2,2024-08-30,2330,Aqua,MODIS,87,61.03,301.5,15.4,N,2
26.1072,50.4985,312.8,1.6,1.2,2024-08-30,2330,Aqua,MODIS,85,61.03,301.7,14.3,N,2
26.0155,50.552,301,1,1,2024-12-27,1801,Terra,MODIS,37,61.03,286.9,5.8,N,0
