latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.5783,91.4682,302.1,2.7,1.6,2024-01-04,0707,Aqua,MODIS,0,61.03,291.3,10.4,D,0
21.2103,92.165,329.6,3.1,1.7,2024-01-06,2038,Aqua,MODIS,100,61.03,287.9,157.6,N,0
21.2096,92.1604,331.9,3.1,1.7,2024-01-06,2038,Aqua,MODIS,100,61.03,288,173.2,N,0
24.1055,90.0212,310.8,1.2,1.1,2024-01-07,0733,Aqua,MODIS,65,61.03,296.4,8.8,D,0
24.4994,89.2341,309,1.3,1.1,2024-01-07,0734,Aqua,MODIS,48,61.03,297,7.3,D,0
24.6021,89.679,301,1.5,1.2,2024-01-19,0429,Terra,MODIS,0,61.03,288.4,4.7,D,0
25.0064,92.2856,315,1,1,2024-01-19,0739,Aqua,MODIS,74,61.03,298.2,9,D,0
25.0181,92.3039,309.4,1,1,2024-01-19,0739,Aqua,MODIS,54,61.03,298.5,4.4,D,0
25.0438,92.1511,310,1,1,2024-01-19,0739,Aqua,MODIS,67,61.03,299.4,5.3,D,0
24.7102,89.6638,320.5,1.1,1,2024-01-19,0739,Aqua,MODIS,0,61.03,300.3,16.9,D,0
26.4408,88.5588,305.6,1.4,1.2,2024-01-22,0805,Aqua,MODIS,57,61.03,294.5,5.9,D,0
22.8993,91.7488,305.3,1.1,1.1,2024-01-24,0748,Aqua,MODIS,58,61.03,293.8,4.7,D,0
25.5068,89.6557,300.6,1.1,1,2024-01-26,0418,Terra,MODIS,0,61.03,289.8,3.9,D,0
25.3257,89.6307,302.8,1.1,1,2024-01-26,0418,Terra,MODIS,0,61.03,291.4,4.8,D,0
24.0151,89.7847,303.3,1.1,1.1,2024-01-26,0419,Terra,MODIS,55,61.03,293.2,5.2,D,0
23.9908,89.7583,305.4,1.1,1.1,2024-01-26,0419,Terra,MODIS,27,61.03,294,5.9,D,0
22.7901,91.3679,307.2,1.1,1,2024-01-26,0733,Aqua,MODIS,0,61.03,295,4.9,D,0
24.7988,90.0901,308.4,1.3,1.1,2024-01-29,0759,Aqua,MODIS,59,61.03,296.1,7.2,D,0
25.0563,91.834,306.4,1.7,1.3,2024-01-29,0759,Aqua,MODIS,58,61.03,295,7.6,D,0
