latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.3035,-59.6433,319.6,1,1,2024-03-24,1756,Aqua,MODIS,0,61.03,302.2,6.7,D,0
13.129,-59.5931,320.3,1.2,1.1,2024-05-04,1808,Aqua,MODIS,44,61.03,298,12.3,D,0
13.1713,-59.4875,331.1,1.3,1.1,2024-05-06,1341,Terra,MODIS,84,61.03,300.4,31.2,D,0
13.1269,-59.5363,322.1,1.1,1,2024-05-06,1752,Aqua,MODIS,67,61.03,300,9.9,D,2
13.2921,-59.6041,320.9,1.1,1,2024-05-06,1752,Aqua,MODIS,67,61.03,302.6,8.3,D,0
13.1537,-59.5659,305.6,2,1.4,2024-05-13,0116,Terra,MODIS,34,61.03,294.3,13.5,N,0
13.1456,-59.568,319.7,1.4,1.2,2024-05-13,1744,Aqua,MODIS,65,61.03,300.2,11.7,D,0
13.1558,-59.5696,339.2,1.4,1.2,2024-05-13,1744,Aqua,MODIS,89,61.03,300.6,51.8,D,0
13.1538,-59.5821,322.9,1.4,1.2,2024-05-13,1744,Aqua,MODIS,72,61.03,299.2,17.6,D,0
13.0655,-59.5219,329.4,1.2,1.1,2024-05-16,1808,Aqua,MODIS,62,61.03,297.2,22.9,D,0
13.1478,-59.5851,315.8,1.4,1.2,2024-05-31,1408,Terra,MODIS,51,61.03,297.4,8.4,D,0
