latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.7794,29.0448,300.4,1.2,1.1,2024-03-02,0854,Terra,MODIS,34,61.03,279.4,8.9,D,0
51.8886,29.3389,301.4,1.1,1,2024-03-02,1110,Aqua,MODIS,47,61.03,283.7,7.6,D,2
52.8445,29.9933,308.2,1,1,2024-03-07,1120,Aqua,MODIS,67,61.03,283.3,11.1,D,2
52.8424,29.9789,302,1,1,2024-03-07,1120,Aqua,MODIS,50,61.03,284.6,7.4,D,2
55.2576,29.8735,300.4,1,1,2024-03-07,1121,Aqua,MODIS,37,61.03,279.6,7.7,D,0
52.5197,26.8779,305.7,1.6,1.2,2024-03-08,1201,Aqua,MODIS,62,61.03,282.8,16.8,D,0
52.5211,26.8705,301,1.6,1.2,2024-03-08,1201,Aqua,MODIS,44,61.03,282.9,12.7,D,0
52.1735,24.8009,312.3,1,1,2024-03-10,1145,Aqua,MODIS,72,61.03,282.4,13.8,D,0
52.4125,24.846,304.1,1,1,2024-03-10,1145,Aqua,MODIS,58,61.03,282.8,8.1,D,0
54.6929,29.3531,310.9,1.5,1.2,2024-03-10,1146,Aqua,MODIS,71,61.03,278.8,22.9,D,0
54.6909,29.3309,302,1.4,1.2,2024-03-10,1146,Aqua,MODIS,50,61.03,278.3,13,D,0
52.8446,29.9867,319.3,1.1,1,2024-03-11,0825,Terra,MODIS,79,61.03,278.6,22.7,D,2
52.8427,30.002,300.2,1.1,1,2024-03-11,0825,Terra,MODIS,32,61.03,275.7,7.8,D,2
52.8461,29.989,300.1,1.1,1.1,2024-03-14,0849,Terra,MODIS,25,61.03,282.9,6.7,D,2
54.8471,29.0171,301.2,1,1,2024-03-14,1114,Aqua,MODIS,45,61.03,283,6.3,D,0
52.799,31.5334,301.4,1,1,2024-03-14,1114,Aqua,MODIS,44,61.03,284.4,5.5,D,0
52.8427,29.9893,314.3,1,1,2024-03-14,1114,Aqua,MODIS,75,61.03,287.5,14.4,D,2
54.8495,29.0323,302.5,1,1,2024-03-14,1114,Aqua,MODIS,53,61.03,282.7,7.1,D,0
53.3125,27.2895,302.3,1.6,1.2,2024-03-16,1058,Aqua,MODIS,51,61.03,280.7,13.3,D,0
53.3123,27.285,303.9,1.6,1.2,2024-03-16,1058,Aqua,MODIS,58,61.03,281.2,15.9,D,0
53.5341,23.9909,305.5,1.3,1.1,2024-03-21,0838,Terra,MODIS,61,61.03,281.5,12.8,D,0
52.8447,29.9895,301.2,1.1,1,2024-03-21,1107,Aqua,MODIS,45,61.03,288.9,6.1,D,2
52.4798,27.8928,303.7,1.1,1,2024-03-26,1116,Aqua,MODIS,49,61.03,288.8,7.1,D,0
52.7456,24.8666,313.9,1.2,1.1,2024-03-27,1157,Aqua,MODIS,70,61.03,277,18.7,D,0
53.2853,24.4151,310.4,1.2,1.1,2024-03-27,1157,Aqua,MODIS,70,61.03,285.9,12.2,D,0
53.2947,24.4121,303.7,1.2,1.1,2024-03-27,1157,Aqua,MODIS,49,61.03,284.6,6.9,D,0
51.8907,29.3422,303.2,1,1,2024-03-28,0827,Terra,MODIS,55,61.03,283.9,6.6,D,2
51.9293,29.3299,300.1,1.4,1.2,2024-03-28,1100,Aqua,MODIS,24,61.03,283.7,5.9,D,0
52.1959,27.6986,300.5,1.6,1.2,2024-03-28,1100,Aqua,MODIS,38,61.03,286.9,7.9,D,0
52.8448,29.9895,301.8,1.3,1.1,2024-03-28,1100,Aqua,MODIS,49,61.03,286.8,7.2,D,2
53.6578,31.711,310.5,1.3,1.1,2024-03-31,0850,Terra,MODIS,68,61.03,292.4,13.2,D,0
53.2105,31.7213,303.8,1.3,1.1,2024-03-31,0850,Terra,MODIS,57,61.03,290.7,5.2,D,0
52.8482,29.9981,305.7,1.2,1.1,2024-03-31,0850,Terra,MODIS,60,61.03,293.7,5.8,D,2
52.5257,25.5657,303.9,1,1,2024-03-31,0850,Terra,MODIS,50,61.03,284.5,3.9,D,0
53.9995,30.3687,305.8,1,1,2024-03-31,1125,Aqua,MODIS,57,61.03,293.3,4.2,D,0
53.845,31.5032,310,1.1,1,2024-03-31,1125,Aqua,MODIS,67,61.03,291.4,7.8,D,0
54.0856,31.4925,310.6,1.1,1,2024-03-31,1125,Aqua,MODIS,68,61.03,293.3,8.7,D,0
