latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.1695,3.8131,309.9,1.2,1.1,2024-01-04,1037,Terra,MODIS,60,61.03,274.2,16.3,D,2
51.1689,3.808,300,1.5,1.2,2024-01-07,2032,Terra,MODIS,11,61.03,272.1,17.4,N,2
51.1727,3.8048,303.3,1.1,1.1,2024-01-08,2113,Terra,MODIS,54,61.03,271.3,12.6,N,2
51.1729,3.8151,300.3,1.4,1.2,2024-01-09,0250,Aqua,MODIS,23,61.03,270.1,14.9,N,2
51.1711,3.814,302.8,1.9,1.3,2024-01-10,0946,Terra,MODIS,47,61.03,270.5,27.3,D,2
51.1731,3.8128,303.5,1,1,2024-01-10,2056,Terra,MODIS,56,61.03,269.2,11.6,N,2
51.1732,3.8096,308.4,1,1,2024-01-11,1026,Terra,MODIS,51,61.03,273.6,14,D,2
51.1688,3.8183,305.2,1,1,2024-01-23,1022,Terra,MODIS,57,61.03,272,10.3,D,2
51.1709,3.8045,303.3,1,1,2024-01-23,1022,Terra,MODIS,42,61.03,272.6,9.1,D,2
51.1707,3.8148,307.8,1,1,2024-01-25,0224,Aqua,MODIS,73,61.03,277.7,12.4,N,2
51.1679,3.8128,309.2,1.5,1.2,2024-01-26,1046,Terra,MODIS,52,61.03,281.3,21.5,D,2
51.1723,3.8148,306.3,1.2,1.1,2024-01-27,0208,Aqua,MODIS,39,61.03,275.4,15.5,N,2
51.1698,3.8192,303.3,1.7,1.3,2024-01-27,0948,Terra,MODIS,42,61.03,275.9,21.7,D,2
51.1674,3.8098,300.3,1,1,2024-01-27,2058,Terra,MODIS,23,61.03,273.4,9,N,2
51.1724,3.8098,300.7,1.3,1.1,2024-01-28,0249,Aqua,MODIS,32,61.03,270.4,14.7,N,2
51.1688,3.8089,306.4,1.4,1.2,2024-02-01,1329,Aqua,MODIS,0,61.03,282.1,16.1,D,2
51.1676,3.8086,307,1.1,1.1,2024-02-12,1252,Aqua,MODIS,38,61.03,279.9,11,D,2
51.1694,3.8113,309.2,1.6,1.2,2024-02-13,0950,Terra,MODIS,59,61.03,279.3,25,D,2
51.1637,3.8006,308.2,1,1,2024-02-17,1301,Aqua,MODIS,0,61.03,287,8.8,D,2
51.1659,3.8146,314.7,1,1,2024-02-17,1301,Aqua,MODIS,67,61.03,286.4,13.9,D,2
51.1655,3.813,303,1.2,1.1,2024-02-27,1321,Aqua,MODIS,47,61.03,275.5,10.2,D,2
51.1695,3.8201,306.5,1.4,1.2,2024-02-28,0251,Aqua,MODIS,68,61.03,275.7,18.8,N,2
51.166,3.8159,303.2,1.1,1.1,2024-03-02,1033,Terra,MODIS,42,61.03,278.1,10.1,D,2
51.1684,3.8185,301.6,1.7,1.3,2024-03-04,1233,Aqua,MODIS,36,61.03,286.5,13,D,2
51.1706,3.8095,301,1.6,1.2,2024-03-04,2125,Terra,MODIS,36,61.03,275.8,17.6,N,2
51.1733,3.8107,306.8,1.1,1,2024-03-06,2108,Terra,MODIS,69,61.03,278.5,13.3,N,2
51.0783,3.8468,306.4,1.3,1.1,2024-03-07,1039,Terra,MODIS,63,61.03,282,13.2,D,0
51.1683,3.818,309.7,1.3,1.1,2024-03-07,1039,Terra,MODIS,52,61.03,283.6,17.2,D,2
51.0685,3.842,309.2,1.3,1.1,2024-03-07,1039,Terra,MODIS,68,61.03,281.9,16.3,D,0
51.0996,3.15,320.8,1.1,1,2024-03-07,1258,Aqua,MODIS,76,61.03,283.1,22.8,D,0
51.1742,3.8095,309.8,1,1,2024-03-07,1258,Aqua,MODIS,0,61.03,288.2,11,D,2
51.1654,3.8133,303.5,1,1,2024-03-07,1258,Aqua,MODIS,39,61.03,287,6.5,D,2
51.1745,3.8184,309.1,1,1,2024-03-08,0229,Aqua,MODIS,76,61.03,276.1,13.7,N,2
51.1722,3.8142,311.5,2,1.4,2024-03-08,0941,Terra,MODIS,67,61.03,282.1,36,D,2
50.8525,3.3717,303,1.7,1.3,2024-03-08,1339,Aqua,MODIS,54,61.03,286.5,13.8,D,2
51.1649,3.8083,302.4,1,1,2024-03-09,1022,Terra,MODIS,39,61.03,285.9,6.3,D,2
51.1732,3.8181,305.1,1,1,2024-03-09,1022,Terra,MODIS,41,61.03,286.3,6.9,D,2
51.1734,3.8091,304,1.4,1.2,2024-03-09,1243,Aqua,MODIS,50,61.03,285.1,10.7,D,2
51.2283,5.387,301.2,1.2,1.1,2024-03-14,1028,Terra,MODIS,45,61.03,289.2,6.3,D,2
50.6739,4.218,301.4,1.1,1.1,2024-03-14,1028,Terra,MODIS,47,61.03,287.6,6,D,2
51.0023,3.8425,309.6,1.1,1,2024-03-14,1028,Terra,MODIS,69,61.03,286.5,11.9,D,0
51.167,3.8234,309.4,1.1,1,2024-03-14,1028,Terra,MODIS,69,61.03,286.3,10.9,D,2
51.1696,3.8085,324.4,1.1,1,2024-03-14,1028,Terra,MODIS,63,61.03,287.4,25.6,D,2
51.2561,4.3445,302,1.1,1.1,2024-03-14,1028,Terra,MODIS,0,61.03,287.5,6,D,2
51.0791,3.8201,303.5,1.1,1.1,2024-03-14,1252,Aqua,MODIS,44,61.03,283,7.3,D,0
51.1696,3.8085,313,1.2,1.1,2024-03-15,2040,Terra,MODIS,86,61.03,282,19.5,N,2
51.1673,3.8063,300.3,1.4,1.2,2024-03-18,0954,Terra,MODIS,0,61.03,282.3,5.9,D,2
51.1691,3.8121,325.2,1.2,1.1,2024-03-19,1034,Terra,MODIS,60,61.03,290.3,27.8,D,2
51.166,3.8286,311.8,1.2,1.1,2024-03-19,1034,Terra,MODIS,26,61.03,288.4,11.8,D,2
51.1644,3.8221,319.7,1.2,1.1,2024-03-19,1034,Terra,MODIS,80,61.03,288.7,21.7,D,2
51.1674,3.8056,309.5,1.2,1.1,2024-03-19,1034,Terra,MODIS,41,61.03,289.2,10.5,D,2
51.1705,3.8048,308.5,1,1,2024-03-19,1301,Aqua,MODIS,58,61.03,282.1,8.4,D,2
49.8408,4.942,300.1,1.3,1.1,2024-03-22,1326,Aqua,MODIS,25,61.03,289.1,5.5,D,0
51.1701,3.8224,318.8,1.8,1.3,2024-03-25,0943,Terra,MODIS,60,61.03,284.2,44.5,D,2
51.1645,3.814,312,1.6,1.2,2024-03-27,1335,Aqua,MODIS,39,61.03,277.7,25.4,D,2
51.1724,3.8142,310.5,1.3,1.1,2024-03-27,2035,Terra,MODIS,80,61.03,278.7,19.8,N,2
51.1653,3.8172,307.8,1.3,1.1,2024-03-28,2116,Terra,MODIS,73,61.03,277.7,17.1,N,2
51.1712,3.8091,311.2,1,1,2024-03-30,2059,Terra,MODIS,82,61.03,276.9,14.6,N,2
51.1723,3.8114,321.9,1.1,1.1,2024-03-31,1029,Terra,MODIS,61,61.03,288.6,22.4,D,2
51.1644,3.8055,307.8,1,1,2024-04-05,1312,Aqua,MODIS,0,61.03,291.7,6.8,D,2
51.1752,3.8096,308.5,1,1,2024-04-05,1312,Aqua,MODIS,51,61.03,293.8,8.2,D,2
51.1712,3.8157,307.8,1,1,2024-04-07,1018,Terra,MODIS,50,61.03,291.2,6.6,D,2
50.9716,3.1811,304.3,1.2,1.1,2024-04-07,1256,Aqua,MODIS,53,61.03,291.7,6.1,D,0
51.1698,3.815,310.7,1.1,1,2024-04-07,1256,Aqua,MODIS,56,61.03,294.9,8.5,D,2
51.1706,3.8085,312.4,1.2,1.1,2024-04-09,2111,Terra,MODIS,85,61.03,281.2,19.2,N,2
51.1677,3.8089,321.2,1.1,1.1,2024-04-10,1321,Aqua,MODIS,61,61.03,295.2,20.3,D,2
51.176,3.8133,310.8,1.1,1,2024-04-15,0220,Aqua,MODIS,81,61.03,281.1,16.2,N,2
51.1651,3.816,315.2,1,1,2024-04-16,2059,Terra,MODIS,91,61.03,279,18.1,N,2
51.174,3.813,311.6,1,1,2024-04-16,2059,Terra,MODIS,83,61.03,279.6,14.9,N,2
51.1783,3.8097,306,1.1,1,2024-04-18,0245,Aqua,MODIS,66,61.03,278.2,12.9,N,2
51.1722,3.8103,308.4,1.5,1.2,2024-04-21,1241,Aqua,MODIS,25,61.03,280,16.3,D,2
51.1668,3.8127,308.1,2.2,1.4,2024-04-27,2014,Terra,MODIS,73,61.03,281.6,35.3,N,2
51.1749,3.8215,318.2,1.6,1.2,2024-04-29,0204,Aqua,MODIS,96,61.03,279.7,40.4,N,2
51.177,3.8156,306.4,1.1,1,2024-04-29,1024,Terra,MODIS,48,61.03,293.8,5,D,2
51.1701,3.8068,325.2,1.1,1,2024-04-29,1024,Terra,MODIS,73,61.03,293.1,24.1,D,2
51.1677,3.8214,328.9,1.1,1,2024-04-29,1024,Terra,MODIS,86,61.03,292.3,28.9,D,2
50.4188,4.0161,304.3,1.1,1,2024-04-29,1025,Terra,MODIS,58,61.03,289.8,5.7,D,0
51.1699,3.8148,321.8,1,1,2024-04-29,1314,Aqua,MODIS,61,61.03,290.7,17,D,2
51.1683,3.8222,302.4,1,1,2024-05-01,1007,Terra,MODIS,30,61.03,283.7,4,D,2
51.1702,3.8078,316,1,1,2024-05-01,1007,Terra,MODIS,56,61.03,286.6,13.8,D,2
50.9982,3.7769,319.2,1,1,2024-05-01,1007,Terra,MODIS,77,61.03,291.2,14.5,D,2
50.9964,3.7912,315.6,1,1,2024-05-01,1007,Terra,MODIS,74,61.03,292.6,11.3,D,2
50.9126,3.3617,311.5,1.1,1,2024-05-01,1007,Terra,MODIS,68,61.03,292.7,7,D,2
51.1541,3.6886,304.8,1.1,1,2024-05-01,1258,Aqua,MODIS,33,61.03,289.7,3.9,D,0
51.1661,3.8134,311.6,1.1,1,2024-05-01,1258,Aqua,MODIS,52,61.03,292.5,7.9,D,2
51.1751,3.8094,311.6,1.1,1,2024-05-01,1258,Aqua,MODIS,0,61.03,294.4,7.3,D,2
51.2161,3.7859,310.5,1.1,1,2024-05-01,1258,Aqua,MODIS,0,61.03,289.8,7.3,D,0
51.173,3.8183,316,1,1,2024-05-02,0229,Aqua,MODIS,92,61.03,287.4,16.7,N,2
51.1688,3.8073,317.3,1,1,2024-05-03,2059,Terra,MODIS,95,61.03,282.9,19.7,N,2
51.1717,3.8191,309.7,1.3,1.1,2024-05-04,0213,Aqua,MODIS,78,61.03,280,19.4,N,2
51.1727,3.8139,313.6,1.3,1.1,2024-05-04,0213,Aqua,MODIS,86,61.03,281.3,22.6,N,2
51.1706,3.8206,305.6,1.3,1.1,2024-05-05,0253,Aqua,MODIS,65,61.03,281.5,14.9,N,2
51.1683,3.8108,308.8,1.1,1,2024-05-05,2042,Terra,MODIS,76,61.03,280.5,13.8,N,2
51.1654,3.8121,301.3,2.1,1.4,2024-05-07,1053,Terra,MODIS,20,61.03,287.1,10.6,D,2
51.3383,4.773,302.9,2.3,1.5,2024-05-07,1053,Terra,MODIS,44,61.03,288.3,13.9,D,0
51.1669,3.8199,301.6,2.1,1.4,2024-05-07,1053,Terra,MODIS,38,61.03,287.1,11.5,D,2
51.1772,3.8184,305.3,1.1,1.1,2024-05-09,0221,Aqua,MODIS,64,61.03,282.3,11.7,N,2
51.1718,3.8265,309.3,1.9,1.4,2024-05-10,0938,Terra,MODIS,33,61.03,293,14,D,2
