latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
17.2455,-88.6285,313.5,1.5,1.2,2024-01-06,2000,Aqua,MODIS,61,61.03,302.4,9.2,D,0
17.9316,-88.7759,319.4,1,1,2024-01-08,1945,Aqua,MODIS,77,61.03,294.4,13.1,D,0
17.7708,-88.5482,305.4,1,1,2024-01-08,1945,Aqua,MODIS,47,61.03,284.7,5.2,D,0
17.3298,-88.7634,312.8,3.4,1.7,2024-01-15,1636,Terra,MODIS,67,61.03,293.5,44.2,D,0
18.0681,-88.2062,326.6,1,1,2024-01-15,1940,Aqua,MODIS,81,61.03,299.1,18.5,D,0
18.0667,-88.2156,320.1,1,1,2024-01-15,1940,Aqua,MODIS,70,61.03,300.3,11,D,0
18.2247,-88.5757,312.2,1.1,1,2024-01-20,1950,Aqua,MODIS,62,61.03,296.6,4.7,D,0
18.4382,-88.3688,311.7,1,1,2024-01-27,1945,Aqua,MODIS,62,61.03,297.7,5.4,D,0
18.4396,-88.3595,310.2,1,1,2024-01-27,1945,Aqua,MODIS,58,61.03,297.4,4.5,D,0
18.0303,-88.4905,305.4,1.3,1.1,2024-01-28,0324,Terra,MODIS,64,61.03,293.2,6.9,N,0
17.3888,-88.6644,317.1,1,1,2024-01-31,1558,Terra,MODIS,72,61.03,295.2,10.6,D,0
17.3976,-88.6631,332.4,1,1,2024-01-31,1558,Terra,MODIS,87,61.03,296.8,28.3,D,0
18.0725,-88.5384,306.6,1,1,2024-01-31,1558,Terra,MODIS,55,61.03,294.5,4.2,D,0
17.3963,-88.6539,324.8,1,1,2024-01-31,1558,Terra,MODIS,82,61.03,296.3,18.8,D,0
17.9829,-88.2681,316.8,1.2,1.1,2024-02-01,1954,Aqua,MODIS,72,61.03,298.7,12.5,D,0
17.9844,-88.2568,313.9,1.2,1.1,2024-02-01,1954,Aqua,MODIS,57,61.03,299,8.1,D,0
18.1468,-88.4181,314,1.2,1.1,2024-02-01,1955,Aqua,MODIS,68,61.03,297.3,9.5,D,0
18.1483,-88.407,313.1,1.2,1.1,2024-02-01,1955,Aqua,MODIS,61,61.03,298.4,8.3,D,0
16.578,-88.4869,316.2,1.1,1,2024-02-03,1939,Aqua,MODIS,67,61.03,300.7,7.5,D,0
16.6346,-88.5929,313,1.1,1,2024-02-03,1939,Aqua,MODIS,59,61.03,300.7,6.4,D,0
16.5848,-88.4819,302.5,1.4,1.2,2024-02-04,0750,Aqua,MODIS,49,61.03,292.3,6.7,N,0
16.5907,-88.483,319.3,3.1,1.7,2024-02-04,1524,Terra,MODIS,75,61.03,296.5,59.8,D,0
16.5883,-88.4617,313.2,3.1,1.7,2024-02-04,1524,Terra,MODIS,66,61.03,296.3,35.6,D,0
17.3942,-88.6555,314.4,1,1,2024-02-05,1604,Terra,MODIS,72,61.03,301.3,8.6,D,0
16.1859,-89.0342,310.6,1,1,2024-02-05,1605,Terra,MODIS,64,61.03,298.5,6.5,D,0
17.2661,-88.5947,317.1,1.2,1.1,2024-02-07,1547,Terra,MODIS,76,61.03,296,16.2,D,0
17.2646,-88.5836,308.9,1.2,1.1,2024-02-07,1547,Terra,MODIS,66,61.03,295.8,7.8,D,0
17.3916,-88.6473,308.5,2.5,1.5,2024-02-08,1628,Terra,MODIS,31,61.03,291.3,19.5,D,0
18.309,-88.3076,308,1.5,1.2,2024-02-09,0320,Terra,MODIS,73,61.03,291,15.3,N,0
18.3068,-88.3212,301.1,1.5,1.2,2024-02-09,0320,Terra,MODIS,38,61.03,290.6,8,N,0
16.6193,-88.3918,319.6,1.3,1.1,2024-02-10,1933,Aqua,MODIS,73,61.03,303.7,14.7,D,0
17.3418,-88.7531,321.2,1.3,1.1,2024-02-10,1933,Aqua,MODIS,75,61.03,304.1,16.7,D,0
17.9857,-88.2643,313.9,1.2,1.1,2024-02-10,1933,Aqua,MODIS,58,61.03,297.1,9,D,0
18.3007,-88.339,322.5,1.2,1.1,2024-02-10,1933,Aqua,MODIS,65,61.03,299.3,16.4,D,0
18.3051,-88.334,332,1.2,1.1,2024-02-10,1933,Aqua,MODIS,85,61.03,298.8,35.5,D,0
16.5888,-88.5249,319.1,2.4,1.5,2024-02-11,2014,Aqua,MODIS,67,61.03,305.9,27.1,D,0
17.2752,-88.5927,318.9,1,1,2024-02-12,1554,Terra,MODIS,73,61.03,301.3,11.1,D,0
17.2739,-88.5831,363.8,1,1,2024-02-12,1554,Terra,MODIS,100,61.03,302.7,95.8,D,0
17.3737,-88.8376,313.9,3.2,1.7,2024-02-13,1634,Terra,MODIS,60,61.03,290.6,45.6,D,0
17.3588,-88.8406,313.9,3.2,1.7,2024-02-13,1634,Terra,MODIS,62,61.03,290.9,45.3,D,0
17.3606,-88.8471,322.1,3.2,1.7,2024-02-13,1634,Terra,MODIS,79,61.03,291,83.5,D,0
17.369,-88.8196,345.2,1,1,2024-02-17,1600,Terra,MODIS,93,61.03,298.6,46.4,D,0
17.3676,-88.8104,343.1,1,1,2024-02-17,1600,Terra,MODIS,92,61.03,297.8,42.4,D,0
17.3588,-88.8118,316.3,1,1,2024-02-17,1600,Terra,MODIS,70,61.03,297.8,8.6,D,0
16.6044,-88.5394,315.1,1.6,1.3,2024-02-17,1927,Aqua,MODIS,50,61.03,298.5,13.4,D,0
17.3525,-89.0326,315.7,1.7,1.3,2024-02-17,1927,Aqua,MODIS,68,61.03,295.3,17.1,D,0
17.3538,-89.0235,315.4,1.7,1.3,2024-02-17,1927,Aqua,MODIS,63,61.03,296.5,15.2,D,0
16.5169,-88.491,327.8,1.1,1,2024-02-20,1952,Aqua,MODIS,82,61.03,306.2,18,D,0
16.5785,-88.4361,350.2,1.1,1,2024-02-20,1952,Aqua,MODIS,96,61.03,303.8,60,D,0
16.5772,-88.4459,324,1.1,1,2024-02-20,1952,Aqua,MODIS,79,61.03,302.5,14.7,D,0
16.5877,-88.4374,317.6,1.1,1,2024-02-20,1952,Aqua,MODIS,50,61.03,301,7.6,D,0
17.2939,-88.7927,325.1,1.1,1,2024-02-20,1953,Aqua,MODIS,80,61.03,299.9,18.6,D,0
17.2926,-88.8024,328.5,1.1,1,2024-02-20,1953,Aqua,MODIS,83,61.03,302,22.8,D,0
17.1675,-88.5245,300.3,1,1,2024-02-21,0804,Aqua,MODIS,24,61.03,288.3,5.2,N,0
18.4339,-88.4486,308.5,1.1,1,2024-02-22,1606,Terra,MODIS,58,61.03,298.5,5,D,0
16.5266,-88.4428,320.5,1.2,1.1,2024-02-22,1606,Terra,MODIS,77,61.03,301.5,13.9,D,0
18.1696,-88.6,313.6,1.1,1.1,2024-02-22,1937,Aqua,MODIS,56,61.03,302.6,5.7,D,0
17.8228,-88.884,313.4,1.2,1.1,2024-02-22,1937,Aqua,MODIS,54,61.03,302.2,7.8,D,0
17.8285,-88.8805,311.7,1.2,1.1,2024-02-22,1937,Aqua,MODIS,56,61.03,301.6,5.6,D,0
18.0243,-88.5307,313.4,1.1,1.1,2024-02-22,1937,Aqua,MODIS,63,61.03,302.5,7.3,D,0
17.9708,-89.0561,321.8,1.2,1.1,2024-02-22,1937,Aqua,MODIS,76,61.03,307.8,16.1,D,0
18.1712,-88.5896,320.5,1.1,1.1,2024-02-22,1937,Aqua,MODIS,75,61.03,302.8,12.7,D,0
17.1649,-88.523,304.6,1.4,1.2,2024-02-26,0321,Terra,MODIS,61,61.03,291.9,9.5,N,0
17.1602,-88.5287,302.3,1.4,1.2,2024-02-26,0321,Terra,MODIS,48,61.03,291.7,7.2,N,0
17.8366,-88.9132,306.1,2,1.4,2024-02-27,0402,Terra,MODIS,67,61.03,292.4,19.4,N,0
17.8387,-88.8944,307.6,2,1.4,2024-02-27,0402,Terra,MODIS,72,61.03,292.3,22.5,N,0
17.8441,-88.9077,315.2,2,1.4,2024-02-27,0402,Terra,MODIS,91,61.03,292.3,37.1,N,0
17.3539,-88.7444,324.8,1.4,1.2,2024-02-27,1612,Terra,MODIS,81,61.03,300.3,26.2,D,0
