latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
26.8408,90.4656,312.4,1.1,1,2024-01-07,0734,Aqua,MODIS,72,61.03,298.5,7.1,D,0
26.9289,89.2467,302.6,1.3,1.1,2024-01-10,0800,Aqua,MODIS,51,61.03,291,7.9,D,0
27.3835,90.5694,308.4,1,1,2024-01-12,0745,Aqua,MODIS,67,61.03,289.7,9.3,D,0
27.3821,90.5592,313.1,1,1,2024-01-12,0745,Aqua,MODIS,73,61.03,292.5,12.4,D,0
27.3932,90.57,324.7,2.3,1.5,2024-01-13,0341,Terra,MODIS,83,61.03,287.5,78.5,D,0
27.4427,91.9762,313.3,1,1,2024-01-14,0729,Aqua,MODIS,74,61.03,285,14.3,D,0
27.4522,91.9798,309.3,1,1,2024-01-14,0729,Aqua,MODIS,67,61.03,286.1,11.8,D,0
27.4506,91.9695,326.5,1,1,2024-01-14,0729,Aqua,MODIS,84,61.03,285.1,28.7,D,0
26.7909,90.6668,304,2.1,1.4,2024-01-16,0714,Aqua,MODIS,58,61.03,290,17,D,0
26.7795,90.8208,311,2,1.4,2024-01-16,0714,Aqua,MODIS,71,61.03,290.8,26.9,D,0
26.7757,90.8012,308.4,2,1.4,2024-01-16,0714,Aqua,MODIS,67,61.03,290.7,22.5,D,0
26.7889,90.8888,303.9,1.3,1.1,2024-01-17,0755,Aqua,MODIS,57,61.03,291.7,7.4,D,0
26.7887,90.9643,303.6,3.7,1.8,2024-01-18,0658,Aqua,MODIS,57,61.03,287.8,34.9,D,0
26.7772,90.7496,309.6,1.4,1.2,2024-01-21,0724,Aqua,MODIS,65,61.03,291.1,13.5,D,0
26.7748,90.7358,334.3,1.4,1.2,2024-01-21,0724,Aqua,MODIS,84,61.03,291.5,55.6,D,0
26.7942,90.6678,303.2,1.3,1.1,2024-01-23,0354,Terra,MODIS,55,61.03,291.3,7.4,D,0
26.7927,90.6804,323.2,1.3,1.1,2024-01-23,0354,Terra,MODIS,82,61.03,292,30.7,D,0
27.0392,89.3872,316.1,1,1,2024-02-07,0413,Terra,MODIS,76,61.03,284.4,16,D,0
27.0377,89.3971,318.7,1,1,2024-02-07,0413,Terra,MODIS,79,61.03,287.4,18.1,D,0
26.7797,90.9417,350.5,1.1,1,2024-02-14,0733,Aqua,MODIS,96,61.03,302,66.3,D,0
26.785,90.9352,324.1,1.1,1,2024-02-14,0733,Aqua,MODIS,82,61.03,298,21.3,D,0
27.219,89.8812,314.4,2,1.4,2024-02-16,0346,Terra,MODIS,75,61.03,287.6,39.6,D,0
27.2262,89.8779,316,2,1.4,2024-02-16,0346,Terra,MODIS,76,61.03,286.7,40.8,D,0
27.2209,89.8615,303,2,1.4,2024-02-16,0346,Terra,MODIS,54,61.03,287.6,18.3,D,0
27.2195,89.8671,317.8,2.2,1.4,2024-02-16,0717,Aqua,MODIS,78,61.03,287.8,56.2,D,0
26.8624,90.4986,324,1.1,1,2024-02-24,0752,Aqua,MODIS,81,61.03,304.2,16.1,D,0
27.482,89.587,308.6,4.8,2,2024-02-25,0833,Aqua,MODIS,34,61.03,279.9,101.1,D,0
27.0087,90.3953,300.4,1.1,1.1,2024-02-26,0358,Terra,MODIS,35,61.03,289.7,5.8,D,0
26.8542,91.1622,306.6,1,1,2024-02-26,0736,Aqua,MODIS,57,61.03,285.8,6.4,D,0
26.8527,91.1523,307.2,1,1,2024-02-26,0736,Aqua,MODIS,57,61.03,286.3,6.8,D,0
26.8625,90.4351,313.8,1.8,1.3,2024-02-28,0721,Aqua,MODIS,30,61.03,297.6,15.5,D,0
27.1345,89.1405,321,1,1,2024-03-02,0746,Aqua,MODIS,79,61.03,294.7,17.9,D,0
26.968,91.2062,305.7,2.1,1.4,2024-03-06,0714,Aqua,MODIS,37,61.03,289.7,14.1,D,0
26.8543,91.1106,328.1,1,1,2024-03-09,0739,Aqua,MODIS,82,61.03,294.8,23.9,D,0
26.8558,91.1204,368.9,1,1,2024-03-09,0739,Aqua,MODIS,100,61.03,297.7,111.2,D,0
