latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
44.9314,15.7458,305.2,1.2,1.1,2024-01-04,1210,Aqua,MODIS,61,61.03,287.3,9.9,D,0
42.9255,17.9704,304.2,1.3,1.1,2024-01-26,1235,Aqua,MODIS,41,61.03,287.5,9,D,0
42.9154,17.9714,314.1,1.3,1.1,2024-01-26,1235,Aqua,MODIS,74,61.03,286.1,19.5,D,0
43.0744,18.2238,309,1.3,1.1,2024-01-26,1235,Aqua,MODIS,68,61.03,281.1,16.5,D,0
43.0501,18.3379,305.3,1,1,2024-01-28,1219,Aqua,MODIS,54,61.03,279.9,9.2,D,0
43.199,17.4423,301.2,1,1,2024-01-28,1219,Aqua,MODIS,45,61.03,285.5,5.9,D,0
43.5355,17.2107,309.1,1,1,2024-01-28,1219,Aqua,MODIS,68,61.03,281.9,11.5,D,0
43.3354,17.6673,300.9,1.2,1.1,2024-01-30,1204,Aqua,MODIS,25,61.03,288.2,6.3,D,0
43.3475,17.6784,303.5,1.2,1.1,2024-01-30,1204,Aqua,MODIS,56,61.03,287.8,7.8,D,0
43.3528,18.2981,302.8,1.1,1.1,2024-01-30,1204,Aqua,MODIS,44,61.03,277,9.6,D,0
43.2029,18.3089,300.7,1.1,1.1,2024-01-30,1204,Aqua,MODIS,41,61.03,281.3,8.8,D,0
43.2058,18.3813,318.4,1.1,1.1,2024-01-30,1204,Aqua,MODIS,78,61.03,280,25.2,D,0
42.9281,17.8764,302,1.2,1.1,2024-01-30,1204,Aqua,MODIS,50,61.03,286.2,8.7,D,0
43.54,17.3136,303,1,1,2024-01-31,0916,Terra,MODIS,54,61.03,281.6,8.5,D,0
43.2539,18.535,300.3,1,1,2024-01-31,0916,Terra,MODIS,28,61.03,278.5,7.7,D,0
43.2806,18.3875,317,1.8,1.3,2024-01-31,1245,Aqua,MODIS,68,61.03,283.3,37.5,D,0
43.2789,18.366,318.1,1.8,1.3,2024-01-31,1245,Aqua,MODIS,71,61.03,284.8,39.4,D,0
43.2924,18.385,335.8,1.8,1.3,2024-01-31,1245,Aqua,MODIS,90,61.03,283.4,90,D,0
43.6306,17.2882,301.5,1.6,1.2,2024-01-31,1245,Aqua,MODIS,47,61.03,284.5,11.3,D,0
43.3169,18.2471,307,1.8,1.3,2024-01-31,1245,Aqua,MODIS,62,61.03,282.6,20.2,D,0
