latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-19.1526,23.1997,323.2,1.4,1.2,2024-01-02,0756,Terra,MODIS,0,61.03,301.3,17.7,D,0
-19.0602,23.071,317.3,2.7,1.6,2024-01-02,1207,Aqua,MODIS,14,61.03,294.6,28.1,D,0
-22.2157,21.0518,338.7,1,1,2024-01-03,1248,Aqua,MODIS,76,61.03,312.6,22,D,0
-20.8436,23.2411,331,1.1,1.1,2024-01-05,0820,Terra,MODIS,79,61.03,305.2,16.9,D,0
-25.1265,23.5868,349.6,1.1,1.1,2024-01-05,2028,Terra,MODIS,100,61.03,297.6,68.8,N,0
-25.1279,23.5759,316.6,1.1,1.1,2024-01-05,2028,Terra,MODIS,94,61.03,294.1,14.3,N,0
-25.1144,23.6071,327.6,1.1,1,2024-01-05,2028,Terra,MODIS,100,61.03,295.1,27.1,N,0
-25.1158,23.5963,375.8,1.1,1,2024-01-05,2028,Terra,MODIS,100,61.03,300.2,156.1,N,0
-25.1171,23.5854,423.8,1.1,1.1,2024-01-05,2028,Terra,MODIS,100,61.03,309.1,495.6,N,0
-25.1185,23.5745,316,1.1,1.1,2024-01-05,2028,Terra,MODIS,92,61.03,294.5,13.5,N,0
-25.1064,23.5948,378,1.1,1,2024-01-05,2028,Terra,MODIS,100,61.03,298.3,167,N,0
-25.1078,23.5839,381,1.1,1.1,2024-01-05,2028,Terra,MODIS,100,61.03,298.8,181.1,N,0
-25.1224,23.6194,313.5,1.1,1,2024-01-05,2028,Terra,MODIS,81,61.03,294.5,11.2,N,0
-25.1331,23.61,307.8,1.1,1,2024-01-05,2028,Terra,MODIS,71,61.03,294.6,7.4,N,0
-25.1251,23.5977,308.6,1.1,1,2024-01-05,2028,Terra,MODIS,44,61.03,294.7,6.9,N,0
-25.1238,23.6086,319.6,1.1,1,2024-01-05,2028,Terra,MODIS,99,61.03,294.7,17.6,N,0
