latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.2788,114.3094,317.8,1.5,1.2,2024-01-24,0605,Aqua,MODIS,50,61.03,289.6,20.1,D,0
4.2768,114.2964,336.7,1.5,1.2,2024-01-24,0605,Aqua,MODIS,88,61.03,294.8,60.1,D,0
4.2743,114.3012,324.5,2.2,1.4,2024-01-25,0646,Aqua,MODIS,69,61.03,277.1,65.9,D,0
4.2725,114.2986,309.3,1.3,1.1,2024-01-25,1427,Terra,MODIS,77,61.03,292.5,10.7,N,0
4.2734,114.2962,329.9,1.1,1,2024-01-29,0615,Aqua,MODIS,0,61.03,297,25.4,D,0
4.2659,114.3038,318.8,1.1,1,2024-01-29,0615,Aqua,MODIS,63,61.03,297,11.3,D,0
4.2645,114.2943,338.4,1.1,1,2024-01-29,0615,Aqua,MODIS,52,61.03,293.5,37.2,D,0
4.2748,114.3057,328.4,1.1,1,2024-01-29,0615,Aqua,MODIS,75,61.03,297.6,23.5,D,0
4.3449,114.3202,312.3,2.1,1.4,2024-02-19,0558,Aqua,MODIS,49,61.03,294.7,19.2,D,0
4.7674,114.6528,317.6,1.3,1.1,2024-02-24,0607,Aqua,MODIS,70,61.03,297,13,D,0
4.896,114.8076,318,1.1,1.1,2024-02-26,0225,Terra,MODIS,75,61.03,297.8,12.5,D,0
4.7583,114.6478,313.6,1,1,2024-03-09,0221,Terra,MODIS,58,61.03,297.2,6.6,D,0
4.5811,114.2105,312.3,2.6,1.6,2024-03-09,0555,Aqua,MODIS,19,61.03,296.9,21.9,D,2
4.5483,114.5007,312.2,2.5,1.5,2024-03-09,0555,Aqua,MODIS,64,61.03,296.2,22.9,D,0
4.6665,114.4635,316.3,1,1,2024-03-12,0620,Aqua,MODIS,41,61.03,297.4,8.8,D,0
4.8112,114.7007,314.4,1,1,2024-03-12,0620,Aqua,MODIS,61,61.03,297.4,6.9,D,2
4.8149,114.6639,322.1,1,1,2024-03-12,0620,Aqua,MODIS,52,61.03,299.5,11.6,D,2
4.7448,114.6254,318.5,1,1,2024-03-12,0620,Aqua,MODIS,66,61.03,285.6,10.5,D,0
4.8099,114.6918,316.1,1,1,2024-03-12,0620,Aqua,MODIS,41,61.03,297.6,7.7,D,2
4.6309,114.3852,302.5,1.2,1.1,2024-03-12,1838,Aqua,MODIS,44,61.03,290.9,6.3,N,0
4.2674,114.3008,314.1,3.9,1.8,2024-03-13,0701,Aqua,MODIS,0,61.03,293.2,49.7,D,0
4.2768,114.2931,308.5,1.7,1.3,2024-03-14,0604,Aqua,MODIS,48,61.03,285.6,12.8,D,0
4.6052,114.3842,320.2,1,1,2024-03-21,0216,Terra,MODIS,73,61.03,296.2,11.5,D,0
4.8029,114.6644,319.4,2.2,1.4,2024-03-21,0557,Aqua,MODIS,68,61.03,294.7,34.5,D,2
4.6001,114.3817,313,2.3,1.5,2024-03-21,0557,Aqua,MODIS,40,61.03,293.5,19.9,D,0
4.8034,114.6693,316.9,2.2,1.4,2024-03-21,0557,Aqua,MODIS,65,61.03,294.5,27.3,D,2
4.8004,114.6499,312.9,2.2,1.4,2024-03-21,0557,Aqua,MODIS,27,61.03,295.4,16.5,D,2
4.6492,114.4433,320.1,1.1,1,2024-03-26,0222,Terra,MODIS,0,61.03,303.3,9.7,D,0
4.3453,114.3174,316.3,1.1,1,2024-03-26,0223,Terra,MODIS,62,61.03,303,8.5,D,0
4.6068,114.3758,318.3,1,1,2024-03-26,1824,Aqua,MODIS,97,61.03,293.7,15.1,N,0
4.5977,114.3745,303.2,1,1,2024-03-26,1824,Aqua,MODIS,54,61.03,292.8,3.5,N,0
4.9718,114.9381,316.5,2.9,1.6,2024-03-28,0551,Aqua,MODIS,30,61.03,292.9,26.9,D,2
4.9659,114.9174,320.5,2.9,1.6,2024-03-28,0551,Aqua,MODIS,50,61.03,291.8,46.2,D,2
4.9803,114.9152,338.3,2.9,1.6,2024-03-28,0551,Aqua,MODIS,68,61.03,291.7,152.5,D,0
4.982,114.9102,326.5,2.9,1.6,2024-03-28,0551,Aqua,MODIS,0,61.03,291.5,76.9,D,0
4.9676,114.9125,333.7,2.9,1.6,2024-03-28,0551,Aqua,MODIS,82,61.03,291.9,122.4,D,2
4.9806,114.9125,324.8,1.2,1.1,2024-03-29,0632,Aqua,MODIS,50,61.03,303.4,11.5,D,0
4.9821,114.9228,323.8,1.2,1.1,2024-03-29,0632,Aqua,MODIS,39,61.03,301.7,8.9,D,0
4.9792,114.9022,333.1,1.2,1.1,2024-03-29,0632,Aqua,MODIS,57,61.03,302.4,24.5,D,2
4.5764,114.2067,309.7,4.8,2,2024-04-04,0543,Aqua,MODIS,44,61.03,293,42.5,D,2
4.8191,114.8944,320.4,1.1,1,2024-04-12,0617,Aqua,MODIS,34,61.03,302.3,11.6,D,0
4.8177,114.885,322.3,1.1,1,2024-04-12,0617,Aqua,MODIS,52,61.03,301.8,13.7,D,0
4.8978,114.7994,320.1,1.1,1,2024-04-12,0617,Aqua,MODIS,41,61.03,303.2,11.2,D,0
4.762,114.6137,317.2,1.1,1,2024-05-06,0618,Aqua,MODIS,0,61.03,299.1,8.9,D,0
4.9014,114.8025,315.7,1.1,1,2024-05-06,0618,Aqua,MODIS,61,61.03,298.2,7.4,D,0
4.2709,114.2995,304.2,1.4,1.2,2024-05-13,1423,Terra,MODIS,38,61.03,286.8,8,N,0
4.2636,114.307,322.9,1,1,2024-05-15,1406,Terra,MODIS,100,61.03,291,18.8,N,0
4.2681,114.3076,312.7,2.2,1.4,2024-05-20,0149,Terra,MODIS,26,61.03,290.7,17.7,D,0
4.6667,114.4636,315.2,1.5,1.2,2024-05-21,0229,Terra,MODIS,38,61.03,284.3,18.2,D,0
4.6693,114.4625,307.5,1.7,1.3,2024-05-25,0609,Aqua,MODIS,0,61.03,280.4,8.4,D,0
4.6692,114.4679,323.3,1,1,2024-06-09,0210,Terra,MODIS,70,61.03,297.5,12.9,D,2
4.6653,114.4724,310,3.8,1.8,2024-06-13,0135,Terra,MODIS,0,61.03,288.3,30.4,D,2
4.3429,114.3224,314.7,1.1,1,2024-06-26,0636,Aqua,MODIS,33,61.03,297.3,7,D,0
4.3503,114.3166,308.9,1.7,1.3,2024-06-29,0230,Terra,MODIS,54,61.03,292.4,10.4,D,0
4.6677,114.4605,307.3,1.2,1.1,2024-07-08,0200,Terra,MODIS,40,61.03,279.5,5.6,D,0
4.2744,114.2976,323,1,1,2024-07-20,0630,Aqua,MODIS,39,61.03,303.4,13.4,D,0
4.3473,114.3147,311.8,2.6,1.5,2024-07-26,0237,Terra,MODIS,55,61.03,295.9,22.2,D,0
4.2723,114.2969,313,2.6,1.5,2024-07-26,0237,Terra,MODIS,51,61.03,297.1,24,D,0
4.6679,114.4604,316.5,1.2,1.1,2024-08-16,0645,Aqua,MODIS,0,61.03,294.1,9,D,0
4.2654,114.2955,310.2,2.3,1.5,2024-09-06,0610,Aqua,MODIS,29,61.03,287,15.4,D,0
4.3468,114.3037,313.7,2.3,1.5,2024-09-06,0610,Aqua,MODIS,37,61.03,294.6,20.3,D,0
4.3473,114.3196,312.4,2.3,1.5,2024-09-06,0610,Aqua,MODIS,50,61.03,294.2,20.2,D,0
4.2661,114.3133,310.7,3,1.6,2024-09-08,0238,Terra,MODIS,31,61.03,292.3,22.9,D,0
4.6048,114.5571,307.2,1.4,1.2,2024-09-10,0220,Terra,MODIS,45,61.03,285.1,6.8,D,0
