latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.7158,24.1769,302.4,1.1,1,2024-01-04,0103,Aqua,MODIS,49,61.03,273.1,11.5,N,2
42.7181,24.1717,300.8,1.3,1.1,2024-01-04,2006,Terra,MODIS,34,61.03,274,12.9,N,2
41.8961,26.1624,303.1,2.1,1.4,2024-01-05,1112,Aqua,MODIS,55,61.03,286.1,18.4,D,0
42.6,25.4012,318.5,1.2,1.1,2024-01-16,0856,Terra,MODIS,74,61.03,278.3,25.5,D,2
42.0905,24.7767,303.3,1.1,1,2024-01-28,0853,Terra,MODIS,56,61.03,281,8.8,D,0
42.1736,24.6649,307.2,1.1,1,2024-01-28,0853,Terra,MODIS,65,61.03,280.4,11.4,D,0
43.4662,23.5536,315.1,1.1,1,2024-01-30,1203,Aqua,MODIS,66,61.03,274.7,17.2,D,0
43.4646,23.5406,302.9,1.1,1,2024-01-30,1203,Aqua,MODIS,35,61.03,274,7.9,D,0
43.6857,22.938,309,1.6,1.2,2024-02-03,1132,Aqua,MODIS,68,61.03,287,19,D,0
43.7471,24.277,303,1.4,1.2,2024-02-03,1132,Aqua,MODIS,54,61.03,284.4,10.1,D,0
43.6851,22.943,307.7,1.6,1.2,2024-02-03,1132,Aqua,MODIS,66,61.03,286.8,16.3,D,0
43.7501,24.2932,300.9,1.4,1.2,2024-02-03,1132,Aqua,MODIS,43,61.03,284.4,8.4,D,0
43.0707,24.0533,302.2,1.4,1.2,2024-02-04,1213,Aqua,MODIS,43,61.03,285.6,9.8,D,0
43.564,23.2437,305.7,1.3,1.1,2024-02-04,1213,Aqua,MODIS,62,61.03,285.2,10.7,D,0
43.5623,23.2281,310.7,1.3,1.1,2024-02-04,1213,Aqua,MODIS,70,61.03,286.6,15.2,D,0
42.1563,24.2387,318.8,1.4,1.2,2024-02-04,1213,Aqua,MODIS,79,61.03,282.8,28.6,D,0
42.2406,24.3863,309.3,1.4,1.2,2024-02-04,1213,Aqua,MODIS,68,61.03,287.4,14.2,D,0
43.6884,24.6622,302.7,2.2,1.4,2024-02-05,0922,Terra,MODIS,50,61.03,287.2,16.6,D,0
42.4048,26.2736,332.3,1.8,1.3,2024-02-05,1116,Aqua,MODIS,88,61.03,290.6,75.9,D,0
42.4002,26.2524,343.2,1.8,1.3,2024-02-05,1116,Aqua,MODIS,93,61.03,292.2,118.2,D,0
42.4106,26.2665,310.3,1.8,1.3,2024-02-05,1116,Aqua,MODIS,70,61.03,290.5,21,D,0
42.4059,26.2453,315,1.8,1.3,2024-02-05,1116,Aqua,MODIS,75,61.03,290.5,29.8,D,0
42.16,24.9755,307.2,2.2,1.4,2024-02-05,1116,Aqua,MODIS,65,61.03,291.4,21,D,0
42.4811,26.0739,309.9,1.9,1.3,2024-02-05,1116,Aqua,MODIS,69,61.03,286.7,21.3,D,0
42.4751,26.0694,310.8,1.9,1.3,2024-02-05,1116,Aqua,MODIS,70,61.03,286.6,23.8,D,0
43.0098,24.3481,300.6,1,1,2024-02-06,0052,Aqua,MODIS,31,61.03,282.1,7.3,N,0
43.6471,25.7876,312.3,1.3,1.1,2024-02-06,0824,Terra,MODIS,72,61.03,289.1,14.9,D,0
43.3263,27.6704,301.6,1.1,1,2024-02-06,0824,Terra,MODIS,48,61.03,286.2,5.9,D,0
