latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.7654,-3.3001,302.5,1,1,2024-01-01,0224,Aqua,MODIS,49,61.03,288.9,6.7,N,0
13.6285,-3.1142,321.5,1.1,1,2024-01-01,1023,Terra,MODIS,62,61.03,310.2,7.7,D,0
13.7194,-2.0319,326.1,1.2,1.1,2024-01-01,1023,Terra,MODIS,72,61.03,305.5,16.5,D,0
13.7159,-2.0098,330.6,1.2,1.1,2024-01-01,1023,Terra,MODIS,78,61.03,305.9,25,D,0
13.7177,-2.0208,324.2,1.2,1.1,2024-01-01,1023,Terra,MODIS,68,61.03,304.4,13.9,D,0
13.7142,-1.9987,325.1,1.2,1.1,2024-01-01,1023,Terra,MODIS,67,61.03,304.6,16,D,0
11.1305,-1.6858,319.8,1.4,1.2,2024-01-01,1024,Terra,MODIS,43,61.03,307.5,11.1,D,0
11.1289,-1.6929,319.5,1.4,1.2,2024-01-01,1024,Terra,MODIS,41,61.03,305.8,10.3,D,0
11.6284,-4.1865,338.9,1,1,2024-01-01,1024,Terra,MODIS,87,61.03,308.7,33.7,D,0
11.6298,-4.1958,322.5,1,1,2024-01-01,1024,Terra,MODIS,60,61.03,304.7,10.7,D,0
11.6374,-4.1852,339.7,1,1,2024-01-01,1024,Terra,MODIS,88,61.03,308.1,34.7,D,0
11.6387,-4.1944,320.6,1,1,2024-01-01,1024,Terra,MODIS,48,61.03,303.9,8.5,D,0
11.2375,-1.4611,319.2,1.4,1.2,2024-01-01,1024,Terra,MODIS,47,61.03,307.6,7.6,D,0
12.9899,-3.106,325.3,1.1,1,2024-01-01,1024,Terra,MODIS,70,61.03,310.9,11.9,D,0
12.1981,0.9191,334.6,2.1,1.4,2024-01-01,1024,Terra,MODIS,84,61.03,306.9,71.6,D,0
11.1892,-0.719,345.1,1.6,1.3,2024-01-01,1024,Terra,MODIS,91,61.03,310.2,83.5,D,0
11.1915,-0.7337,339.7,1.6,1.3,2024-01-01,1024,Terra,MODIS,88,61.03,309,64.5,D,0
11.302,-1.2161,321.3,1.5,1.2,2024-01-01,1024,Terra,MODIS,63,61.03,305.5,17.3,D,0
11.0944,0.3125,320.1,2,1.4,2024-01-01,1024,Terra,MODIS,63,61.03,305.6,16.3,D,0
11.717,-3.5502,322,1.1,1,2024-01-01,1024,Terra,MODIS,64,61.03,308.4,9.9,D,0
11.7184,-3.56,319.5,1.1,1,2024-01-01,1024,Terra,MODIS,56,61.03,309,6.8,D,0
10.348,-4.0246,317.1,1.1,1,2024-01-01,1024,Terra,MODIS,53,61.03,306.9,8,D,0
10.3612,-4.6104,318.2,1,1,2024-01-01,1024,Terra,MODIS,59,61.03,306.4,6.8,D,0
10.3522,-4.6117,315.2,1,1,2024-01-01,1024,Terra,MODIS,22,61.03,305,4.4,D,0
10.2152,-3.7548,326.8,1.1,1,2024-01-01,1024,Terra,MODIS,76,61.03,306.1,18.2,D,0
10.1204,-3.5055,316.4,1.1,1.1,2024-01-01,1024,Terra,MODIS,48,61.03,305.9,6.4,D,0
10.2064,-4.2514,338.6,1.1,1,2024-01-01,1024,Terra,MODIS,88,61.03,305.8,36.1,D,0
10.205,-4.242,315.5,1.1,1,2024-01-01,1024,Terra,MODIS,45,61.03,304.2,6.5,D,0
10.4154,-3.732,319,1.1,1,2024-01-01,1024,Terra,MODIS,54,61.03,308.5,8.4,D,0
11.7994,-3.725,322.3,1.1,1,2024-01-01,1024,Terra,MODIS,59,61.03,309.5,7.7,D,0
12.0039,1.7515,331.9,2.5,1.5,2024-01-01,1024,Terra,MODIS,82,61.03,307.1,74.7,D,0
12.5244,-2.4765,332.9,1.2,1.1,2024-01-01,1024,Terra,MODIS,81,61.03,310.4,27.5,D,0
11.682,-1.6184,321.5,1.4,1.2,2024-01-01,1024,Terra,MODIS,63,61.03,306.8,14.6,D,0
11.7811,-2.8912,320.9,1.2,1.1,2024-01-01,1024,Terra,MODIS,54,61.03,307.9,9.1,D,0
