latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.0242,103.3948,311.1,4.4,1.9,2024-01-01,0349,Terra,MODIS,32,61.03,289.6,45.3,D,0
11.0238,103.3925,320,1.8,1.3,2024-01-01,0638,Aqua,MODIS,54,61.03,291.1,25.1,D,0
12.3467,106.243,315.8,1.1,1.1,2024-01-01,0638,Aqua,MODIS,58,61.03,293.8,6.1,D,0
12.3623,106.3446,324,1.1,1.1,2024-01-01,0638,Aqua,MODIS,77,61.03,295.1,14.3,D,0
12.353,106.3461,319.6,1.1,1.1,2024-01-01,0638,Aqua,MODIS,57,61.03,296.3,8.5,D,0
12.3987,106.6446,318.6,1.1,1,2024-01-01,0638,Aqua,MODIS,61,61.03,297.5,8.6,D,0
12.4002,106.6544,316.6,1.1,1,2024-01-01,0638,Aqua,MODIS,50,61.03,295.5,7.1,D,0
12.3525,106.5779,322.4,1.1,1,2024-01-01,0638,Aqua,MODIS,70,61.03,296.4,10.4,D,0
12.3447,106.5893,320.7,1.1,1,2024-01-01,0638,Aqua,MODIS,51,61.03,296.4,9.4,D,0
12.3566,106.668,316.6,1.1,1,2024-01-01,0638,Aqua,MODIS,68,61.03,292.6,8.6,D,0
12.3581,106.6778,335.3,1.1,1,2024-01-01,0638,Aqua,MODIS,87,61.03,294,33,D,0
11.9802,104.4394,321.7,1.5,1.2,2024-01-01,0638,Aqua,MODIS,75,61.03,298,15.6,D,0
12.3153,106.6445,324.1,1.1,1,2024-01-01,0638,Aqua,MODIS,76,61.03,296.3,13.5,D,0
12.2757,106.4476,318,1.1,1.1,2024-01-01,0638,Aqua,MODIS,70,61.03,292.9,7.3,D,0
12.3016,106.6165,324.8,1.1,1,2024-01-01,0638,Aqua,MODIS,79,61.03,295.7,14.7,D,0
12.2697,106.6373,320.5,1.1,1,2024-01-01,0638,Aqua,MODIS,66,61.03,294.5,7.8,D,0
12.2452,106.6008,324.9,1.1,1,2024-01-01,0638,Aqua,MODIS,79,61.03,292.8,14.2,D,0
12.2467,106.6106,348.6,1.1,1,2024-01-01,0638,Aqua,MODIS,95,61.03,295.3,56.1,D,0
11.7959,104.3736,325.2,1.5,1.2,2024-01-01,0638,Aqua,MODIS,79,61.03,295,23.5,D,0
11.9807,105.9256,311.7,1.2,1.1,2024-01-01,0638,Aqua,MODIS,40,61.03,277.6,6.3,D,0
11.9824,105.9363,311.6,1.2,1.1,2024-01-01,0638,Aqua,MODIS,31,61.03,278.1,6,D,0
11.6219,103.8624,319.7,1.6,1.3,2024-01-01,0638,Aqua,MODIS,27,61.03,292.8,20.6,D,0
11.3164,103.5523,322.5,1.7,1.3,2024-01-01,0638,Aqua,MODIS,44,61.03,293.2,25.3,D,0
11.3163,103.5431,337.8,1.8,1.3,2024-01-01,0638,Aqua,MODIS,89,61.03,294,69.7,D,0
11.644,105.6239,317,1.2,1.1,2024-01-01,0638,Aqua,MODIS,70,61.03,289.9,11,D,0
11.0287,103.3967,321.4,1.8,1.3,2024-01-01,0638,Aqua,MODIS,41,61.03,289.8,25.3,D,0
13.9547,104.4595,316.8,1.4,1.2,2024-01-01,0638,Aqua,MODIS,62,61.03,300.6,11.1,D,0
13.6629,102.8048,314.2,1.8,1.3,2024-01-01,0638,Aqua,MODIS,50,61.03,293.1,10.7,D,0
13.6113,102.7128,314.4,1.8,1.3,2024-01-01,0638,Aqua,MODIS,58,61.03,295.7,13.7,D,0
13.8567,104.3744,321.1,1.4,1.2,2024-01-01,0638,Aqua,MODIS,60,61.03,298.4,15.5,D,0
13.8587,104.3868,327.1,1.4,1.2,2024-01-01,0638,Aqua,MODIS,79,61.03,300.8,25,D,0
14.1519,106.219,317.2,1.1,1,2024-01-01,0638,Aqua,MODIS,70,61.03,300.6,7.5,D,0
13.8599,104.3805,334.9,1.4,1.2,2024-01-01,0638,Aqua,MODIS,86,61.03,298.8,42.6,D,0
13.7983,104.3268,314.7,1.4,1.2,2024-01-01,0638,Aqua,MODIS,50,61.03,296.8,10.2,D,0
13.7077,104.3348,318.7,1.4,1.2,2024-01-01,0638,Aqua,MODIS,49,61.03,300.4,13.6,D,0
13.4311,102.7401,322.5,1.8,1.3,2024-01-01,0638,Aqua,MODIS,75,61.03,294.1,30.2,D,0
13.3989,102.763,320.6,1.8,1.3,2024-01-01,0638,Aqua,MODIS,72,61.03,293.3,22.7,D,0
13.4006,102.7525,315.9,1.8,1.3,2024-01-01,0638,Aqua,MODIS,63,61.03,292.3,13.8,D,0
13.7218,105.4575,333.7,1.2,1.1,2024-01-01,0638,Aqua,MODIS,85,61.03,297.9,35,D,0
13.7235,105.4684,328.8,1.2,1.1,2024-01-01,0638,Aqua,MODIS,81,61.03,298.5,26.5,D,0
13.28,102.7962,327.8,1.8,1.3,2024-01-01,0638,Aqua,MODIS,81,61.03,299.5,41.9,D,0
13.7982,106.1379,319.1,1.1,1,2024-01-01,0638,Aqua,MODIS,67,61.03,301.6,9.3,D,0
13.6469,105.5098,320.1,1.2,1.1,2024-01-01,0638,Aqua,MODIS,71,61.03,296.5,15,D,0
13.6121,105.9413,320.1,1.1,1.1,2024-01-01,0638,Aqua,MODIS,65,61.03,298.2,8.8,D,0
13.5997,106.048,319.8,1.1,1.1,2024-01-01,0638,Aqua,MODIS,65,61.03,299.8,7.3,D,0
13.5952,106.1421,327.5,1.1,1.1,2024-01-01,0638,Aqua,MODIS,79,61.03,300.1,17.1,D,0
13.5967,106.1522,328.4,1.1,1.1,2024-01-01,0638,Aqua,MODIS,79,61.03,301.3,18.4,D,0
13.5999,106.1722,319.5,1.1,1,2024-01-01,0638,Aqua,MODIS,21,61.03,300.9,7.8,D,0
13.6014,106.1823,326.6,1.1,1,2024-01-01,0638,Aqua,MODIS,79,61.03,300.9,16.7,D,0
13.5874,106.1537,320.1,1.1,1.1,2024-01-01,0638,Aqua,MODIS,30,61.03,301.3,8.2,D,0
13.5126,105.7728,324.8,1.2,1.1,2024-01-01,0638,Aqua,MODIS,77,61.03,296.4,15.7,D,0
