latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.1282,19.0182,304.1,1,1,2024-01-01,0046,Aqua,MODIS,58,61.03,290.3,6.8,N,0
10.1204,20.7967,302.9,1,1,2024-01-01,0046,Aqua,MODIS,52,61.03,288.9,7,N,0
11.2687,21.9746,301.1,1.1,1,2024-01-01,0046,Aqua,MODIS,38,61.03,287.5,6.3,N,0
11.4739,19.7555,325.3,1,1,2024-01-01,0845,Terra,MODIS,63,61.03,308.5,11,D,0
11.4637,19.7632,322.6,1,1,2024-01-01,0845,Terra,MODIS,49,61.03,308,8,D,0
11.4351,19.698,359.4,1,1,2024-01-01,0845,Terra,MODIS,99,61.03,313.4,71.9,D,0
11.4338,19.707,346.3,1,1,2024-01-01,0845,Terra,MODIS,92,61.03,311.6,41.5,D,0
11.4275,19.6877,325.8,1,1,2024-01-01,0845,Terra,MODIS,61,61.03,309.4,10.9,D,0
11.4262,19.6967,348.2,1,1,2024-01-01,0845,Terra,MODIS,93,61.03,311.1,46.6,D,0
11.4249,19.7057,327.5,1,1,2024-01-01,0845,Terra,MODIS,67,61.03,309.1,13,D,0
11.1851,20.7031,342.2,1.1,1,2024-01-01,0845,Terra,MODIS,89,61.03,312.3,37.1,D,0
11.1837,20.7126,328.2,1.1,1,2024-01-01,0845,Terra,MODIS,75,61.03,310.7,14.5,D,0
10.942,21.5769,320.4,1.2,1.1,2024-01-01,0845,Terra,MODIS,54,61.03,309.9,8.1,D,0
11.0433,20.4775,323.8,1,1,2024-01-01,0845,Terra,MODIS,58,61.03,311.7,9.7,D,0
10.8659,20.6753,341.2,1.1,1,2024-01-01,0845,Terra,MODIS,88,61.03,308.8,37.2,D,0
10.8644,20.6847,322.4,1.1,1,2024-01-01,0845,Terra,MODIS,55,61.03,308.2,9.7,D,0
10.8668,20.6078,319.7,1.1,1,2024-01-01,0845,Terra,MODIS,54,61.03,307.7,7.7,D,0
10.6693,21.2356,335.4,1.1,1.1,2024-01-01,0845,Terra,MODIS,84,61.03,308.3,30.8,D,0
