latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-39.4211,-71.9538,325.3,1.4,1.2,2024-01-01,0252,Terra,MODIS,100,61.03,273.9,42.2,N,1
-39.4167,-71.9472,333.7,1.4,1.2,2024-01-01,0252,Terra,MODIS,100,61.03,272.8,59.3,N,1
-39.427,-71.9454,300.1,1.4,1.2,2024-01-01,0252,Terra,MODIS,17,61.03,272.4,12.4,N,1
-39.4192,-71.936,327.3,1.4,1.2,2024-01-01,0252,Terra,MODIS,100,61.03,272,46.2,N,1
-26.4315,-69.4777,310.2,1,1,2024-01-01,0256,Terra,MODIS,80,61.03,284.1,13.9,N,2
-39.4156,-71.9261,303.8,1.6,1.2,2024-01-01,0556,Aqua,MODIS,57,61.03,270.2,20.2,N,1
-39.4121,-71.9439,317.7,1.6,1.2,2024-01-01,0556,Aqua,MODIS,96,61.03,271,39.3,N,1
-45.5821,-72.0573,311.7,1.2,1.1,2024-01-01,1357,Terra,MODIS,30,61.03,297.1,8.1,D,2
-42.4717,-73.7772,307.5,1.6,1.2,2024-01-01,1357,Terra,MODIS,0,61.03,295.7,9.6,D,2
-42.4682,-73.7838,312.9,1.1,1,2024-01-01,1933,Aqua,MODIS,32,61.03,300.7,6.3,D,2
-39.3724,-72.629,316.4,1.3,1.1,2024-01-01,1934,Aqua,MODIS,57,61.03,304.8,11.9,D,2
-38.5431,-72.0122,321,1.4,1.2,2024-01-01,1934,Aqua,MODIS,64,61.03,297.3,24.8,D,0
-39.4158,-71.9315,320.4,1.5,1.2,2024-01-02,0333,Terra,MODIS,100,61.03,273.9,42.6,N,1
-39.4191,-71.9489,315,1.5,1.2,2024-01-02,0333,Terra,MODIS,90,61.03,273.8,33.3,N,1
-34.1051,-70.4526,307,1.4,1.2,2024-01-02,0636,Aqua,MODIS,70,61.03,285.7,16.8,N,2
-39.4203,-71.9292,339.7,1.3,1.2,2024-01-02,0637,Aqua,MODIS,100,61.03,273,74,N,1
