latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
6.3604,-75.5306,301.3,1.2,1.1,2024-01-01,0305,Terra,MODIS,39,61.03,287.4,6.7,N,0
6.3618,-75.5199,300.7,1.2,1.1,2024-01-01,0305,Terra,MODIS,33,61.03,287.1,6.3,N,0
9.9693,-73.9915,314.6,2,1.4,2024-01-01,1520,Terra,MODIS,56,61.03,295.4,17.5,D,0
3.9274,-71.5937,306.1,4,1.9,2024-01-01,1522,Terra,MODIS,57,61.03,281.2,29.8,D,0
5.1661,-70.6256,312.2,4.5,2,2024-01-01,1522,Terra,MODIS,67,61.03,288.4,60.6,D,0
5.1634,-70.6311,313.7,4.5,2,2024-01-01,1522,Terra,MODIS,69,61.03,288.3,72,D,0
4.581,-69.2121,313.8,2.3,1.5,2024-01-01,1807,Aqua,MODIS,69,61.03,283.5,26,D,0
5.9104,-70.176,326.9,2.6,1.5,2024-01-01,1808,Aqua,MODIS,81,61.03,296.6,74,D,0
5.1889,-67.9907,315.8,1.8,1.3,2024-01-01,1808,Aqua,MODIS,46,61.03,288.4,16.5,D,0
4.8571,-69.5322,308.5,2.4,1.5,2024-01-01,1808,Aqua,MODIS,37,61.03,279.9,15.2,D,0
4.8604,-69.5257,307.6,2.4,1.5,2024-01-01,1808,Aqua,MODIS,40,61.03,280.1,14,D,0
4.9747,-68.3851,318.4,1.9,1.4,2024-01-01,1808,Aqua,MODIS,73,61.03,283.9,26.5,D,0
4.9701,-68.3795,322.1,1.9,1.4,2024-01-01,1808,Aqua,MODIS,75,61.03,285.2,34.3,D,0
5.7602,-69.7297,311.2,2.4,1.5,2024-01-01,1808,Aqua,MODIS,56,61.03,285,20,D,0
5.7604,-69.7148,308.4,2.4,1.5,2024-01-01,1808,Aqua,MODIS,28,61.03,283.5,13.1,D,0
6.2767,-67.7999,312.6,1.6,1.3,2024-01-01,1808,Aqua,MODIS,28,61.03,288.4,10.5,D,0
5.9068,-70.1988,329.6,2.6,1.5,2024-01-01,1808,Aqua,MODIS,83,61.03,296.1,88.5,D,0
