latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-11.5506,43.2708,311.9,1,1,2024-04-05,1116,Aqua,MODIS,0,61.03,295.2,5.9,D,0
-11.5469,43.3223,314.3,1,1,2024-05-23,1117,Aqua,MODIS,37,61.03,298.7,7.5,D,0
-11.5552,43.3451,313.9,1.3,1.1,2024-05-30,0659,Terra,MODIS,60,61.03,296,11.2,D,0
-11.6812,43.3781,320,1.3,1.1,2024-05-30,1108,Aqua,MODIS,54,61.03,302.2,16.2,D,1
-11.7025,43.2968,314.7,2,1.4,2024-06-09,0710,Terra,MODIS,53,61.03,295.3,26.9,D,0
-11.7067,43.2916,310.1,2,1.4,2024-06-09,0710,Terra,MODIS,23,61.03,295.8,19.6,D,0
-11.7091,43.2966,323.6,1,1,2024-06-09,1123,Aqua,MODIS,77,61.03,298.9,17.7,D,0
-11.7104,43.2875,313.2,1,1,2024-06-09,1123,Aqua,MODIS,42,61.03,298.6,7,D,0
-11.6201,43.3418,334.7,1,1,2024-06-09,1123,Aqua,MODIS,86,61.03,300.2,30.5,D,0
-11.6214,43.3328,311.6,1,1,2024-06-09,1123,Aqua,MODIS,44,61.03,298,5.9,D,0
-11.5681,43.3734,315.4,1,1,2024-06-09,1123,Aqua,MODIS,64,61.03,301.7,8,D,0
-11.5593,43.372,311.6,1,1,2024-06-09,1123,Aqua,MODIS,30,61.03,300.6,4.6,D,0
-11.4416,43.3776,311.8,1.1,1,2024-06-11,0652,Terra,MODIS,51,61.03,297,7.1,D,0
-11.6917,43.3866,313.6,2,1.4,2024-06-20,0623,Terra,MODIS,49,61.03,299.1,21,D,1
-11.6813,43.3954,305.9,1,1,2024-06-20,2307,Aqua,MODIS,39,61.03,291.8,7.1,N,1
-11.6699,43.3614,328.1,1.6,1.2,2024-06-25,0628,Terra,MODIS,81,61.03,298.6,43.1,D,1
-11.672,43.3741,340.5,1.6,1.2,2024-06-25,0628,Terra,MODIS,90,61.03,302,76.6,D,1
-11.6702,43.3676,326,3.6,1.8,2024-06-25,1048,Aqua,MODIS,75,61.03,292.9,135.2,D,1
-11.6734,43.3406,312.3,3.7,1.8,2024-06-25,1048,Aqua,MODIS,51,61.03,292.6,50.8,D,1
-11.5181,43.3114,320,1.1,1,2024-07-03,1119,Aqua,MODIS,55,61.03,306.8,10.6,D,0
-11.6209,43.3093,323,1,1,2024-07-10,0643,Terra,MODIS,76,61.03,298.7,16.9,D,0
-11.6181,43.3,313.8,1.5,1.2,2024-07-10,1109,Aqua,MODIS,59,61.03,297.3,13.8,D,0
-11.6846,43.3267,310.1,1.8,1.3,2024-07-13,0705,Terra,MODIS,28,61.03,295.5,16.1,D,1
-11.6904,43.3244,316.6,1.1,1,2024-07-13,1132,Aqua,MODIS,44,61.03,295.6,12.3,D,1
-11.5388,43.3209,316.8,1.1,1.1,2024-07-20,0653,Terra,MODIS,67,61.03,302,11.2,D,0
-11.5352,43.3308,306.4,1.1,1.1,2024-07-20,1907,Terra,MODIS,44,61.03,289.5,9.7,N,0
-11.6997,43.396,313.8,1,1,2024-07-27,0640,Terra,MODIS,39,61.03,300.6,4.3,D,1
-11.7069,43.3857,319.1,1.4,1.2,2024-07-27,1112,Aqua,MODIS,57,61.03,301.5,15.9,D,1
-11.6979,43.3892,322,1.4,1.2,2024-07-27,1112,Aqua,MODIS,68,61.03,303,17.5,D,1
-11.6602,43.3579,324.2,1.4,1.2,2024-07-27,1112,Aqua,MODIS,68,61.03,301.4,25.3,D,1
-11.612,43.325,327.5,1.4,1.2,2024-07-27,1112,Aqua,MODIS,81,61.03,302,28.9,D,0
-11.6144,43.3324,323.5,1.4,1.2,2024-07-27,1112,Aqua,MODIS,76,61.03,303.3,22.5,D,0
-11.6161,43.3203,316.8,1.4,1.2,2024-07-27,1112,Aqua,MODIS,67,61.03,301.2,12.8,D,0
-11.5612,43.3374,316.4,1.4,1.2,2024-07-27,1112,Aqua,MODIS,48,61.03,301.8,10.8,D,0
-11.4647,43.369,312.2,1.4,1.2,2024-07-27,1112,Aqua,MODIS,39,61.03,298.4,10.4,D,0
-11.5308,43.3523,311.9,1.6,1.3,2024-07-30,0702,Terra,MODIS,51,61.03,294.7,13.2,D,0
-11.5328,43.3679,318.8,1.6,1.3,2024-07-30,0702,Terra,MODIS,70,61.03,297.7,25.9,D,0
-11.5416,43.3639,326.8,1.1,1.1,2024-07-30,1135,Aqua,MODIS,75,61.03,299.3,21.3,D,0
-11.5432,43.3534,322.2,1.1,1.1,2024-07-30,1135,Aqua,MODIS,60,61.03,294.4,15.1,D,0
-11.5349,43.3666,336.5,1.1,1.1,2024-07-30,1135,Aqua,MODIS,83,61.03,300.9,38.3,D,0
-11.5329,43.3816,313.3,4.1,1.9,2024-07-31,0605,Terra,MODIS,44,61.03,296,62.5,D,0
-11.5388,43.3761,313.8,4.1,1.9,2024-07-31,0605,Terra,MODIS,35,61.03,295.9,58.3,D,0
-11.6942,43.2851,308.3,1,1,2024-08-01,1859,Terra,MODIS,60,61.03,291,9,N,0
-11.7008,43.3483,325.6,1.2,1.1,2024-08-11,0654,Terra,MODIS,79,61.03,295.7,27.8,D,1
-11.7023,43.3591,328.7,1.2,1.1,2024-08-11,0654,Terra,MODIS,82,61.03,295.7,32.2,D,1
-11.7182,43.3903,327.7,1.1,1,2024-08-13,0636,Terra,MODIS,76,61.03,299.2,22.9,D,1
-11.7274,43.3897,317.5,1.1,1,2024-08-13,0636,Terra,MODIS,52,61.03,295.9,11.6,D,1
-11.4537,43.3649,337.9,1.2,1.1,2024-08-16,1137,Aqua,MODIS,88,61.03,303.3,40.5,D,0
-11.6907,43.3554,306.1,1.1,1.1,2024-08-17,2306,Aqua,MODIS,41,61.03,287.2,10.3,N,1
-11.5705,43.3149,317.2,1,1,2024-08-18,0641,Terra,MODIS,64,61.03,300.1,9.2,D,0
-11.5794,43.3136,313.3,1,1,2024-08-18,0641,Terra,MODIS,38,61.03,298.6,4.9,D,0
-11.6947,43.3545,316.8,1.1,1.1,2024-08-18,1120,Aqua,MODIS,61,61.03,301.4,7.8,D,1
-11.6961,43.3444,315.9,1.1,1.1,2024-08-18,1120,Aqua,MODIS,62,61.03,303.5,8,D,1
-11.671,43.3192,348.2,1.1,1.1,2024-08-18,1120,Aqua,MODIS,94,61.03,299.3,62.8,D,1
-11.7828,43.4294,310.5,2.2,1.4,2024-08-20,1103,Aqua,MODIS,19,61.03,294,25,D,0
-11.7214,43.3413,354.9,1.8,1.3,2024-08-21,0703,Terra,MODIS,97,61.03,298.4,165.7,D,1
-11.7232,43.3553,332.8,1.8,1.3,2024-08-21,0703,Terra,MODIS,85,61.03,295.2,68.9,D,1
-11.7183,43.3367,334.6,1.8,1.3,2024-08-21,0703,Terra,MODIS,86,61.03,296.6,78,D,1
-11.7201,43.3508,343.6,1.8,1.3,2024-08-21,0703,Terra,MODIS,92,61.03,296.9,111.4,D,1
-11.7303,43.3508,328.8,1.4,1.2,2024-08-21,1143,Aqua,MODIS,64,61.03,305.3,32.2,D,1
-11.6351,43.298,315.2,1.4,1.2,2024-08-21,1143,Aqua,MODIS,63,61.03,299.4,11.2,D,0
-11.6369,43.2867,314.3,1.4,1.2,2024-08-21,1143,Aqua,MODIS,61,61.03,297.1,9.9,D,0
-11.5987,43.3675,316.3,1,1,2024-08-23,1126,Aqua,MODIS,65,61.03,297.6,8,D,0
-11.6,43.3584,325.4,1,1,2024-08-23,1126,Aqua,MODIS,78,61.03,300.9,16.8,D,0
-11.6436,43.3584,311.8,1.8,1.3,2024-08-24,2254,Aqua,MODIS,76,61.03,289.7,25.9,N,0
-11.5686,43.3548,328.5,1.4,1.2,2024-08-25,0627,Terra,MODIS,81,61.03,296.3,34.1,D,0
-11.5705,43.3668,312.8,1.4,1.2,2024-08-25,0627,Terra,MODIS,55,61.03,295.4,8.8,D,0
-11.6497,43.3498,323.6,1.4,1.2,2024-08-25,0628,Terra,MODIS,76,61.03,296.5,23.4,D,0
-11.6515,43.3609,323.4,1.4,1.2,2024-08-25,0628,Terra,MODIS,72,61.03,297.6,22.1,D,0
-11.6997,43.3324,313.1,1.4,1.2,2024-08-25,0628,Terra,MODIS,26,61.03,297.8,11,D,1
-12.272,43.6794,314.2,1.4,1.2,2024-08-30,1114,Aqua,MODIS,53,61.03,299.2,12.5,D,0
-11.6253,43.3698,312.8,1.1,1,2024-09-02,1137,Aqua,MODIS,36,61.03,295,6.2,D,0
-11.8595,43.4648,316.7,1.5,1.2,2024-09-12,1147,Aqua,MODIS,55,61.03,298.7,16.5,D,0
