latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.5133,-84.4837,312.2,4.3,1.9,2024-01-02,1851,Aqua,MODIS,53,61.03,295.2,51.1,D,0
10.5167,-84.4883,312.9,4.3,1.9,2024-01-02,1851,Aqua,MODIS,56,61.03,295.1,59,D,0
10.0854,-84.8074,320.4,1,1,2024-01-04,1544,Terra,MODIS,75,61.03,301.8,10.5,D,0
9.9946,-83.0416,314.5,1.1,1.1,2024-01-05,1916,Aqua,MODIS,58,61.03,302.9,8.8,D,2
10.3575,-83.9344,323,1.3,1.1,2024-01-05,1917,Aqua,MODIS,78,61.03,299,22.7,D,0
9.1913,-83.3774,312.2,1.2,1.1,2024-01-06,0312,Terra,MODIS,84,61.03,293.6,14.2,N,0
10.2818,-85.4785,318.2,1.1,1,2024-01-08,1942,Aqua,MODIS,68,61.03,300.3,8.3,D,0
9.1987,-83.4715,307.8,1.2,1.1,2024-01-09,0336,Terra,MODIS,73,61.03,290.1,10.8,N,0
9.1825,-83.3665,313.5,1.3,1.1,2024-01-09,0336,Terra,MODIS,87,61.03,292.8,15.9,N,0
10.5175,-85.56,313.1,1,1,2024-01-09,0336,Terra,MODIS,86,61.03,295.4,10.7,N,0
9.2002,-83.4603,305,1.2,1.1,2024-01-09,0336,Terra,MODIS,63,61.03,291.9,8.1,N,0
9.9849,-83.0469,312.7,1.6,1.2,2024-01-09,1551,Terra,MODIS,37,61.03,300.1,11,D,2
10.0059,-84.7526,316.8,1.2,1.1,2024-01-09,1551,Terra,MODIS,54,61.03,300.8,9.1,D,0
10.4514,-84.3169,317.5,1,1,2024-01-10,1927,Aqua,MODIS,65,61.03,299.9,7.1,D,0
10.5152,-85.5518,325.5,1.3,1.1,2024-01-11,0319,Terra,MODIS,100,61.03,295.5,31.3,N,0
10.515,-85.546,315,1.3,1.1,2024-01-11,0319,Terra,MODIS,90,61.03,295,16.5,N,0
10.5133,-85.5574,317.9,1.3,1.1,2024-01-11,0319,Terra,MODIS,96,61.03,295.2,20.1,N,0
9.9868,-83.0444,312.6,2.1,1.4,2024-01-14,1557,Terra,MODIS,27,61.03,298.9,15.9,D,2
10.6184,-85.1807,316.5,1,1,2024-01-16,1540,Terra,MODIS,48,61.03,300.4,8.6,D,0
9.1277,-83.2052,346,1.1,1,2024-01-17,1922,Aqua,MODIS,93,61.03,299.4,51.5,D,0
10.3301,-85.0835,305.6,1.8,1.3,2024-01-18,0309,Terra,MODIS,65,61.03,292.1,10,N,0
10.3275,-85.0997,322.1,1.8,1.3,2024-01-18,0309,Terra,MODIS,100,61.03,295.1,42.3,N,0
9.3128,-83.6171,312.7,1.5,1.2,2024-01-18,0309,Terra,MODIS,86,61.03,292.3,19.3,N,0
10.5297,-85.2517,314.7,1.6,1.3,2024-01-18,1523,Terra,MODIS,64,61.03,298.4,11.2,D,0
10.4364,-85.384,307.9,1.6,1.3,2024-01-19,0349,Terra,MODIS,52,61.03,282.9,14.6,N,0
10.4253,-85.3825,307,1.6,1.3,2024-01-19,0349,Terra,MODIS,50,61.03,282.5,13.8,N,0
10.5275,-85.5634,336.5,1.6,1.2,2024-01-19,0349,Terra,MODIS,100,61.03,297.3,70.5,N,0
10.5257,-85.5777,312.8,1.6,1.2,2024-01-19,0349,Terra,MODIS,86,61.03,296.1,18.2,N,0
10.5385,-85.5649,337.3,1.6,1.2,2024-01-19,0349,Terra,MODIS,100,61.03,296.5,73.1,N,0
10.5367,-85.5792,309.8,1.6,1.2,2024-01-19,0349,Terra,MODIS,78,61.03,295.9,14.1,N,0
10.4673,-85.4999,321.3,2.6,1.6,2024-01-19,1907,Aqua,MODIS,71,61.03,301,41.5,D,0
10.4632,-85.4797,323.4,2.6,1.6,2024-01-19,1907,Aqua,MODIS,79,61.03,300.9,52.7,D,0
10.4591,-85.503,319.9,2.6,1.6,2024-01-19,1907,Aqua,MODIS,69,61.03,300.9,35.1,D,0
10.4713,-85.4764,315,2.6,1.6,2024-01-19,1907,Aqua,MODIS,20,61.03,300.1,20.7,D,0
10.4399,-85.5666,304.6,1,1,2024-01-21,0332,Terra,MODIS,61,61.03,293.8,4.6,N,0
10.2589,-85.035,324.5,1,1,2024-01-22,1932,Aqua,MODIS,77,61.03,307.5,10.7,D,0
10.2447,-85.0698,325.6,1,1,2024-01-22,1932,Aqua,MODIS,78,61.03,306.7,12,D,0
