latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.9978,17.592,303.4,1,1,2024-01-21,1225,Aqua,MODIS,56,61.03,282.1,8.8,D,0
44.7363,14.432,300.9,1,1,2024-01-26,1235,Aqua,MODIS,40,61.03,284.7,6.1,D,0
43.8554,16.5813,303.9,1.2,1.1,2024-01-29,0933,Terra,MODIS,51,61.03,282.6,10.4,D,0
43.0122,17.6019,349.1,2.1,1.4,2024-01-30,1941,Terra,MODIS,100,61.03,274.8,185.9,N,0
43.0167,17.5803,331.1,2.1,1.4,2024-01-30,1941,Terra,MODIS,100,61.03,273.4,100.1,N,2
43.0219,17.6043,337.4,2.1,1.4,2024-01-30,1941,Terra,MODIS,100,61.03,273.2,125.2,N,0
43.0048,17.5853,305.2,2.1,1.4,2024-01-30,1941,Terra,MODIS,63,61.03,273.9,33.4,N,2
43.01,17.6093,308.5,2.1,1.4,2024-01-30,1941,Terra,MODIS,75,61.03,273.1,39.2,N,0
43.0069,17.5781,321.1,2.1,1.4,2024-01-30,1941,Terra,MODIS,100,61.03,274.2,65.9,N,2
43.953,15.5284,303.6,1.6,1.2,2024-02-02,0859,Terra,MODIS,49,61.03,283.3,14.9,D,0
43.3836,17.2653,305.6,1,1,2024-02-04,1214,Aqua,MODIS,62,61.03,288,7.6,D,0
45.3375,18.2746,316.6,1.9,1.3,2024-02-08,0945,Terra,MODIS,77,61.03,286.2,40.8,D,0
45.3425,18.2517,310.8,1.9,1.3,2024-02-08,0945,Terra,MODIS,70,61.03,285.9,28.9,D,0
45.3559,16.3661,314.8,2.4,1.5,2024-02-08,1143,Aqua,MODIS,75,61.03,287.6,49,D,0
45.3593,16.3716,317.4,2.4,1.5,2024-02-08,1143,Aqua,MODIS,78,61.03,287.4,57.1,D,0
45.3734,18.0941,313,1,1,2024-02-16,1218,Aqua,MODIS,73,61.03,288.6,12.6,D,0
45.3233,17.8158,300.6,1,1,2024-02-16,1218,Aqua,MODIS,40,61.03,288.1,4.1,D,0
44.9046,15.6322,303.7,1.1,1,2024-02-16,1218,Aqua,MODIS,57,61.03,286,6.9,D,0
44.9067,15.6449,317.2,1.1,1,2024-02-16,1218,Aqua,MODIS,77,61.03,288.5,17.5,D,0
44.5839,15.329,307.8,1.1,1,2024-02-16,1218,Aqua,MODIS,66,61.03,290.3,9.1,D,0
44.5862,15.3422,300.5,1.1,1,2024-02-16,1218,Aqua,MODIS,33,61.03,288.8,4.2,D,0
43.4065,17.2623,306.6,1,1,2024-02-16,1218,Aqua,MODIS,64,61.03,290.6,7,D,0
45.3752,18.1066,305.3,1,1,2024-02-16,1218,Aqua,MODIS,61,61.03,287.8,7.2,D,0
44.9951,15.3149,315.4,1.2,1.1,2024-02-20,0941,Terra,MODIS,76,61.03,282,22.3,D,0
44.9978,15.2998,316.2,1.2,1.1,2024-02-20,0941,Terra,MODIS,76,61.03,282.1,23.3,D,0
44.9383,15.3218,301,4.6,2,2024-02-20,1325,Aqua,MODIS,44,61.03,282.5,56.7,D,0
44.9377,15.3178,303.8,4.6,2,2024-02-20,1325,Aqua,MODIS,57,61.03,282.5,70.2,D,0
45.7909,17.1791,314.6,1.1,1,2024-02-21,1228,Aqua,MODIS,75,61.03,285.9,15.8,D,0
43.9051,15.9252,303.4,1,1,2024-02-21,1228,Aqua,MODIS,56,61.03,288.6,5.4,D,0
46.1045,17.0178,312.6,1.2,1.1,2024-03-15,0931,Terra,MODIS,73,61.03,289.8,13.5,D,0
46.1071,17.0033,313.1,1.2,1.1,2024-03-15,0931,Terra,MODIS,73,61.03,289,14.1,D,0
43.6123,16.4475,318.8,1.2,1.1,2024-03-15,0932,Terra,MODIS,79,61.03,288.8,20.6,D,0
43.6218,16.4505,320.3,1.2,1.1,2024-03-15,0932,Terra,MODIS,80,61.03,289,22.5,D,0
43.3022,16.7778,302.2,1.3,1.1,2024-03-15,0932,Terra,MODIS,51,61.03,286.8,7.9,D,0
43.3049,16.7627,302.9,1.3,1.1,2024-03-15,0932,Terra,MODIS,54,61.03,286.4,8.4,D,0
43.6097,16.4618,304,1.2,1.1,2024-03-15,0932,Terra,MODIS,22,61.03,288.6,5.8,D,0
45.3876,18.1227,315.2,1.5,1.2,2024-03-15,1153,Aqua,MODIS,75,61.03,291.4,23,D,0
45.3814,18.11,311.3,1.5,1.2,2024-03-15,1153,Aqua,MODIS,70,61.03,291.9,15.9,D,0
45.3852,18.1287,309.5,1.5,1.2,2024-03-15,1153,Aqua,MODIS,62,61.03,290.8,13.6,D,0
45.3838,18.1041,304.2,1.5,1.2,2024-03-15,1153,Aqua,MODIS,58,61.03,291.7,8.7,D,0
43.9776,16.1067,303.5,1.4,1.2,2024-03-20,0938,Terra,MODIS,56,61.03,290.3,8.3,D,0
45.1582,16.3799,310,1.4,1.2,2024-03-20,1202,Aqua,MODIS,69,61.03,290.1,16.4,D,0
45.3642,15.7208,306.1,1.2,1.1,2024-03-21,1243,Aqua,MODIS,47,61.03,292.9,6.1,D,0
45.364,15.7264,312.2,1.2,1.1,2024-03-21,1243,Aqua,MODIS,72,61.03,293.2,12.2,D,0
45.3659,15.7365,306.5,1.2,1.1,2024-03-21,1243,Aqua,MODIS,53,61.03,293.8,5.9,D,0
45.3282,13.6789,305.8,1.1,1,2024-03-23,1227,Aqua,MODIS,62,61.03,292.3,5.6,D,0
46.3981,16.63,304.1,1.1,1,2024-03-25,1212,Aqua,MODIS,58,61.03,288.4,7.2,D,0
46.4004,16.6438,303.8,1.1,1,2024-03-25,1212,Aqua,MODIS,45,61.03,289.9,6.5,D,0
46.3222,16.7372,311.6,1.1,1,2024-03-25,1212,Aqua,MODIS,31,61.03,288.4,12.3,D,0
45.8164,16.9618,307.5,1.1,1,2024-03-25,1212,Aqua,MODIS,66,61.03,291,8.6,D,0
43.4686,16.9227,300.4,2.3,1.5,2024-03-30,0950,Terra,MODIS,9,61.03,287.4,6.2,D,0
46.2279,16.1073,314.1,1.1,1.1,2024-04-06,1214,Aqua,MODIS,71,61.03,294.3,10.6,D,0
46.2303,16.1214,319.4,1.1,1.1,2024-04-06,1214,Aqua,MODIS,77,61.03,295.6,15.9,D,0
44.469,15.4153,318.1,1.5,1.2,2024-04-07,1254,Aqua,MODIS,68,61.03,293.7,21.8,D,0
44.4672,15.4209,321.6,1.5,1.2,2024-04-07,1254,Aqua,MODIS,66,61.03,291.9,27.4,D,0
45.1562,17.8921,309.8,1.2,1.1,2024-04-13,0928,Terra,MODIS,49,61.03,290.6,9.2,D,0
45.2765,18.6574,315,1,1,2024-04-15,0910,Terra,MODIS,62,61.03,302.1,4.7,D,0
45.1047,17.8672,319.6,1,1,2024-04-15,0910,Terra,MODIS,71,61.03,302.9,9.9,D,0
45.103,17.8796,324.8,1,1,2024-04-15,0910,Terra,MODIS,79,61.03,302.4,15.7,D,0
45.096,17.8648,321.7,1,1,2024-04-15,0911,Terra,MODIS,70,61.03,301.3,10.8,D,0
45.0942,17.8771,328.6,1,1,2024-04-15,0911,Terra,MODIS,82,61.03,302,18.9,D,0
45.0841,17.9088,333.2,1.8,1.3,2024-04-15,1150,Aqua,MODIS,73,61.03,302.3,66.2,D,0
43.6528,16.0165,311.4,3.5,1.8,2024-04-21,1925,Terra,MODIS,75,61.03,279.6,91.9,N,0
45.115,15.4781,307.9,1.2,1.1,2024-04-30,1215,Aqua,MODIS,59,61.03,297.8,7.5,D,0
43.3475,16.573,310.2,1.9,1.3,2024-05-02,1159,Aqua,MODIS,70,61.03,292.6,19.3,D,0
43.9935,15.549,308.4,1.9,1.3,2024-05-10,2046,Terra,MODIS,74,61.03,288,25,N,0
46.3869,16.4156,310.4,1.2,1.1,2024-06-05,1213,Aqua,MODIS,19,61.03,296.5,5.6,D,2
45.2947,15.9701,314,1.4,1.2,2024-06-17,1211,Aqua,MODIS,68,61.03,297.4,14.5,D,0
46.1691,16.8185,316.4,1.2,1.1,2024-06-17,1211,Aqua,MODIS,60,61.03,302,9.8,D,2
46.177,16.8384,312.6,1.6,1.3,2024-07-05,0939,Terra,MODIS,58,61.03,298.4,10.1,D,0
46.1716,16.8249,317.9,1.1,1,2024-07-07,0922,Terra,MODIS,62,61.03,300.5,7.9,D,2
45.1371,14.8078,334.7,1.1,1,2024-07-14,1229,Aqua,MODIS,75,61.03,307.3,29.4,D,0
45.1348,14.794,318.5,1.1,1,2024-07-14,1229,Aqua,MODIS,0,61.03,306,8,D,0
45.4852,15.544,317,1.3,1.1,2024-07-17,1253,Aqua,MODIS,28,61.03,300,8,D,2
45.1661,18.0075,313.8,1.2,1.1,2024-07-24,0919,Terra,MODIS,30,61.03,299.7,8.7,D,2
43.5646,16.1124,325.2,1,1,2024-07-24,1242,Aqua,MODIS,79,61.03,303.5,12.4,D,0
43.563,16.1001,327.3,1,1,2024-07-24,1242,Aqua,MODIS,81,61.03,303.6,14.7,D,0
45.6574,17.9237,320,1.2,1.1,2024-07-24,1242,Aqua,MODIS,48,61.03,300.6,11.6,D,0
42.8663,17.6289,311,4.4,1.9,2024-07-25,0959,Terra,MODIS,0,61.03,299,40.4,D,0
42.8501,17.6211,345.1,4.4,1.9,2024-07-25,0959,Terra,MODIS,0,61.03,299.5,399.4,D,0
42.8468,17.6161,321.6,4.4,1.9,2024-07-25,0959,Terra,MODIS,0,61.03,299,113.4,D,0
43.897,15.9249,346.1,3.9,1.8,2024-07-30,1004,Terra,MODIS,88,61.03,306.3,331.5,D,0
43.885,15.969,320.2,3.9,1.8,2024-07-30,1004,Terra,MODIS,62,61.03,303.1,71.8,D,0
43.882,15.9162,357.7,3.9,1.8,2024-07-30,1004,Terra,MODIS,86,61.03,303.8,511.9,D,0
43.9059,15.9221,317.9,3.9,1.8,2024-07-30,1004,Terra,MODIS,58,61.03,304.3,57.5,D,0
43.8907,15.9137,362.2,3.9,1.8,2024-07-30,1004,Terra,MODIS,87,61.03,306.3,600.5,D,0
43.9021,15.9282,326.6,3.1,1.7,2024-07-30,1151,Aqua,MODIS,81,61.03,307.2,75.8,D,0
43.8929,15.8927,325.6,3.1,1.7,2024-07-30,1151,Aqua,MODIS,80,61.03,306.8,70.7,D,0
43.893,15.9002,335,3.1,1.7,2024-07-30,1151,Aqua,MODIS,80,61.03,307.1,126.3,D,0
43.888,15.935,327.7,3.1,1.7,2024-07-30,1151,Aqua,MODIS,56,61.03,306.9,77.6,D,0
43.8788,15.8996,326.3,3.1,1.7,2024-07-30,1151,Aqua,MODIS,47,61.03,306.7,69.5,D,0
43.8992,15.9191,322,3.9,1.8,2024-07-30,1329,Aqua,MODIS,62,61.03,307.5,63,D,0
44.1231,15.3317,348.3,3.7,1.8,2024-07-30,1329,Aqua,MODIS,94,61.03,307.1,316.3,D,0
43.8777,15.9246,322.3,3.9,1.8,2024-07-30,1329,Aqua,MODIS,53,61.03,305.9,71.1,D,0
43.8942,15.9236,327.8,3.9,1.8,2024-07-30,1329,Aqua,MODIS,59,61.03,307.6,112.2,D,0
44.1155,15.3367,323.3,3.7,1.8,2024-07-30,1329,Aqua,MODIS,67,61.03,305.4,63.1,D,0
43.274,17.08,365.3,2.1,1.4,2024-07-30,1932,Terra,MODIS,100,61.03,299.3,296.2,N,0
43.2872,17.0807,313.9,2.1,1.4,2024-07-30,1932,Terra,MODIS,88,61.03,291.9,36.7,N,0
43.8671,15.9353,308.2,1.2,1.1,2024-07-31,0126,Aqua,MODIS,73,61.03,292.5,10.9,N,0
43.2715,17.0697,317.9,1.1,1,2024-07-31,0126,Aqua,MODIS,96,61.03,298.4,17.7,N,0
43.9,15.9112,302.7,1.2,1.1,2024-07-31,0126,Aqua,MODIS,32,61.03,290.9,6.5,N,0
43.2605,17.0815,325.6,1.1,1,2024-07-31,0126,Aqua,MODIS,100,61.03,295.6,26.4,N,0
43.901,15.9024,323.3,1,1,2024-07-31,0906,Terra,MODIS,61,61.03,309.6,7.9,D,0
43.8993,15.9147,334.7,1,1,2024-07-31,0906,Terra,MODIS,85,61.03,314.4,22.9,D,0
43.8769,15.9408,323.8,1,1,2024-07-31,0906,Terra,MODIS,54,61.03,306.7,10.1,D,0
43.8664,15.9509,324.3,1,1,2024-07-31,0906,Terra,MODIS,56,61.03,306.3,11.2,D,0
43.2544,17.0791,314.8,1,1,2024-07-31,0907,Terra,MODIS,41,61.03,302.6,6.6,D,0
43.285,17.0683,315.1,1,1,2024-07-31,0907,Terra,MODIS,49,61.03,299.8,7.1,D,0
43.2806,17.0828,323.5,1,1,2024-07-31,1231,Aqua,MODIS,70,61.03,306.4,12.5,D,0
43.2613,17.0754,339.1,1,1,2024-07-31,1231,Aqua,MODIS,0,61.03,306.9,30.7,D,2
43.2788,17.0705,364.9,1,1,2024-07-31,1231,Aqua,MODIS,87,61.03,310.8,91.3,D,0
43.538,16.1638,324.9,1,1,2024-07-31,1232,Aqua,MODIS,55,61.03,311.2,11,D,0
43.7588,16.0325,326.3,1,1,2024-07-31,1232,Aqua,MODIS,72,61.03,313.7,9,D,0
