latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.9481,-82.1075,309.3,1.6,1.2,2024-01-02,1854,Aqua,MODIS,65,61.03,295.5,12.6,D,0
21.8333,-80.0317,311,1.2,1.1,2024-01-02,1854,Aqua,MODIS,67,61.03,297.6,10.7,D,0
22.6798,-81.121,312.3,1.4,1.2,2024-01-02,1854,Aqua,MODIS,69,61.03,297.8,13.2,D,0
22.6281,-80.2849,309.5,2.4,1.5,2024-01-03,1935,Aqua,MODIS,64,61.03,294.9,21,D,0
22.6235,-80.2896,309.4,2.4,1.5,2024-01-03,1935,Aqua,MODIS,54,61.03,295.1,20.3,D,0
22.4289,-83.1641,310.3,1,1,2024-01-04,1541,Terra,MODIS,63,61.03,297.6,5.6,D,0
22.7832,-81.209,310.2,1.1,1,2024-01-04,1541,Terra,MODIS,63,61.03,297.1,6.4,D,0
20.7199,-76.4504,319.7,1.3,1.1,2024-01-04,1838,Aqua,MODIS,74,61.03,297,15.4,D,0
20.6674,-76.9509,324.2,1.4,1.2,2024-01-04,1838,Aqua,MODIS,79,61.03,298,25.4,D,0
20.6697,-76.9374,322.2,1.4,1.2,2024-01-04,1838,Aqua,MODIS,77,61.03,297.8,22.2,D,0
20.7098,-76.4484,327,1.3,1.1,2024-01-04,1838,Aqua,MODIS,81,61.03,298.6,26.5,D,0
20.4647,-76.927,310.9,1.4,1.2,2024-01-04,1838,Aqua,MODIS,60,61.03,294.1,6.6,D,0
20.467,-76.9135,319.1,1.4,1.2,2024-01-04,1838,Aqua,MODIS,74,61.03,295.6,18.3,D,0
22.8623,-80.825,305.8,2.5,1.5,2024-01-04,1839,Aqua,MODIS,52,61.03,293.2,11.8,D,0
22.7858,-82.8563,310.7,3.5,1.8,2024-01-04,1839,Aqua,MODIS,63,61.03,291.1,46,D,0
21.8136,-78.1719,317.1,1.7,1.3,2024-01-05,1919,Aqua,MODIS,71,61.03,294.7,23.8,D,0
20.4446,-76.7549,313,2.1,1.4,2024-01-05,1919,Aqua,MODIS,53,61.03,296.2,12.7,D,0
