latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.0605,32.9084,301.6,1.2,1.1,2024-02-05,1114,Aqua,MODIS,48,61.03,288.8,5.3,D,0
34.7848,32.7243,307,1.6,1.3,2024-03-02,1106,Aqua,MODIS,60,61.03,292.7,11.7,D,0
34.8955,32.6604,316.7,1,1,2024-03-12,1125,Aqua,MODIS,73,61.03,297,12.2,D,0
34.8938,32.6498,339.2,1,1,2024-03-12,1125,Aqua,MODIS,90,61.03,298.1,40.9,D,0
35.016,33.8708,306.8,1.3,1.1,2024-04-01,1858,Terra,MODIS,69,61.03,286.2,13.7,N,0
34.9047,33.5715,311.8,1.1,1.1,2024-04-11,0809,Terra,MODIS,64,61.03,297.4,5.7,D,0
34.729,32.9486,308.2,1.1,1,2024-04-11,0809,Terra,MODIS,47,61.03,295.6,5.2,D,0
34.7837,33.2156,367.6,1.1,1,2024-04-24,1123,Aqua,MODIS,100,61.03,307.6,104.4,D,0
34.7819,33.2044,337.7,1.1,1,2024-04-24,1123,Aqua,MODIS,88,61.03,307,28,D,0
34.7241,32.9327,374.1,1.3,1.1,2024-05-09,1147,Aqua,MODIS,87,61.03,306.3,168.5,D,0
34.7157,32.9484,386.2,1.3,1.1,2024-05-09,1147,Aqua,MODIS,100,61.03,317.4,237.7,D,0
34.7142,32.9347,383.7,1.3,1.1,2024-05-09,1147,Aqua,MODIS,100,61.03,320.5,221.4,D,0
34.7256,32.9465,340.5,1.3,1.1,2024-05-09,1147,Aqua,MODIS,85,61.03,306.1,43.3,D,0
34.7155,32.9376,329,2,1.4,2024-05-31,1202,Aqua,MODIS,82,61.03,308.2,44.7,D,0
34.7215,32.9513,325.7,2,1.4,2024-05-31,1202,Aqua,MODIS,75,61.03,305.9,35.2,D,0
34.7175,32.9594,347.1,2,1.4,2024-05-31,1202,Aqua,MODIS,94,61.03,305.9,124.6,D,0
34.7877,32.9966,330.9,1,1,2024-06-04,1129,Aqua,MODIS,44,61.03,318.2,9.8,D,0
34.8898,32.5336,441.2,1.3,1.1,2024-06-11,1119,Aqua,MODIS,100,61.03,323.8,903.3,D,0
34.8947,32.503,328.7,1.3,1.1,2024-06-11,1119,Aqua,MODIS,80,61.03,312.7,16.8,D,0
34.8973,32.5171,363.6,1.3,1.1,2024-06-11,1119,Aqua,MODIS,100,61.03,317.6,122.9,D,0
34.886,32.5546,305.4,1,1,2024-06-11,1919,Terra,MODIS,40,61.03,294.9,4.6,N,0
34.8728,32.5232,309,1,1,2024-06-11,1919,Terra,MODIS,74,61.03,294.3,7.6,N,0
34.8817,32.5214,324.2,1,1,2024-06-11,1919,Terra,MODIS,100,61.03,295.2,21.3,N,2
34.8799,32.5745,305.9,2.7,1.6,2024-06-12,0059,Aqua,MODIS,39,61.03,294,26.5,N,0
34.7883,32.9161,318.6,2.3,1.5,2024-06-21,0829,Terra,MODIS,46,61.03,303.7,17.5,D,0
34.8016,32.9764,373.6,1.1,1.1,2024-07-07,0746,Terra,MODIS,100,61.03,309.5,131.8,D,0
34.7961,32.9692,372.1,1.1,1.1,2024-07-07,0746,Terra,MODIS,100,61.03,312.3,125.9,D,0
34.7946,32.9811,362.6,1.1,1.1,2024-07-07,0746,Terra,MODIS,100,61.03,311.2,90.3,D,0
34.8222,32.6817,343.1,1,1,2024-07-08,1138,Aqua,MODIS,86,61.03,311,29,D,0
34.8325,32.6905,331.6,1,1,2024-07-08,1138,Aqua,MODIS,55,61.03,308.6,12,D,0
34.831,32.6799,341,1,1,2024-07-08,1138,Aqua,MODIS,83,61.03,309.8,25.9,D,0
34.7662,32.7812,338.8,1.5,1.2,2024-07-22,1118,Aqua,MODIS,82,61.03,310,42.8,D,0
34.7631,32.7651,347,1.5,1.2,2024-07-22,1118,Aqua,MODIS,90,61.03,311.1,69.9,D,0
34.7604,32.5006,306.5,1.1,1,2024-08-08,0019,Aqua,MODIS,46,61.03,294.4,7.7,N,0
34.9741,32.3862,349.6,1.1,1,2024-10-21,1154,Aqua,MODIS,95,61.03,301.4,61.9,D,0
34.9725,32.3747,357.8,1.1,1,2024-10-21,1154,Aqua,MODIS,99,61.03,302,82.8,D,0
34.7435,33.2647,314.7,1.2,1.1,2024-10-26,1158,Aqua,MODIS,62,61.03,299.7,8.9,D,0
