latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.6767,18.6631,303.7,2.2,1.4,2024-01-20,0959,Terra,MODIS,0,61.03,269.9,37.2,D,2
49.6778,18.6595,326.7,1.1,1,2024-01-21,2010,Terra,MODIS,100,61.03,271.3,33.1,N,2
49.2107,16.164,305.4,1,1,2024-01-23,1211,Aqua,MODIS,61,61.03,275.9,11.5,D,2
49.6806,18.675,301.2,1.1,1.1,2024-01-29,0931,Terra,MODIS,39,61.03,275.7,10.1,D,2
49.6791,18.6607,311.8,1,1,2024-01-30,1205,Aqua,MODIS,62,61.03,280.5,14.5,D,2
50.2915,15.8502,308.6,1.1,1,2024-01-30,1206,Aqua,MODIS,63,61.03,276.9,14.6,D,0
49.6757,18.6747,307.1,1,1,2024-02-14,0126,Aqua,MODIS,70,61.03,272.5,13,N,2
49.6777,18.6613,326,1,1,2024-02-14,0126,Aqua,MODIS,100,61.03,273.1,29.5,N,2
49.676,18.6653,325,1.5,1.2,2024-02-14,0853,Terra,MODIS,73,61.03,277.1,46.4,D,2
49.2103,14.206,307,1,1,2024-02-16,1219,Aqua,MODIS,45,61.03,284.6,9.5,D,0
49.2081,14.1923,312.7,1,1,2024-02-16,1219,Aqua,MODIS,53,61.03,283.7,13.7,D,0
50.34,14.6,308.1,1.2,1.1,2024-03-13,0947,Terra,MODIS,61,61.03,284.9,10.8,D,0
49.678,18.6557,304.1,1,1,2024-03-20,1203,Aqua,MODIS,50,61.03,285.3,7.4,D,2
49.6749,18.6672,305.9,1,1,2024-03-29,0908,Terra,MODIS,59,61.03,289.6,7.4,D,2
49.678,18.6615,302,1.7,1.3,2024-03-29,1141,Aqua,MODIS,47,61.03,290.7,9.5,D,2
49.5795,13.3211,309,1.1,1.1,2024-03-30,0949,Terra,MODIS,68,61.03,289.4,11,D,0
49.9883,13.5047,303.8,1.1,1.1,2024-03-30,0949,Terra,MODIS,57,61.03,291.3,5.3,D,0
49.5913,12.7106,314.5,1.1,1.1,2024-03-30,1222,Aqua,MODIS,75,61.03,294.2,13.1,D,0
49.6788,18.6715,313.1,1,1,2024-04-03,0914,Terra,MODIS,69,61.03,290.5,11.9,D,2
49.6808,18.6581,312.3,1,1,2024-04-03,0914,Terra,MODIS,63,61.03,290.7,11.1,D,2
49.6768,18.6572,309.3,3.2,1.7,2024-04-09,0823,Terra,MODIS,68,61.03,295.6,37.1,D,2
49.6748,18.663,310.5,3.2,1.7,2024-04-09,0823,Terra,MODIS,70,61.03,295.3,44,D,2
49.5334,14.9138,301.3,1.2,1.1,2024-04-11,0944,Terra,MODIS,45,61.03,290,4.9,D,0
48.8355,16.4045,321.3,1.2,1.1,2024-04-13,1207,Aqua,MODIS,79,61.03,298.6,16.3,D,2
49.6784,18.6603,304.2,1,1,2024-04-13,1207,Aqua,MODIS,51,61.03,286.7,4.6,D,2
50.5754,13.5915,309.3,1,1,2024-04-15,2019,Terra,MODIS,77,61.03,283.3,12.2,N,2
49.8507,18.4178,309.6,1.1,1.1,2024-04-30,0927,Terra,MODIS,65,61.03,298.9,5.9,D,2
49.3272,17.5744,309.3,1.1,1,2024-04-30,0927,Terra,MODIS,51,61.03,298.3,4.9,D,2
49.3125,16.9814,307.8,1,1,2024-04-30,0927,Terra,MODIS,48,61.03,296.9,4.4,D,2
49.3189,15.3117,312,1,1,2024-04-30,0927,Terra,MODIS,62,61.03,296.9,7.8,D,0
49.7425,15.4244,327.4,1.1,1,2024-04-30,1216,Aqua,MODIS,83,61.03,298.7,23.5,D,0
49.6786,18.6684,315.2,1,1,2024-04-30,1216,Aqua,MODIS,49,61.03,304,7.3,D,2
49.6767,18.6548,318.6,1,1,2024-04-30,1216,Aqua,MODIS,64,61.03,306.1,10.1,D,2
49.8338,18.1694,309.1,1.4,1.2,2024-05-04,0852,Terra,MODIS,27,61.03,295.8,7.8,D,2
49.6745,18.6527,313.8,1,1,2024-05-12,1216,Aqua,MODIS,68,61.03,301.6,8.1,D,2
50.4774,14.2193,311.2,1.1,1.1,2024-05-15,0943,Terra,MODIS,45,61.03,299.6,5.6,D,0
49.6755,18.6567,312.7,1.5,1.2,2024-05-16,0846,Terra,MODIS,68,61.03,299.1,13.8,D,2
49.6776,18.6669,301.8,1.2,1.1,2024-05-17,0115,Aqua,MODIS,45,61.03,281.8,11.1,N,2
49.697,18.6407,303.7,1,1,2024-05-19,1208,Aqua,MODIS,37,61.03,289.3,3.3,D,2
48.9619,15.9143,304.2,1.3,1.1,2024-05-19,1208,Aqua,MODIS,38,61.03,288.7,6.1,D,0
49.408,16.4078,303.4,1.2,1.1,2024-05-19,1208,Aqua,MODIS,31,61.03,287.6,6,D,0
50.6746,14.5356,308.6,1.3,1.1,2024-05-20,1249,Aqua,MODIS,29,61.03,293.8,5.2,D,2
49.6775,18.6706,317.6,1.2,1.1,2024-05-26,0857,Terra,MODIS,77,61.03,297.8,13,D,2
49.3563,17.3677,305,1.3,1.1,2024-05-26,1159,Aqua,MODIS,60,61.03,283.1,7.6,D,2
48.7981,16.7806,307.6,1.3,1.1,2024-05-27,0937,Terra,MODIS,53,61.03,293.9,7.3,D,0
50.0297,18.0375,310.3,1.4,1.2,2024-05-27,0937,Terra,MODIS,48,61.03,298.2,8.8,D,0
49.7583,16.4712,305.7,1.2,1.1,2024-05-27,0937,Terra,MODIS,37,61.03,291.6,6.9,D,2
49.5106,17.0697,304.7,1.3,1.1,2024-05-27,0937,Terra,MODIS,58,61.03,291.4,5.8,D,2
49.2715,16.9994,306.6,1.3,1.1,2024-05-27,0937,Terra,MODIS,31,61.03,291.6,5.8,D,2
49.0492,15.8105,303.9,1.2,1.1,2024-05-27,0937,Terra,MODIS,41,61.03,288.9,4.8,D,2
49.677,18.6607,323.3,1.5,1.2,2024-05-27,1239,Aqua,MODIS,59,61.03,307.2,24.1,D,2
49.8979,16.446,310,1.1,1,2024-06-05,1214,Aqua,MODIS,35,61.03,297.5,7.1,D,2
49.9781,16.4027,304.2,1.5,1.2,2024-06-07,1157,Aqua,MODIS,29,61.03,290.5,6.5,D,2
49.68,18.669,302.3,1,1,2024-06-08,0129,Aqua,MODIS,37,61.03,282.5,8.9,N,2
49.594,18.1585,309.6,1.2,1.1,2024-06-08,0930,Terra,MODIS,43,61.03,298,7.5,D,2
49.4643,17.1428,314.5,1.1,1.1,2024-06-08,0930,Terra,MODIS,25,61.03,301.3,9,D,2
48.8488,17.1235,313.5,1.2,1.1,2024-06-08,0930,Terra,MODIS,48,61.03,301.1,9.4,D,2
50.3065,15.9416,306.6,1,1,2024-06-08,0930,Terra,MODIS,47,61.03,294.5,4,D,0
50.4176,14.9396,307.8,2.7,1.6,2024-06-09,1141,Aqua,MODIS,35,61.03,293.3,18.5,D,2
49.7495,12.7733,304.1,1.3,1.1,2024-06-10,0913,Terra,MODIS,48,61.03,290,8.9,D,0
49.1415,16.2774,311.6,1,1,2024-06-15,0918,Terra,MODIS,67,61.03,296.1,7.7,D,0
49.6768,18.6626,317.1,1.1,1,2024-06-17,0900,Terra,MODIS,73,61.03,299.7,10.8,D,2
49.774,16.9442,309.1,1.4,1.2,2024-06-18,0940,Terra,MODIS,41,61.03,290.9,10.2,D,2
49.7774,14.6944,308.6,1.2,1.1,2024-06-18,0940,Terra,MODIS,28,61.03,294.5,4.9,D,2
49.6752,18.6656,316.5,1.6,1.2,2024-06-19,0843,Terra,MODIS,63,61.03,299.1,16.9,D,2
49.122,16.197,308.1,1,1,2024-06-22,1219,Aqua,MODIS,42,61.03,295.6,5.5,D,0
50.4066,14.4201,313.4,1.1,1.1,2024-06-22,1219,Aqua,MODIS,22,61.03,298.5,10.2,D,2
49.6809,18.658,305.9,1,1,2024-06-24,1957,Terra,MODIS,66,61.03,288.7,8.7,N,2
48.7168,16.9613,311.9,1.1,1.1,2024-06-25,0928,Terra,MODIS,44,61.03,298.2,7.7,D,2
49.6823,18.6848,301.4,2.1,1.4,2024-06-26,0214,Aqua,MODIS,41,61.03,286.6,18.5,N,0
49.6824,18.6777,305.7,2.1,1.4,2024-06-26,0214,Aqua,MODIS,65,61.03,286.9,25.1,N,2
50.5633,13.6159,314.3,1.3,1.1,2024-06-28,0950,Terra,MODIS,44,61.03,299.7,10.4,D,2
49.1301,15.0269,310,1.6,1.2,2024-06-28,0951,Terra,MODIS,57,61.03,293.2,10.8,D,2
50.0999,13.7273,313.2,1.3,1.1,2024-06-28,0951,Terra,MODIS,59,61.03,298.1,12,D,2
49.1343,15.0065,310.1,1.6,1.2,2024-06-28,0951,Terra,MODIS,51,61.03,294.4,11,D,2
49.6754,18.6648,319.5,1.2,1.1,2024-06-29,0853,Terra,MODIS,65,61.03,302.5,13.7,D,2
49.7569,16.4717,315.2,1.2,1.1,2024-06-29,1209,Aqua,MODIS,46,61.03,301.9,8.9,D,2
49.6804,18.6718,309.8,1.6,1.3,2024-07-05,0938,Terra,MODIS,51,61.03,295.5,13.4,D,2
49.7443,12.7647,317.5,1.2,1.1,2024-07-09,1224,Aqua,MODIS,67,61.03,305.4,14,D,0
49.6766,18.6668,313,1,1,2024-07-14,0908,Terra,MODIS,58,61.03,293.2,7.7,D,2
50.5587,13.6137,312.8,1.2,1.1,2024-07-15,0948,Terra,MODIS,43,61.03,301.3,9.3,D,2
49.7499,12.7689,315.5,1.2,1.1,2024-07-15,0948,Terra,MODIS,66,61.03,303.2,11.7,D,0
50.2243,17.1917,310.4,1.1,1,2024-07-16,1213,Aqua,MODIS,42,61.03,294,5.2,D,2
49.9296,17.2872,311.8,1.1,1,2024-07-16,1213,Aqua,MODIS,59,61.03,295.1,6.8,D,2
