latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
56.7732,10.1745,300.9,1.3,1.1,2024-02-26,1959,Terra,MODIS,35,61.03,273.2,13.4,N,0
56.2053,8.7298,302.9,1.1,1,2024-04-07,1017,Terra,MODIS,54,61.03,287,6.8,D,0
55.6943,8.5044,300.8,1.1,1,2024-04-07,1017,Terra,MODIS,42,61.03,288,5.3,D,0
55.5297,8.8997,313.9,1.1,1.1,2024-04-07,1017,Terra,MODIS,41,61.03,288.5,13.5,D,0
55.1644,11.9133,301,1.1,1.1,2024-04-14,1006,Terra,MODIS,44,61.03,285.2,6.7,D,0
54.9085,11.2161,301.6,1.1,1.1,2024-04-14,1006,Terra,MODIS,35,61.03,284,6.1,D,0
54.7333,11.28,307.1,1.1,1.1,2024-04-14,1006,Terra,MODIS,63,61.03,286,9.1,D,0
54.7273,11.2586,304.7,1.1,1.1,2024-04-14,1006,Terra,MODIS,36,61.03,285.8,6.9,D,0
55.6783,12.5908,307.2,1,1,2024-04-16,0948,Terra,MODIS,0,61.03,288,6.3,D,2
57.2959,10.397,309.3,1.1,1,2024-04-18,1218,Aqua,MODIS,68,61.03,284.6,11.3,D,0
57.2929,10.3798,341,1.1,1,2024-04-18,1218,Aqua,MODIS,92,61.03,286.6,52.8,D,0
56.3817,9.675,302.3,1,1,2024-05-01,1005,Terra,MODIS,51,61.03,287.8,4.3,D,0
55.4347,11.2138,302.5,1.1,1.1,2024-05-12,1218,Aqua,MODIS,0,61.03,291.6,3.4,D,0
55.5878,8.1243,308.2,2.1,1.4,2024-05-14,1202,Aqua,MODIS,44,61.03,297.6,16.2,D,0
55.3375,10.5066,311.6,1.1,1,2024-05-17,1226,Aqua,MODIS,60,61.03,295.2,7.9,D,0
55.581,9.5276,318.3,1.1,1.1,2024-05-17,1226,Aqua,MODIS,74,61.03,297,14.6,D,0
55.5779,9.5108,312,1.1,1.1,2024-05-17,1226,Aqua,MODIS,60,61.03,296.3,8,D,0
55.5875,9.5206,311.1,1,1,2024-05-18,1005,Terra,MODIS,61,61.03,297,7.1,D,0
55.1987,8.5142,309,1.1,1,2024-05-20,0948,Terra,MODIS,0,61.03,296.7,3.7,D,0
55.5973,8.1417,317,1.3,1.1,2024-05-21,1028,Terra,MODIS,74,61.03,292.7,17.1,D,0
55.5933,8.1617,314.1,1.3,1.2,2024-05-21,1028,Terra,MODIS,66,61.03,293.5,13.9,D,0
55.3823,10.532,308.9,1.1,1,2024-06-01,1249,Aqua,MODIS,58,61.03,295.3,6.2,D,0
55.5846,9.5274,310.3,1.1,1,2024-06-26,1007,Terra,MODIS,55,61.03,295.8,6.6,D,0
57.0747,9.9349,311.5,1,1,2024-07-01,0220,Aqua,MODIS,75,61.03,284.1,13.6,N,2
55.5917,9.526,308.2,1,1,2024-07-19,1239,Aqua,MODIS,50,61.03,291.4,6,D,0
55.5892,9.5105,306.5,1,1,2024-07-19,1239,Aqua,MODIS,43,61.03,291.5,4.9,D,0
55.6971,9.1887,305.5,1,1,2024-07-19,1239,Aqua,MODIS,47,61.03,288.6,5,D,0
55.5867,9.5168,309.3,1,1,2024-07-30,1001,Terra,MODIS,60,61.03,298.6,6.3,D,0
55.3464,10.4994,314.2,1.1,1,2024-07-30,1001,Terra,MODIS,71,61.03,295,10.7,D,0
55.2614,9.9914,311.3,1.1,1,2024-07-30,1001,Terra,MODIS,67,61.03,296.6,7.7,D,0
55.4413,10.3979,309,2.3,1.5,2024-07-30,1155,Aqua,MODIS,45,61.03,294.6,16.8,D,2
55.2565,9.9791,308.4,1.1,1,2024-07-31,1235,Aqua,MODIS,59,61.03,296.5,5.1,D,0
56.5625,10.1584,307.3,1.1,1,2024-08-12,1231,Aqua,MODIS,50,61.03,295.6,4.5,D,0
57.295,10.3796,306.5,1,1,2024-08-12,1231,Aqua,MODIS,60,61.03,294.6,4.6,D,0
55.4785,9.8545,302.6,1.1,1,2024-08-17,1236,Aqua,MODIS,40,61.03,291.7,2.5,D,0
55.8628,8.6797,313.1,1.1,1,2024-08-17,1237,Aqua,MODIS,60,61.03,289.9,10.5,D,0
56.369,8.4803,326.9,1.1,1,2024-08-17,1237,Aqua,MODIS,73,61.03,290,26.3,D,0
56.3749,8.4584,319.2,1.1,1,2024-08-17,1237,Aqua,MODIS,57,61.03,291.2,17.2,D,0
54.6409,11.4243,311.2,1.3,1.1,2024-08-20,0922,Terra,MODIS,51,61.03,294.7,9.8,D,0
55.4788,9.8551,301.8,1.1,1,2024-08-21,1002,Terra,MODIS,37,61.03,290.1,4.9,D,0
55.3123,10.3072,303.6,2,1.4,2024-08-21,1202,Aqua,MODIS,42,61.03,289.9,14.7,D,0
56.5325,10.2897,314.3,1.1,1.1,2024-08-26,1006,Terra,MODIS,75,61.03,289.8,13.7,D,0
56.5204,10.3018,309.3,1.1,1.1,2024-08-26,1006,Terra,MODIS,67,61.03,289.1,9.7,D,0
54.9042,11.208,322.1,1.1,1,2024-08-29,1230,Aqua,MODIS,79,61.03,297.4,14.8,D,0
55.0788,10.6476,313,1.1,1.1,2024-08-29,1230,Aqua,MODIS,57,61.03,288.5,9.4,D,0
55.4827,9.8413,311.7,1.2,1.1,2024-08-29,1231,Aqua,MODIS,63,61.03,297.1,7.2,D,0
56.2128,9.902,318.4,1.1,1.1,2024-08-29,1231,Aqua,MODIS,76,61.03,292.7,13.9,D,0
56.2217,9.8967,327.9,1.1,1.1,2024-08-29,1231,Aqua,MODIS,84,61.03,295.2,25.8,D,0
56.4846,10.0988,313.9,1.1,1,2024-08-29,1231,Aqua,MODIS,46,61.03,298.1,9.7,D,0
56.5646,10.1631,309.6,1.1,1,2024-08-29,1231,Aqua,MODIS,54,61.03,294.1,6,D,0
56.5616,10.1464,315.5,1.1,1,2024-08-29,1231,Aqua,MODIS,72,61.03,296.1,11.3,D,0
56.8719,9.469,304.4,1.1,1.1,2024-08-31,1010,Terra,MODIS,55,61.03,291.3,6.2,D,0
56.2694,8.9923,302.2,1.1,1.1,2024-08-31,1010,Terra,MODIS,51,61.03,292,4.1,D,0
55.7016,9.1979,306.4,1.3,1.1,2024-09-05,1015,Terra,MODIS,52,61.03,295.6,6.4,D,0
