latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.5577,43.0815,325.2,1.1,1,2024-04-07,0712,Terra,MODIS,41,61.03,303.3,7.8,D,0
11.8231,42.1187,333.7,1.2,1.1,2024-04-14,1059,Aqua,MODIS,57,61.03,310.2,7.6,D,0
11.8629,42.0916,332.6,2.7,1.6,2024-04-15,1140,Aqua,MODIS,65,61.03,306.6,41.8,D,0
12.1088,42.4047,330.4,1.5,1.2,2024-04-17,0723,Terra,MODIS,30,61.03,304.5,19.7,D,0
12.0898,42.322,331.1,1.4,1.2,2024-04-17,0723,Terra,MODIS,58,61.03,304.3,21.3,D,0
11.8697,42.0989,328.9,1.4,1.2,2024-04-17,0723,Terra,MODIS,50,61.03,302.6,15.4,D,0
11.8574,42.1099,328.7,1.4,1.2,2024-04-17,0723,Terra,MODIS,42,61.03,302,15.3,D,0
11.5895,41.9851,333.4,1.4,1.2,2024-04-17,0724,Terra,MODIS,70,61.03,302.9,22.6,D,0
11.8612,42.1012,327,1.8,1.3,2024-04-22,0729,Terra,MODIS,41,61.03,298.6,29.6,D,0
11.7517,42.352,324.7,1.9,1.4,2024-04-22,0729,Terra,MODIS,17,61.03,298.4,21,D,0
11.4532,42.3112,332,3.4,1.7,2024-04-23,1035,Aqua,MODIS,82,61.03,307,65.3,D,0
11.4479,42.2813,332,3.4,1.7,2024-04-23,1035,Aqua,MODIS,84,61.03,306.4,63.9,D,0
11.4648,42.3042,332.4,3.4,1.7,2024-04-23,1035,Aqua,MODIS,66,61.03,307,70.9,D,0
12.2968,42.4038,330,3.2,1.7,2024-04-23,1036,Aqua,MODIS,32,61.03,303.1,72.1,D,0
11.8616,42.0958,323.3,3.2,1.7,2024-05-02,0741,Terra,MODIS,51,61.03,297.9,40.2,D,0
10.9612,42.0464,333.4,1.8,1.3,2024-05-03,1052,Aqua,MODIS,44,61.03,305.4,38.8,D,0
11.4565,42.3358,331.3,1.6,1.3,2024-05-03,1052,Aqua,MODIS,69,61.03,304.1,21.8,D,0
11.4653,42.3192,331.1,1.6,1.3,2024-05-03,1052,Aqua,MODIS,43,61.03,303.6,24.2,D,0
11.463,42.3045,333,1.6,1.3,2024-05-03,1052,Aqua,MODIS,44,61.03,303.6,32.6,D,0
11.4656,42.3124,331.4,1.6,1.3,2024-05-03,1052,Aqua,MODIS,75,61.03,303.7,22.9,D,0
11.4631,42.2977,332.6,1.6,1.3,2024-05-03,1052,Aqua,MODIS,46,61.03,303.8,30.3,D,0
11.6225,42.2201,331.9,1.7,1.3,2024-05-03,1052,Aqua,MODIS,79,61.03,306.3,22.6,D,0
11.6201,42.2054,331.9,1.7,1.3,2024-05-03,1052,Aqua,MODIS,62,61.03,306.3,24.1,D,0
12.3115,42.4159,338.8,1.6,1.2,2024-05-03,1052,Aqua,MODIS,58,61.03,311.2,48.8,D,0
11.4382,42.3393,331.1,3.4,1.7,2024-05-05,1036,Aqua,MODIS,43,61.03,304,77,D,0
12.3094,42.4241,332.7,2,1.4,2024-05-09,0729,Terra,MODIS,68,61.03,306.6,34.4,D,0
12.0726,42.33,332.2,2,1.4,2024-05-09,0729,Terra,MODIS,66,61.03,306.4,31.7,D,0
11.6082,43.1428,312.5,2.3,1.5,2024-05-09,0729,Terra,MODIS,26,61.03,296.1,17.8,D,3
12.0938,42.4033,333,2.3,1.5,2024-05-10,1044,Aqua,MODIS,56,61.03,303.6,53.7,D,0
11.7741,42.9427,321.8,1.4,1.2,2024-05-11,1125,Aqua,MODIS,74,61.03,307.5,24,D,3
11.3983,42.3232,332,1.7,1.3,2024-05-15,1052,Aqua,MODIS,73,61.03,306.6,21,D,0
11.4071,42.306,332.6,1.7,1.3,2024-05-15,1052,Aqua,MODIS,74,61.03,307.3,22.8,D,0
11.421,42.3191,334.3,1.7,1.3,2024-05-15,1052,Aqua,MODIS,77,61.03,308.3,28.9,D,0
11.4525,42.2976,334.2,1.7,1.3,2024-05-15,1052,Aqua,MODIS,77,61.03,308.8,29,D,0
11.7017,42.124,328.1,1.8,1.3,2024-05-15,1052,Aqua,MODIS,68,61.03,302.3,19.1,D,0
11.7132,42.1217,331.3,1.8,1.3,2024-05-15,1052,Aqua,MODIS,74,61.03,304,27.2,D,0
11.7213,42.1157,330.3,1.8,1.3,2024-05-15,1052,Aqua,MODIS,72,61.03,304.6,24.2,D,0
11.9978,42.2471,330.2,1.7,1.3,2024-05-15,1052,Aqua,MODIS,52,61.03,303.7,19,D,0
11.464,42.3114,336,1.3,1.1,2024-05-20,1059,Aqua,MODIS,51,61.03,310.7,18.1,D,0
11.573,43.1443,326.8,1.1,1,2024-07-25,0651,Terra,MODIS,56,61.03,301.5,10.5,D,2
11.657,42.4804,330.9,1.8,1.3,2024-08-10,1057,Aqua,MODIS,67,61.03,303.6,19.5,D,0
11.6544,42.4642,332,1.8,1.3,2024-08-10,1057,Aqua,MODIS,0,61.03,303.5,25.2,D,0
11.6777,42.4697,331.2,1.8,1.3,2024-08-10,1057,Aqua,MODIS,59,61.03,303.9,20.9,D,0
11.9306,42.3287,331.2,1.8,1.3,2024-08-10,1057,Aqua,MODIS,62,61.03,303.7,27.3,D,0
11.5184,41.9026,331.9,1.5,1.2,2024-08-15,1103,Aqua,MODIS,63,61.03,308,23.5,D,0
12.104,42.4102,336.2,1.4,1.2,2024-08-15,1103,Aqua,MODIS,37,61.03,311.5,24.5,D,0
12.1122,42.3962,334.4,1.4,1.2,2024-08-15,1103,Aqua,MODIS,28,61.03,310.6,27.5,D,0
12.0304,42.1852,329.8,2.4,1.5,2024-08-22,1052,Aqua,MODIS,54,61.03,303.9,42.1,D,0
12.0434,42.1823,330.3,2.4,1.5,2024-08-22,1052,Aqua,MODIS,75,61.03,304,45,D,0
12.1736,43.3917,331.7,1,1,2024-08-25,1115,Aqua,MODIS,39,61.03,307.7,13.1,D,0
11.4614,42.2982,332.5,1.7,1.3,2024-10-07,0717,Terra,MODIS,66,61.03,308.2,24.1,D,0
11.4589,42.3135,332.5,1.7,1.3,2024-10-07,0717,Terra,MODIS,75,61.03,308.2,23.6,D,0
11.8085,43.0466,313.7,1.9,1.3,2024-11-17,1145,Aqua,MODIS,54,61.03,301.9,18.4,D,3
11.8063,43.0299,315.6,1.9,1.3,2024-11-17,1145,Aqua,MODIS,64,61.03,303.4,22.7,D,3
11.8041,43.0135,315.5,1.9,1.3,2024-11-17,1145,Aqua,MODIS,39,61.03,303.5,21,D,3
