latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.004,-78.3358,307.4,1.3,1.1,2024-01-01,0724,Aqua,MODIS,71,61.03,266.2,19.9,N,1
0.0899,-76.8859,313.4,1.7,1.3,2024-01-01,1523,Terra,MODIS,31,61.03,290.8,12.9,D,2
-0.0774,-77.6652,301.1,1.8,1.3,2024-01-03,0246,Terra,MODIS,37,61.03,281,19.4,N,1
-2.0094,-78.3327,306.3,1,1,2024-01-03,0709,Aqua,MODIS,67,61.03,276.7,11.9,N,1
-1.9993,-78.34,346.3,1,1,2024-01-03,0709,Aqua,MODIS,100,61.03,276.9,59.4,N,1
-2.0006,-78.3314,315.6,1,1,2024-01-03,0709,Aqua,MODIS,91,61.03,274.4,17.6,N,1
-2.0082,-78.3412,308.1,1,1,2024-01-03,0709,Aqua,MODIS,73,61.03,273.9,13.1,N,1
-0.0803,-77.6636,301,1.8,1.3,2024-01-04,0327,Terra,MODIS,36,61.03,280.5,18,N,1
-4.0683,-78.9577,314.7,1,1,2024-01-05,1913,Aqua,MODIS,71,61.03,297.1,8.6,D,2
-2.2576,-80.5729,308.4,1.2,1.1,2024-01-05,1913,Aqua,MODIS,31,61.03,286.4,6.9,D,0
0.0936,-76.7522,301.5,1.1,1,2024-01-05,1914,Aqua,MODIS,37,61.03,275.9,4.6,D,0
1.0752,-79.2084,326.6,1,1,2024-01-05,1914,Aqua,MODIS,72,61.03,298.4,18.8,D,0
-0.2559,-79.4858,307.2,1,1,2024-01-05,1914,Aqua,MODIS,29,61.03,289.2,3.4,D,2
-2.0097,-78.3428,407.1,1,1,2024-01-06,0309,Terra,MODIS,100,61.03,296.3,303.2,N,1
-2.0009,-78.3441,366.8,1,1,2024-01-06,0309,Terra,MODIS,100,61.03,277.2,110.3,N,1
-1.9997,-78.3353,315.8,1,1,2024-01-06,0309,Terra,MODIS,92,61.03,273.4,17.9,N,1
-2.0085,-78.3341,368.8,1,1,2024-01-06,0309,Terra,MODIS,100,61.03,285.2,116.5,N,1
-2.0093,-78.3346,335.2,2.1,1.4,2024-01-06,0735,Aqua,MODIS,100,61.03,274.5,116.4,N,1
-2.0138,-78.3027,307.4,2.1,1.4,2024-01-06,0735,Aqua,MODIS,71,61.03,278.9,35.2,N,1
-1.9971,-78.3317,320.3,2.1,1.4,2024-01-06,0735,Aqua,MODIS,100,61.03,272.9,63.2,N,1
-2.0034,-78.3229,304.7,3.3,1.7,2024-01-07,0638,Aqua,MODIS,61,61.03,272.9,63.4,N,1
-1.9998,-78.3455,322.1,3.3,1.7,2024-01-07,0638,Aqua,MODIS,100,61.03,271.5,143.5,N,1
0.477,-78.175,313.6,1.3,1.1,2024-01-07,1858,Aqua,MODIS,68,61.03,296.5,11.9,D,0
0.0711,-75.66,313.3,1,1,2024-01-10,1456,Terra,MODIS,63,61.03,296.8,6.6,D,0
0.085,-76.8945,319.7,1.5,1.2,2024-01-10,1924,Aqua,MODIS,36,61.03,301,13.6,D,2
-2.0028,-78.3363,344.9,2.1,1.4,2024-01-12,0649,Aqua,MODIS,100,61.03,268.4,167.4,N,1
-1.8617,-79.9751,312.5,1.3,1.1,2024-01-12,1908,Aqua,MODIS,28,61.03,289.2,6.6,D,2
-1.8733,-79.985,314.1,1.3,1.1,2024-01-12,1908,Aqua,MODIS,52,61.03,290.2,8.4,D,2
1.28,-78.8376,314.5,1.1,1,2024-01-12,1909,Aqua,MODIS,66,61.03,294.1,8.3,D,2
-2.0104,-78.3174,314.2,1.6,1.2,2024-01-13,0730,Aqua,MODIS,82,61.03,267.4,33.7,N,1
0.3244,-79.4689,313.8,1.1,1,2024-01-13,1519,Terra,MODIS,46,61.03,295.9,6.4,D,0
1.2842,-78.8368,313.7,1.1,1.1,2024-01-13,1519,Terra,MODIS,54,61.03,296.2,7.8,D,2
-0.955,-79.3558,312.2,1.1,1,2024-01-13,1520,Terra,MODIS,62,61.03,295,5.4,D,0
-2.6787,-79.6132,313.5,1.1,1.1,2024-01-13,1520,Terra,MODIS,71,61.03,295.3,8.3,D,2
-1.5751,-79.4653,311.6,1.1,1,2024-01-13,1520,Terra,MODIS,64,61.03,295.6,5.7,D,0
-0.9453,-79.2253,311.5,1.1,1.1,2024-01-13,1520,Terra,MODIS,23,61.03,295,5.8,D,0
